id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2				<color=#d8d8d8>带着诸多疑惑，众人一起回到了云麓城的边境小镇。</color>		1	57:dialg_bg_498				17	-1								1					bgm_instance_spring03																												1											<color=#d8d8d8>帶著諸多疑惑，眾人一起回到了雲麓城的邊境小鎮。</color>	<color=#d8d8d8>Still filled with questions, you all made your way back to the border town of Cloud City.</color>	<color=#d8d8d8>多くの疑問を持って、みんなが国境の町、雲麓城に戻った。</color>	<color=#d8d8d8>수많은 의문을 품고, 모두 함께 운록성 변두리에 있는 작은 마을로 돌아왔다</color>	[​ด้วย​ความสงสัย​มากมาย​ ทุกคน​เดินทาง​กลับ​สู่​เมือง​เล็ก​ๆ​ แถว​ชายแดน​ของ​เมือง​หยุ​น​ลู่​]​															
2	3				<color=#d8d8d8>美食大赛顺利进行，在林大厨的加成下，新海市的情绪食品摊位赢得了今年的人气第一。</color>																1																																	1											<color=#d8d8d8>美食大賽順利進行，在林大廚的加成下，新海市的情緒食品攤位贏得了今年的人氣第一。</color>	<color=#d8d8d8>The Culinary Competition went smoothly, and with Chef Lin's help, the Pathos Food stall from Catto City claimed the top popularity prize this year.</color>	<color=#d8d8d8>グルメ大会は順調に行われ、林さんのバフで、新海市のパトスフード屋台が今年の人気トップ１を獲得した。</color>	<color=#d8d8d8>미식 대회는 순조롭게 진행되고 있었고, 임 주방장의 합류 하에, 뉴오션 시티의 이모션 푸드는 올해의 최고 인기 점포로 거듭났다</color>	[​ศึก​กระทะ​เหล็ก​ดำเนิน​ไป​อย่าง​ราบรื่น​ ด้วย​กำลัง​เสริม​ของ​หัวหน้า​เชฟ​หลิน​ บูธ​อาหาร​พา​โธส​ของ​แค​ทโตะ​ ซิตี้​จึง​คว้ารางวัล​ความนิยม​อันดับ​หนึ่ง​ของ​ปี​นี้​มา​ได้​]​															
3	4			瑶光特使	太好了，恭喜你获得第一名！新海市的情绪食品一定能在耀州刮起一阵美食风潮！																1			18:npc_icon_764_1	1		sfx_story_01_gaogen																46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						太好了，恭喜你獲得第一名！新海市的情緒食品一定能在耀州刮起一陣美食風潮！	Wonderful! Congratulations on your first-place finish! The Pathos Foods of Catto City are sure to ignite a culinary craze in Yaozhou!	よかった、優勝おめでとう！新海市のパトスフードは必ず耀州で美食ブームになれるんだ！	잘됐군, 우승을 축하하네! 뉴오션 시티의 이모션 푸드라면 분명 요주 타운에 새로운 바람을 불러일으킬 수 있을 거야!	เยี่ยม​มาก​ ยินดี​ด้วย​นะ​ที่​ได้​อันดับ​หนึ่ง​!​ อาหาร​พา​โธส​ของ​แค​ทโตะ​ ซิตี้​ จะ​ต้อง​สร้าง​กระแส​อาหาร​รส​เลิศ​ใน​เขต​เหยา​โจว​ได้​แน่นอน​เลย​ล่ะ​!​															
4	5			瑶光特使	作为第一名的得主，你们将享有在庆典现场消费全部免单的奖励。																1			18:npc_icon_764_1	1																		46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						作為第一名的得主，你們將享有在慶典現場消費全部免單的獎勵。	As champions, you'll enjoy free dining at all the festival venues. Take a short break, and when the celebrations begin, indulge to your heart's content!	優勝受賞者として、お祭り現場での消費をすべて無料にする報酬をもらった。	우승자로서, 그대들은 축제 상품을 무료로 즐기는 혜택을 받게 될 걸세	ใน​ฐานะ​ผู้ชนะเลิศ​อันดับ​หนึ่ง​ พวกคุณ​จะ​ได้รับ​สิทธิ์​ใช้จ่าย​ฟรี​ทั้งหมด​ใน​งานเทศกาล​ด้วย​นะ​															
5	6			瑶光特使	请稍事休息，等庆典开始后，尽情狂欢吧！																1			18:npc_icon_764_1	1																		46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						請稍事休息，等慶典開始後，盡情狂歡吧！	Take a brief rest, and when the celebrations commence, feel free to indulge to your heart's content!	少し休んで。祭りが始まったら、思い存分楽しんでください！	잠깐 쉬게. 축제가 시작되면 마음껏 즐겨야지!	งั้น​เชิญ​ไป​พักผ่อน​กัน​สักครู่​เถอะ​นะ​ พอ​เทศกาล​เริ่ม​แล้วก็​เที่ยว​ให้​สนุกสนาน​กัน​เต็มที่​ไป​เลย​!​															
6			3																		1			18:npc_icon_764_1	1										山神，还好么？	7							46;2											1																山神，還好麼？	How's the Mountain Spirit doing?	山神、元気か？	산신은, 괜찮아?	เทพภูผา... ยังไงบ้าง?										
7	8			瑶光特使	嗯？怪不得，山神大人突然清醒，想必有署长大人出力……																1			18:npc_icon_764_1	1																		46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						嗯？怪不得，山神大人突然清醒，想必有署長大人出力……	Hmm? No wonder the Mountain Spirit has suddenly regained her clarity—you must have intervened...	うん？道理で、山神様が急に意識を回復したね。きっと調査官様もお手を貸してくれたね……	음? 역시... 산신님이 갑자기 정신을 차렸다 했어... 그대의 개입이 있었을 줄 알았네...	หืม​?​ อย่าง​งั้น​เอง​เหรอ​ เพราะ​งั้น​ท่าน​เทพ​ภูผา​ถึง​ได้​ตื่นขึ้น​มา​อย่าง​กะทันหัน​ คงจะ​มี​ท่าน​ผู้กำกับ​การคอย​ช่วยเหลือ​สิ​นะคะ​...​															
8	9			#playerName	你还没回答我的问题。																1																						46;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						你還沒回答我的問題。	You still haven't answered my question.	まだ私の質問に答えてくれない。	내 질문에 대한 답은...?	เธอ​ยัง​ไม่​ตอบคำถาม​ของ​ฉัน​เลย​นะ​															
9	10			瑶光特使	负责接待你的辞青已经冲到神兵长和城主面前直接质问了，等她回来和你分享好消息吧！																1			18:npc_icon_764_4	1																		46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						負責接待你的辭青已經沖到神兵長和城主面前直接質問了，等她回來和你分享好消息吧！	The receptionist Savanna has already rushed to confront the General and the Lord Mayor. She'll be back soon with good news for you!	あなたの接待係を担当した辞青は、もうに神兵長と城主のところに直接聞きに行った。彼女が帰ったら、良いニュースを共有してあげるよ！	그대들을 책임지는 지세이가 신병장과 성주부에게 달려가 알아 보고 있다네. 지세이이 돌아오면 소식을 들을 수 있을 거야!	ซา​วัน​น่า​ที่​รับผิดชอบ​ดูแล​คุณ​ วิ่ง​ไปหา​นายพล​ศักดิ์สิทธิ์​และ​เจ้าเมือง​เพื่อ​ถาม​ตรงๆ​ แล้ว​ล่ะ​ รอ​เธอ​กลับมา​แจ้ง​ข่าวดี​เถอะ​นะ​!​															
10	11			瑶光特使	我也得赶快回去收拾这次捅出的篓子啦~别担心，结果是好的，顶多就是挨骂而已。																1			18:npc_icon_764_4	1																		46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						我也得趕快回去收拾這次捅出的簍子啦~別擔心，結果是好的，頂多就是挨駡而已。	I also need to hurry back and clean up the mess I've caused this time. Don't worry—the outcome is positive; at worst, I'll just get scolded.	私も早く帰るわ。今度の大騒ぎを後始末しなきゃ。心配しないで、結果はいいんだから、せいぜい叱られるだけ。	나도 어서 가서 이번 일을 수습해야겠네~ 걱정 말게. 결과는 좋으니까. 기껏해야 욕밖에 더 먹겠나	ฉัน​เอง​ก็​ต้อง​รีบ​กลับ​ไป​จัดการ​เรื่อง​ยุ่งยาก​ที่​เกิดขึ้น​ใน​ครั้งนี้​แล้ว​ล่ะ​~​ ไม่ต้อง​ห่วง​นะ​ ผลลัพธ์​ต้อง​ออกมา​ดี​อยู่แล้ว​ล่ะ​ แค่​โดน​ดุ​นิดๆ​ หน่อย​ๆ​ เท่านั้นเอง​															
11	12			瑶光特使	为我祈祷吧！另外，节日快乐哟！																1			18:npc_icon_764_1	1																		46;2											1	瑤光特使	Envoy Alkaid	揺光特使	특사 알카이드	ท่านทูตอัลเคด						為我祈禱吧！另外，節日快樂喲！	Wish me luck! And happy holidays!	祈ってくれて！それに、ハッピーホリデー！	날 위해 기도해 주게! 그리고, 새해 복 많이 받고!	อย่า​ลืม​อวยพร​ให้​ฉัน​ด้วย​นะ​!​ แล้วก็​ สุขสันต์​วัน​เทศกาล​!​															
12	13			#playerName	……节日快乐，也——祝你好运吧！																1																						46;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						……節日快樂，也——祝你好運吧！	Happy holidays to you too—best wishes!	……ハッピーホリデー、また——幸運を祈るよ！	... 복 많이 받아— 행운을 빌게!	...​สุขสันต์​วัน​เทศกาล​ แล้วก็​—​ ขอให้​โชคดี​นะ​!​															
13	14				<color=#d8d8d8>瑶光特使离开没多久，辞青果然火急火燎地回来，脸上还带着一丝古怪。</color>																1						sfx_story_01_tingxia																1;2											1											<color=#d8d8d8>瑤光特使離開沒多久，辭青果然火急火燎地回來，臉上還帶著一絲古怪。</color>	<color=#d8d8d8>Alkaid had barely left when Savanna came rushing back, her expression slightly unusual.</color>	<color=#d8d8d8>揺光特使が去って間もなく、辞青は急いで帰ってきて、少し変わった顔をしている。</color>	<color=#d8d8d8>알카이드가 떠나고 지세이가 부리나케 돌아왔다. 그런데 왠지 표정이 좀 이상했다</color>	[​หลังจาก​ท่าน​ทูต​อัล​เคด​จากไป​ไม่​นาน​ ซา​วัน​น่า​ก็​วิ่ง​กลับมา​ด้วย​ความร้อนรน​ แม้แต่​สีหน้า​ก็​ยังมี​แวว​ประหลาด​เล็กน้อย​อยู่​ด้วย​]​															
14	15			#playerName	怎么样？打听到了吗？																1																						1;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						怎麼樣？打聽到了嗎？	How did it go? Did you find out anything?	どうだろう？分かったのか？	어때요? 소식 좀 들었어?	เป็นไง​บ้าง​?​ สืบ​เรื่อง​อะไร​มา​ได้​บ้าง​ไหม​?​															
15	16			辞青	嗯。结果是我们都被骗了！																1			18:npc_icon_765_6	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						嗯。結果是我們都被騙了！	Yes. It seems we've all been deceived!	うーん。やっぱり、みんな騙されたんだ！	그래. 결론부터 말하면 우리가 속았어요!	อืม​ สรุป​ก็​คือ​พวกเรา​ทั้งหมด​โดน​หลอก​น่ะ​สิ​!​															
16			3																		1			18:npc_icon_765_6	1										被骗了？	17							1;2											1																被騙了？	Deceived?	騙された？	속았다고?	โดนหลอก?										
17	18			辞青	对。整件事情只有城主、神兵长还有瑶光公主知道。																1			18:npc_icon_765_1	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						對。整件事情只有城主、神兵長還有瑤光公主知道。	That's right. Only the Lord Mayor, the General, and Princess Alkaid knew the truth.	そうよ。すべてのことを知ってるのは、城主と神兵長、そして揺光姫だけだ。	네. 사건의 전말은 성주, 신병장과 알카이드 공주님밖에 몰라요	ใช่​ เรื่อง​ทั้งหมด​มี​แค่​เจ้าเมือง​ นายพล​กองทัพ​ และ​เจ้าหญิง​อัล​เคด​เท่านั้น​ที่​รู้​															
18	19			#playerName	瑶光公主？她不是特使吗？																1																						1;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						瑤光公主？她不是特使嗎？	Princess Alkaid? Isn't she the envoy?	揺光姫？特使じゃないか？	알카이드 공주? 특사 아니었어?	เจ้าหญิง​อัล​เคด​?​ เธอ​ไม่​ใช่​ทูต​เหรอ​?​															
19	20			辞青	公主和特使并不冲突吧。																1			18:npc_icon_765_4	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						公主和特使並不衝突吧。	Being a princess and an envoy can go hand in hand.	姫でも特使になれるよ。	공주라고 특사를 못 하는 건 아니잖아요	ตำแหน่ง​เจ้าหญิง​กับ​ทูต​ก็​ไม่​ได้​มี​อะไร​ขัดแย้ง​กัน​นี่​ เป็น​พร้อมกัน​ก็​ไม่​เห็น​เป็นไร​															
20	21			#playerName	也是……那后来怎么样？为什么说我们被骗了？																1																						1;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						也是……那後來怎麼樣？為什麼說我們被騙了？	I see... So what happened next? Why do you say we were deceived?	それはそうだけど……それで？なぜ騙されたと言ったのか？	그건 그렇지... 그래서 어떻게 된 건데? 속았다는 게 무슨 말이야?	ก็​จริง​...​ แล้ว​หลังจากนั้น​เป็น​ยังไง​ต่อ​ล่ะ​?​ ทำไม​ถึง​บอ​กว่า​เรา​ถูก​หลอก​?​															
21	22			辞青	原来山神大人早就发现九狱之中有人搞鬼，因此写了密信来报，和公主他们联手，骗过九狱背后的黑手……																1			18:npc_icon_765_1	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						原來山神大人早就發現九獄之中有人搞鬼，因此寫了密信來報，和公主他們聯手，騙過九獄背後的黑手……	It turns out the Mountain Spirit had long sensed malicious interference in the Nine Hells and secretly conspired with the Princess.	誰かがひそかに九獄で破壊してるってこと、山神様はとっくに分かった。だからこっそり手紙で連絡して、姫たちと手を組んで、九獄の裏に隠れてる悪党をだました...…	산신님은 구옥의 누군가가 음모를 꾸미고 있다는 걸 알아채고 이미 밀서를 보내 연락을 취했어요. 공주님 등과 협력해서 구옥 뒤에 있는 흑막을 속인 거죠	ที่แท้​ท่าน​เทพ​ภูผา​ก็​เจอ​ตัว​คน​ที่​ทำ​เรื่อง​แปลก​ๆ​ ใน​แดน​นรก​เก้า​ชั้น​ตั้งแต่แรก​แล้ว​ ก็​เลย​เขียนจดหมาย​ลับ​มา​รายงาน​ และ​ร่วมมือ​กับ​พวก​เจ้าหญิง​ เพื่อ​หลอก​ตัวการ​เบื้องหลัง​แดน​นรก​เก้า​ชั้น​...​															
22	23			辞青	对方以为山神真的已经遭受污染，相信我们会在庆典之后动手，因此提前发起进攻。																1			18:npc_icon_765_1	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						對方以為山神真的已經遭受污染，相信我們會在慶典之後動手，因此提前發起進攻。	The forces from the Nine Hells believed the Mountain Spirit had truly been corrupted, thinking we would attack after the festival. So they struck first.	相手は山神が本当に汚染されていると思って、我々が祭りの後に行動すると信じて、早めに攻撃を始めたのだ。	상대는 산신은 이미 오염됐고, 우리는 축제 뒤에나 움직일 줄 알고 미리 공격을 한 거예요	ฝ่ายตรงข้าม​คิด​ว่า​เทพ​ภูผา​ถูก​ปนเปื้อน​ไป​แล้ว​จริงๆ​ และ​เชื่อ​ว่า​เรา​จะ​ลงมือ​กัน​หลัง​เทศกาล​ ก็​เลย​เริ่ม​โจมตี​ก่อนเวลา​															
23	24			辞青	结果……我方原本的部署就是在庆典前动手解决九狱的事端，安安心心过个好年！																1			18:npc_icon_765_6	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						結果……我方原本的部署就是在慶典前動手解決九獄的事端，安安心心過個好年！	But our original plan was to resolve the Nine Hells issue before the festival so we could celebrate the holidays peacefully!	結局……こちらの本来の配置は、祭りの前に九獄の問題を解決し、安心して良い年を過ごすことだよ！	결론부터 말하면... 우리 쪽은 원래부터 축제 전 구옥의 일을 해결하고 편안한 새해를 맞이할 계획이었던 거였어요!	แต่​เบื้องหลัง​คือ​...​ ฝ่าย​เรา​วางแผน​ไว้​ตั้งแต่แรก​แล้ว​ว่า​จะ​จัดการ​เรื่อง​แดน​นรก​เก้า​ชั้น​ให้ได้​ก่อน​เทศกาล​ จะ​ได้​ฉลอง​ปีใหม่​กัน​อย่าง​สบายใจ​!​															
24	25			辞青	彼此全靠一封贺年信就达成了合作……真的太惊险了！																1			18:npc_icon_765_6	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						彼此全靠一封賀年信就達成了合作……真的太驚險了！	They only needed a simple festival greeting letter to coordinate their actions... Quite thrilling, isn't it?	年賀状一通だけで……お互いの協力を達成したなんて、スリルを感じさせるんだ！	겨우 한 통의 신년 서신으로 협력을 모색하다니... 정말 아슬아슬했죠!	ต่าง​ฝ่าย​ต่าง​ก็​ตกลง​ร่วมมือ​กัน​เพียง​เพราะ​จดหมาย​อวยพร​ปีใหม่​แค่​ฉบับ​เดียว​...​ นี่​มัน​จน​เสี่ยง​เกินไป​แล้ว​!​															
25	26			辞青	还有啊，神兵长说，这次要多谢你。九狱幕后黑手为了以防万一，给山神种下了极强的污染。																1			18:npc_icon_765_4	1																		1;2											1	辭青	Savanna	辞青	지세이	ซาวันน่า						還有啊，神兵長說，這次要多謝你。九獄幕後黑手為了以防萬一，給山神種下了極強的污染。	Oh, and the General asked me to thank you. The mastermind behind the Nine Hells had planted a powerful corruption in the Mountain Spirit as a safeguard.	それにね、神兵長が言ったよ、今回はあなたのおかげだ。九獄の裏の悪党は万が一に備えて、山神に非常に強い汚染を仕掛けた。	그리고, 신병장이 고맙다고 전해 달래요. 구옥의 흑막이 만일의 사태를 대비하기 위해 산신님에게 강력한 오염을 심어 놨나 보더라고요	อีก​อย่าง​นะ​ ท่าน​นายพล​บอ​กว่า​ ใน​ครั้งนี้​ต้อง​ขอบคุณ​คุณ​ด้วย​ เพื่อ​ป้องกัน​ไม่​ให้​แผนการ​ล้มเหลว​ ตัวการ​เบื้องหลัง​แดน​นรก​เก้า​ชั้น​ก็​เลย​ฝัง​มลทิน​ที่​รุนแรง​ให้​กับ​เทพ​ภูผา​															
