id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		2		天星湖丨九璃阁湖心偏殿																1						op_jianpan																											1											天星湖丨九璃閣湖心偏殿	Antiquities Atrium (Side Hall), Stellar Lake	天星湖｜九璃閣・湖心の別殿	천성호|구리각 호수 본관	ทะเลสาบเทียนซิง | หอเก้ารัตน์ ห้องโถงย่อยกลางทะเลสาบ															
2	3		11								1	17	0	113008;114008		0;200701			16;30		1																					1;1												1																														
3	4				<color=#d8d8d8>来到了偏殿，众人便发现了正想强行破开结界的荧惑。</color>									113008;114008		0;200701			16;30		1					bgm_bg_gx_tower01	sfx_story_01_tingxia															1;1												1											<color=#d8d8d8>來到了偏殿，眾人便發現了正想強行破開結界的熒惑。</color>	<color=#d8d8d8>Inside the side hall, they discovered Aiden trying to force the barrier open.</color>	<color=#d8d8d8>別殿へと足を踏み入れると、ちょうど結界を力ずくでこじ開けようとしている熒惑の姿が目に入った。</color>	<color=#d8d8d8>별관에 도착하자 결계를 강제로 해제하려고 하는 마스의 모습이 보였다</color>	[​เมื่อ​มาถึง​โถง​ย่อย​ ทุกคน​ก็​พบ​กับ​ห​ยิง​ฮั่ว​ ซึ่ง​กำลัง​พยายาม​ใช้กำลัง​ฝืน​ฝ่า​ทะลวง​เขต​อาคม​อยู่​]​															
4	5			荧惑	是你吧未央，造出这么麻烦的结界。									113008;114008		0;200701			16;30		1			18:npc_icon_558_2	1																	1;1												1	熒惑	Aiden	熒惑	마스	หยิงฮั่ว						是你吧未央，造出這麼麻煩的結界。	This barrier is yours, isn't it, Everly? Such a bother.	やっぱりお前だな、未央。この面倒な結界を張ったのは。	너구나, 미앙. 이 귀찮은 결계를 만든 게	เธอ​เป็น​คน​ทำ​สิ​นะ​ มิ​โอะ​ ไอ้​พวก​เขต​อาคม​น่าเบื่อ​แบบนี้​เนี่ย​															
5	6			未央	当然，毕竟不能让你跑掉。									113008;114008		0;200701			16;30		1			18:npc_icon_564_1	1																	1;1												1	未央	Everly	未央	미앙	มิโอะ						當然，畢竟不能讓你跑掉。	Obviously. You're not getting away.	ええ。あなたを逃がすわけにはいきませんから。	물론이지. 네가 도망치게 놔둘 수는 없으니까	แน่นอน​สิ​คะ​ ถึง​ยังไง​ทาง​นี้​ก็​จะ​ปล่อย​ให้​เธอ​หนี​ไป​ไม่​ได้​อยู่แล้ว​นี่​คะ​															
6	7			云灿	你为什么要抢走沙漏？									113008;114008		200301;200301	100301;0		16;30		1																					1;1												1	雲燦	Yuncan	雲燦	운찬	หยุนซาน						你為什麼要搶走沙漏？	Why did you take the Hourglass?	どうして砂時計を奪ったんだ？	왜 모래시계를 뺏어간 거지?	ทำไม​นาย​ถึง​ต้อง​แย่ง​นาฬิกาทราย​ไป​ด้วย​?​															
7	8			盈儿	对啊，那是荧心姐姐用来救你的啊！									113008;114008		200301;200301	100301;0		16;30		1			18:npc_icon_563_1	1																	1;1												1	盈兒	Ying	ミチル	영아	หยิง						對啊，那是熒心姐姐用來救你的啊！	Ava needs it for you!	そうだよ、あれは熒心お姉ちゃんが、あなたを救うために使っていたものなのに！	맞아, 마리스 언니는 그걸로 널 구하려고 하는 거라고!	ใช่​ค่ะ​ นั่น​เป็น​ของ​ที่​พี่​ห​ยิง​ซิ​น​ใช้​เพื่อ​ช่วย​เธอ​เลย​นะ​!​															
8	9			荧惑	……									113008;114008		200301;0	100301;101001		16;30		1			18:npc_icon_558_4	1																	1;1												1	熒惑	Aiden	熒惑	마스	หยิงฮั่ว						……	...	……	...	...															
9	10				<color=#d8d8d8>荧惑没有解释，但眼底却浮现出阴鸷的寒意，连嘴角的笑容都变得残忍。</color>									113008;114008		200501;0	100301;101001		16;30		1																					1;1												1			熒心								<color=#d8d8d8>熒惑沒有解釋，但眼底卻浮現出陰鷙的寒意，連嘴角的笑容都變得殘忍。</color>	<color=#d8d8d8>Aiden offered no reply, but a dark chill crept into his gaze, and his smile turned cold and cutting.</color>	<color=#d8d8d8>熒惑は答えようとしない。ただ、その瞳の奥に暗く冷たい光が宿り、口元に浮かぶ笑みさえ残酷な色を帯びていく。</color>	<color=#d8d8d8>마스는 대꾸하지 않았다. 하지만 눈가에는 스산한 기운이 스쳤다. 입가의 미소도 더욱 잔인해졌다</color>	[​ห​ยิง​ฮั่ว​ไม่​ได้​อธิบาย​ แต่​ดวง​ตากลับ​เผย​ให้​เห็น​ความ​เย็นชา​อัน​โหดเหี้ยม​ แม้แต่​รอยยิ้ม​ที่​มุม​ปาก​ก็​เปลี่ยนเป็น​ความโหดร้าย​]​															
