id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		2		昆士区丨伊甸园咖啡花店																1						op_jianpan																									1
2	3				<color=#d8d8d8>店内的布置自然质朴，让人恍若身处于一片花海之中。</color>		1	57:dialg_bg_361				17	-1								1					bgm_role_mandy_lose																										1
3	4				<color=#d8d8d8>每一簇鲜花看起来都被精心打理修剪过，花的芬芳伴随着咖啡的浓香溢满了整个小店。</color>																1																															1
4	5				<color=#d8d8d8>简短地做过自我介绍后，大家很快便熟络了起来。</color>																1						sfx_story_02_chabei																									1
5	6			#playerName	安妮小姐，为什么会开这样的一家店呢？																1																															1
6	7			安妮	其实最初，我想开的只是一家普通的花店。																1			18:npc_icon_708_1	1																											1
7	8			安妮	我本来就很喜欢培育植物，想着这样就可以让它们在这里陪着我。																1			18:npc_icon_708_1	1																											1
8	9			安妮	而且，最让人高兴的是，客人们也很喜欢它们。																1			18:npc_icon_708_1	1																											1
9	10			#playerName	嗯，看得出安妮小姐你真的很喜欢，毕竟这里的花草都被你照顾得很好。																1																															1
10	11			#playerName	我住处的隔壁也有一位开花店的姐姐，她也很喜欢植物。																1																															1
11	12			#playerName	这么说来，你们给人的感觉也很相似呢，都是这么温柔亲切……																1																															1
12	13			安妮	哎呀~是吗？\n谢谢你的称赞~																1			18:npc_icon_708_4	1																											1
13	14			米饭	那、那为什么后来又会多增加了咖啡呢？				7	1.1				803008		201201			14		1																						2;0									1
14	15			安妮	呵呵……说来惭愧，这个的起因是源自于一位我的朋友。				7	1.1				803008					14		1			18:npc_icon_708_1	1																		2;0									1
15	16			安妮	她总是会来这里喝我泡的咖啡，久而久之，我也开始觉得说不定开个咖啡店也不错呢……				7	1.1				803008		200101			14		1			18:npc_icon_708_1	1																		2;0									1
16	17			小曼	那看来这个朋友一定对你很重要吧！				5	1.1				135008;103008		200201;200501	0;100201		14;26		1																					1;1	1;0									1
17	18			安妮	呵呵……没错。\n虽然我和她相识还不算久，但我很珍惜和她的相遇。				5	1.1				135008;103008		0;200901	0;100201		14;26		1			18:npc_icon_708_1	1																	1;1	1;0									1
18	19			特莉丝	安妮小姐，你说的那个朋友是刚刚来过这里的那位蓝发猫族吗？				5	1.1				135008;103008		0;200901			14;26		1																					1;1	1;0									1
19	20			安妮	被你发现了吗？是啊，就是她。				5	1.1				135008;103008		200201;200901			14;26		1			18:npc_icon_708_1	1																	1;1	1;0									1
20	21			小曼	欸？！是那个蓝发美女姐姐吗？\n看上去有些冷漠，我还以为她只是普通的客人……				5	1.1				135008;103008		0;200901	100901;0		14;26		1																					1;1	1;0									1
21	22				<color=#d8d8d8>比起冷静的特莉丝，小曼似乎完全没想到这个情况，惊讶地捂住了嘴巴。</color>				5	1.1				135008;103008		0;200901	100901;0		14;26		1																					1;1	1;0									1
22	23			安妮	呵呵，萝丝小姐总是很寡言啦。\n她在附近的游乐园上班，虽然不顺路，但还是每天都会来这里喝杯浓缩咖啡。				5	1.1				135008;103008		0;200101			14;26		1			18:npc_icon_708_1	1																	1;1	1;0									1
23	24			小曼	每天都来吗？看来那位小姐真的很喜欢这里啊~				5	1.1				135008;103008		0;200101			14;26		1																					1;1	1;0									1
24	25			米饭	浓缩咖啡……不是超级苦的吗？				7	1.1				803008;801008		200801;0	100201;0		14;26		1																					1;1	1;0									1
25	26			红茶	不过我之前听人说起过，咖啡有助于提神，说不定……				7	1.1				803008;801008		200801;0	100201;101001		14;26		1																					1;1	1;0									1
26	27			#playerName	确实，我有时候也会在工作的时候泡一杯咖啡来振作精神。				7	1.1				803008;801008			0;101001		14;26		1																						1;0									1
27	28			安妮	也许吧……不过她总说——\n每当喝着苦涩的咖啡时她才能清晰地感受到眼前的真实。				7	1.1				803008;801008			0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
28			3						7	1.1				803008;801008		200101;0	0;101001		14;26		1														真是个有趣的说法呢……	29						1;1	46;1									1
29	30			#playerName	看来萝丝小姐一定也是个有故事的人吧……				7	1.1				803008;801008			0;101001		14;26		1																					1;1	46;1									1
30	31			安妮	她不怎么提起她的过去，不过，每次和她聊天都会觉得很愉快。				7	1.1				803008;801008			0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
31	32			安妮	我能感觉到，她和我一样，把彼此都当作很重要的存在~				7	1.1				803008;801008		200101;0	0;101001		14;26		1			18:npc_icon_708_4	1																	1;1	46;1									1
32	33			特莉丝	一生中能遇到这样的朋友真的很难得，我非常理解你的心情，安妮小姐。				5	1.1				135008;103008		0;200101	0;100801		14;26		1																					1;1	1;0									1
33	34			小曼	没错没错，大家不是都把这样的朋友称为——灵魂伴侣嘛！				5	1.1				135008;103008		0;200101	100501;100801		14;26		1																					1;1	1;0									1
34	35				<color=#d8d8d8>突然，角落里传来了轻微的响动。</color>				5	1.1				135008;103008		200201;200501			14;26		1						sfx_rolestory_yifu															1;1	46;1									1
35	36			？？？	呃啊——				5	1.1				135008;103008		200201;200501			14;26		1						sfx_story_01_shafa															1;1	46;1									1
36	37				<color=#d8d8d8>伸着懒腰的少女突然从角落的沙发坐起，揉了揉惺忪的睡眼，才发现围坐在一起的众人。</color>				5	1.1				135008;103008					14;26		1																					1;1	46;1									1
37	38			#playerName	……嗯？				5	1.1				135008;103008					14;26		1																					1;1	46;1									1
38	39			安妮	对了，我来介绍一下，这位也是我最近结识的新朋友贝斯特。\n她正在休长假，所以经常会来这里。				5	1.1				135008;103008					14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
39	40			贝斯特	你们在聊什么？\n我刚刚怎么好像听到了萝丝的名字。				5	1.1				135008;103008					14;26		1			18:npc_icon_562_1	1																	1;1	46;1									1
40	41			小曼	安妮小姐正在告诉我们她为什么会开这家店的原因。\n——是因为萝丝小姐哦！				5	1.1				135008;103008			100101;0		14;26		1																					1;1	46;1									1
41	42			贝斯特	因为她？！真的假的？\n难道你不觉得那个家伙很奇怪吗？				5	1.1				135008;103008					14;26		1			18:npc_icon_562_7	1																	1;1	46;1									1
42	43			贝斯特	她每次在这看见我的时候，都会用奇怪的视线盯着我。\n——明明我们都没说过话。				5	1.1				135008;103008					14;26		1			18:npc_icon_562_1	1																	1;1	46;1									1
43	44			安妮	是吗？可我认识的萝丝小姐是个很好的人哦~\n也许是她看贝斯特你太可爱了呢？				5	1.1				135008;103008		200201;100501			14;26		1			18:npc_icon_708_5	1																	1;1	46;1									1
44	45			贝斯特	怎么可能。而且，我总觉得以前在哪里见过她。\n能被我记住的脸，可不一定是什么好人，嘶——				5	1.1				135008;103008					14;26		1			18:npc_icon_562_6	1																	1;1	46;1									1
45	46				<color=#d8d8d8>刚走到众人身边，贝斯特不知为何突然有些痛苦地捂住了头。</color>				5	1.1				135008;103008		200201;200501	0;100201		14;26		1						sfx_rolestory_yifu															1;1	46;1									1
46	47				<color=#d8d8d8>安妮立刻走过去扶住了贝斯特，一脸担心的模样。</color>				5	1.1				135008;103008		200201;200501	0;100201		14;26		1																					1;1	46;1									1
47	48			安妮	你没事吧，贝斯特？				5	1.1				135008;103008		0;200501	0;100201		14;26		1			18:npc_icon_708_5	1																	1;1	46;1									1
48	52			贝斯特	没事，只是刚刚好像想起了什么，有点头疼……\n这感觉可真讨厌！				5	1.1				135008;103008					14;26		1			18:npc_icon_562_6	1	-1																1;1	46;1									1
52	53				<color=#d8d8d8>当——</color>				7	1.1				803008;801008		201201;0			14;26		1								sfx_chapter1_clock													1;1	46;1									1
