id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		0	我	情绪测试是什么？		1	57:dialg_bg_1													1																																1	我		私	나							情緒測試是什麼？		エモーションテストって？	이모션 테스트가 뭐지?																
2	3		0	小白	情绪测试可以挖掘调查官内心的情绪特质，帮助调查官更好地安排工作和生活。									108008							1									pre_00_01_01		108008																					1	小白		シロ	화이트							情緒測試可以挖掘調查官內心的情緒特質，幫助調查官更好地安排工作和生活。		エモーションテストとは、調査官の心の内にあるエモーションの特徴を掘り起こし、より良い仕事と生活を計画するために役立ちます。	이모션 테스트는 조사관의 마음속 이모션 특성을 탐색하고, 조사관이 더 효율적으로 일과 생활을 영위할 수 있도록 도울 수 있습니다.																
3	4		0	小白	您应该知道，情绪粒子的存在，让智慧生命的情绪具备了很强的力量。									108008							1									pre_00_01_02		108008																					1	小白		シロ	화이트							您應該知道，情緒粒子的存在，讓智慧生命的情緒具備了很強的力量。		ご存知だと思いますが、エモーション粒子の存在により、知的生命体のエモーションは非常に強い力を持つようになりました。	이모션 파티클의 존재가 지적 생명체의 이모션을 강하게 만든다는 것을 아시겠죠																
4	5		0	我	情绪力量？																1																																1	我		私	나							情緒力量？		エモーションエネルギー？	이모션 파워?																
5	6		0	小白	是的，新海市正是掌握了情绪能量和情绪科技，才能够迅速成为世界上最繁华发达的地区之一。									108008							1									pre_00_01_03		108008																					1	小白		シロ	화이트							是的，新海市正是掌握了情緒能量和情緒科技，才能夠迅速成為世界上最繁華發達的地區之一。		はい。エモーションエネルギーとテクノロジーを掌握したおかげで、新海市は世界で最も繁栄した地域の一つに急成長しました。	네. 뉴오션 시티에서는 이모션 에너지와 이모션 테크를 장악하고 있으며 전 세계에서 가장 번화한 도시입니다.																
6	7		0	小白	只不过，情绪并不总是受人控制，情绪能量也一样——									108008							1									pre_00_01_04		108008																					1	小白		シロ	화이트							只不過，情緒並不總是受人控制，情緒能量也一樣——		だた、エモーションは常にコントロールできるものではありません。エモーションエネルギーも同じです。	하지만, 감정 곧 이모션은 사람이 통제할 수 없고, 이모션 에너지 역시 동일합니다——																
7	8		0	小白	如果情绪能量超出了身体承受范围，人类就会罹患情绪病，甚至成为傀！									108008							1									pre_00_01_05		108008																					1	小白		シロ	화이트							如果情緒能量超出了身體承受範圍，人類就會罹患情緒病，甚至成為傀！		もしエモーションエネルギーが身体の許容範囲を超えた場合、人間は情緒病にかかり、傀化する可能性すらあります！	이모션 에너지가 신체에서 감당할 수 있는 범위를 넘어서면, 인류는 이모션리스에 걸리고 심지어는 퍼펫이 되기도 합니다!																
8	9		0	小白	情绪测试能够帮助调查官更好地了解自己的情绪，保护自己的情绪。									108008							1									pre_00_01_06		108008																					1	小白		シロ	화이트							情緒測試能夠幫助調查官更好地瞭解自己的情緒，保護自己的情緒。		安定なエモーション状態を維持するために、エモーションテストで自身のエモーションをより深く理解する必要があります。	이모션 테스트는 조사관님께서 자신의 감정을 더 잘 이해하고, 보호하는 데 도움이 될 수 있습니다.																
9	0		0	小白	好了，调查官。接下来正式进入情绪测试环节，请根据实际情况做出选择——									108008							1									pre_00_01_07		108008																					1	小白		シロ	화이트							好了，調查官。接下來正式進入情緒測試環節，請根據實際情況做出選擇——		では調査官、今からエモーションテストが始まります。実際の状況に応じて、選択肢を選んでください。	자, 조사관님. 이제 본격적인 이모션 테스트가 시작되오니 상황에 맞게 선택해 주세요.																
