id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		11				1	57:dialg_bg_301	8	1.1	2	17	-1	108008					27		1					sfx_story_winter_snowstreet			sfx_story_winter_zuji01														37;0											1																														
2	3			#playerName	目前我们掌握的信息有限，为避免引起恐慌，也不能大张旗鼓的调查。				8	1.1				108008					27		1								-1														40;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						目前我們掌握的資訊有限，為避免引起恐慌，也不能大張旗鼓的調查。	Given the limited information we have, we shouldn't raise any alarms by making a big fuss about our investigation.	今把握してる情報は限られてるし、パニックを引き起こさないためにも大々的な調査はできないんだ。	지금 우리가 갖고 있는 정보는 제한적이야. 혼란을 방지하려면 조용히 움직이는 게 좋을 거야	ตอนนี้​ข้อมูล​ที่​เรา​มี​ยัง​จำกัด​ เพื่อ​หลีกเลี่ยง​การ​สร้าง​ความ​ตื่นตระหนก​ เรา​จะ​สืบสวน​อย่าง​เปิดเผย​ไม่​ได้​															
3	4			#playerName	我只是先去找艾琳娜了解一下情况，有小白你在，肯定不会有危险。所以——				8	1.1				108008					27		1																						40;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						我只是先去找艾琳娜瞭解一下情況，有小白你在，肯定不會有危險。所以——	I just want to have a chat with Erina to get more details. With you by my side, Shiro, we can handle whatever comes our way. So—	まずエリナに状況を確認するだけだよ。シロがいるから危険はないはず。だから――	일단 에리나를 찾아서 상황을 좀 더 알아봐야겠어. 화이트, 네가 있으면 위험할 일은 없겠지. 그러니까—	ฉัน​แค่​จะ​ไปหา​เอ​ริ​นา​เพื่อ​ทำความเข้าใจ​กับ​สถานการณ์​ก่อน​ มี​ชิ​โระ​ไป​ด้วย​ ก็​สบายใจ​ขึ้น​เยอะ​เลย​ เพราะ​งั้น​—​															
4			3						8	1.1				108008					27		1														拜托了小白！	5							40;2											1																拜託了小白！	Please, Shiro!	シロ、お願い！	부탁해, 화이트!	ขอร้องละชิโระ!										
5	6			#playerName	事件还未定性，为了避免影响非天她们假期前的心情……还请小白保密！				8	1.1				108008					27		1																						40;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						事件還未定性，為了避免影響非天她們假期前的心情……還請小白保密！	The situation isn't fully assessed yet, and I don't want to dampen the spirits of Asura and the others before the holiday... Let's keep this between us!	事件かどうかまだ分からないから、アスラたちの休暇前の気分に影響を及ぼさないためにも秘密にしてね！	아직 확실하지도 않은 일로 축제를 앞둔 아수라 쪽 애들의 기분을 망치고 싶지 않아... 비밀로 해줘!	เรื่องราว​ยัง​สรุป​อะไร​ไม่​ได้​ เพื่อ​หลีกเลี่ยง​ผลกระทบ​ต่อ​ความรู้สึก​ของ​อา​สึ​ระ​และ​คนอื่นๆ​ ก่อน​วันหยุด​...​ ชิ​โระ​ต้อง​เก็บ​เป็นความลับ​ด้วย​นะ​!​															
6	7			小白	……调查官不用着急说服我，我只是在分析此次行动潜在的风险。				8	1.1				108008			100601		27		1																						40;2											1	小白	Shiro	シロ	화이트	ชิโระ						……調查官不用著急說服我，我只是在分析此次行動潛在的風險。	Inspector, you don't need to convince me. I'm just weighing the potential risks of this operation.	調査官は私を説得する必要はありません。ただ今回の行動のリスクを分析しています。	...... 조사관, 날 설득할 필요는 없어. 난 이번 작전의 리스크를 분석 중일 뿐이야.	...​คุณ​ผู้ตรวจการ​ไม่​จำเป็นต้อง​รีบ​โน้มน้าว​ชิ​โระ​หรอก​ค่ะ​ ชิ​โระ​เพียงแค่​กำลัง​วิเคราะห์​ความเสี่ยง​ที่​อาจ​เกิดขึ้น​จาก​ปฏิบัติการ​ครั้งนี้​ตาม​โปรโตคอล​															
7	8			小白	执行过程中我仍然会优先遵从调查官的指令。\n更何况——				8	1.1				108008		200801	100601		27		1																						40;2											1	小白	Shiro	シロ	화이트	ชิโระ						執行過程中我仍然會優先遵從調查官的指令。\n更何況——	I'll still follow your orders during the execution.\nMoreover—	調査官の指示を優先的に従います。\nましてや——	조사 도중에서도 조사관의 명령을 우선적으로 따를 거고.\n게다가—	ระหว่าง​ปฏิบัติการ​ ชิ​โระ​จะ​ให้ความสำคัญ​กับ​คำสั่ง​ของ​คุณ​ผู้ตรวจการ​เป็น​อันดับ​แรก​ค่ะ​\nยิ่งไปกว่านั้น​—​															
8	9		12	？？	……小小年纪不学好，把……交给我！……下次……不允许……				8	1.1				108008					27		1						sfx_story_02_lajitng															1	30;1											1	？？	??	？？	???	??						……小小年紀不學好，把……交給我！……下次……不允許……	... So young and already causing trouble, give... to me!... Next time... I won't let you...	…子供のくせに、何てことをしやがるんだ……をよこしなさい！次は……許さない……	... 어린 게 버릇만 잘못 들어서, 빨리... 내놔! ... 다음에... 안 돼...	...​ตอน​เด็ก​ๆ​ ไม่​รู้จัก​ตั้งใจ​เรียน​ เอา​มา​...​ ให้​ฉัน​เลย​นะ​!​ ...​คราวหน้า​...​ ไม่​ยอ​ม.​..​															
9	10				<color=#d8d8d8>模糊又熟悉的声音交叠着压抑的抽噎从远处转角的小巷中飘来，在风的扰乱下听不真切。</color>				8	1.1				108008					27		1																					1	30;1											1											<color=#d8d8d8>模糊又熟悉的聲音交疊著壓抑的抽噎從遠處轉角的小巷中飄來，在風的擾亂下聽不真切。</color>	<color=#d8d8d8>Faint, familiar voices mingled with muffled sobs drifted from the street corner, carried by the wind.</color>	<color=#d8d8d8>遠くの曲がり角の路地から聞きなれた声とすすり泣く声が聞こえてきたが、風のせいではっきりと聞こえない。</color>	<color=#d8d8d8>또렷하진 않지만, 저 멀리 모퉁이 뒤의 골목에서 울음을 참는 듯한 익숙한 목소리가 들려왔다. 바람 때문에 내용이 정확히 들리진 않았다</color>	[​มีเสียง​ลม​รบกวน​ทำให้​ฟัง​ไม่​ถนัด​ เป็น​เสียง​ที่​ฟัง​ไม่​ชัด​แต่​ก็​รู้สึก​คุ้นเคย​ ผสม​กับ​เสียงสะอื้น​ที่​พยายาม​กลั้น​ไว้​ลอย​มาจาก​ตรอก​เล็ก​ๆ​ ตรง​มุมถนน​ไกลๆ​]​															
10	11		12	？？	你们再不拿出来……小心我……我现在就……！				8	1.1				108008					27		1																					1	30;1											1	？？	??	？？	???	??						你們再不拿出來……小心我……我現在就……！	If you don't hand it over... I'll... right now...!	今すぐ出さないと、ただじゃおかないよ！	당장 내놓지 않으면... 조심해... 자꾸 이러면 내가...!	ถ้า​พวก​นาย​ไม่​เอา​ออกมา​ตอนนี้​...​ ระวังตัว​ไว้​...​ ฉัน​จะ​...!​															
11			3						8	1.1				108008					27		1														这声音是？！！	12						1	30;1											1																這聲音是？！！	That voice?!!	この声は！？	이 목소리는?!!	เสียงนี้มัน?!!!										
12	13			#playerName	糟糕，我们该不会是撞上了什么恶劣行为的现场吧？！				8	1.1				108008					27		1																					0	40;0.5											1	#playerName	#playerName	#playerName	#playerName	#playerName						糟糕，我們該不會是撞上了什麼惡劣行為的現場吧？！	Oh no, we didn't just stumble upon something terrible, did we?	やばっ、何か悪質な行為の現場に遭遇しちゃったのかな！？	이런, 우리 지금 범죄 현장을 맞닥뜨리기라도 한 건가?!	แย่​ล่ะ​ เรา​คง​ไม่​ได้​บังเอิญ​มา​เจอ​เหตุการณ์​ร้ายแรง​อะไร​อยู่​ใช่ไหม​?!​															
13	14		11								2	18	0						27		1						sfx_story_winter_zuji02																30;0.5											1																														
14	15		11								1	17	-1								1					-1																	1;0											1																														
15	16		11								1	1	0								1						sfx_story_03_zhuangtou																1;0											1																														
