id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		0	小白	正在为您生成报告。		1	57:dialg_bg_1						108008							1									pre_00_02_01		108008																					1	小白		シロ	화이트							正在為您生成報告。		レポート生成中です、しばらくお待ちください。	리포트를 생성하는 중입니다.																
2	3		0	小白	嗯。久等了，这是您的报告结果。									108008							1									pre_00_02_02		108008																					1	小白		シロ	화이트							嗯。久等了，這是您的報告結果。		大変お待たせしました、こちらが調査官の結果レポートです。	네. 오래 기다리셨습니다. 조사관님의 테스트 결과 리포트입니다.																
3	4		0	小白	嗯。久等了，这是您的报告结果。		1	57:dialg_bg_1													1																																1	小白		シロ	화이트							嗯。久等了，這是您的報告結果。		大変お待たせしました、こちらが調査官の結果レポートです。	네. 오래 기다리셨습니다. 조사관님의 테스트 결과 리포트입니다.																
4	5		0	小白	调查官，看起来您还有一些疑惑。您应该也已经察觉到了这里的不同了吧？									108008							1									pre_00_03_01		108008																					1	小白		シロ	화이트							調查官，看起來您還有一些疑惑。您應該也已經察覺到了這裡的不同了吧？		調査官、まだ疑問があるようですね。今いるこの場所の違和感に気付きましたか？	조사관님, 아직 궁금하신 것이 있으신가 봅니다. 이곳이 뭔가 다른 것을 느끼셨나 보군요?																
5	6		0	我	所以，这里是不真实的？刚才的一切都不是真的吗？									108008							1									pre_00_03_02		108008																					1	我		私	나							所以，這裡是不真實的？剛才的一切都不是真的嗎？		つまり、ここは実在している場所じゃないと……？さっきのも現実じゃないのか？	그래서, 여기는 현실 세계가 아닌 거야? 좀 전에 봤던 것은 모두 현실이 아닌 거였어?																
6	7		0	小白	梦境连接着潜意识海洋，透过时空的裂隙，有时能窥见被映射的「过去」与「未来」。									108008							1									pre_00_03_03		108008																					1	小白		シロ	화이트							夢境連接著潛意識海洋，透過時空的裂隙，有時能窺見被映射的「過去」與「未來」。		夢は潜在意識の海と繋がっています。時空の亀裂を通じて、時には映し出された「過去」と「未来」を垣間見ることができます。	꿈속 세계는 잠재의식과 연결되어 있습니다. 시간과 공간의 틈을 통해 때때로 비춰지는 「과거」와 「미래」를 볼 수 있습니다.																
7	8		0	小白	所以，现在您所看到的只是尚未发生的未来，而那一天终会到来的。									108008							1									pre_00_03_04		108008																					1	小白		シロ	화이트							所以，現在您所看到的只是尚未發生的未來，而那一天終會到來的。		今あなたが見ているのは、まだ起きていない「未来」に過ぎませんが、いつか必ず現実になるでしょう。	그렇기 때문에 좀 전에 보신 것은 아직 발생하지 않은 미래일 수도 있으며, 언젠가 돌아올 것입니다.																
8			3																		1														未来……	9																	1																未來……		未来……	미래라…											
9	10		0	小白	调查官，我已经说得太多了。故事将要展开，在您的世界，「我」正期待着，与您相遇。									108008							1									pre_00_03_05		108008																					1	小白		シロ	화이트							調查官，我已經說得太多了。故事將要展開，在您的世界，「我」正期待著，與您相遇。		調査官、これが私がお話できる全てです。もうすぐ物語が始まります。\nあなたの世界で、「私」はあなたと出会うことを期待していますよ。	조사관님, 제가 너무 많이 말했나 봅니다. 이제 곧 이야기가 전개될 것입니다, 당신의 세계에서, 「제」가 당신을 만나기를 기대하고 있을 것입니다.																
10			3				1	57:dialg_bg_6				17	0								1														原来是梦境啊...	11																	1																原來是夢境啊...		なんだ……ただの夢だったのか……	꿈이었구나…											
11	12		0	我	马上就要正式入职暴风眼了，一定是我太紧张了...																1																																1	我		私	나							馬上就要正式入職暴風眼了，一定是我太緊張了...		もうすぐストームアイに配属される、きっと緊張しすぎていたんだろうな……	이제 곧 스톰아이에 입관할 거라서 그런지, 너무 긴장했나 봐…																
12	0		0	我	终于要成为「调查官」了，我已经开始期待了呢...																1																																1	我		私	나							終於要成為「調查官」了，我已經開始期待了呢...		やっと「調査官」になれる、もう待ちきれないよ……	드디어 「조사관」이 됐어. 정말 기대되네…																
