messageId	isIcon	emoPath	head1	feHead2	head2	waitTime	isShowHint	isMe	status	备注	hash	head2Text	head2Text_zh_TW	head2Text_en_UK	head2Text_ja_JP	head2Text_ko_KR	head2Text_th_TH	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH	feText	feText_zh_TW	feText_en_UK	feText_ja_JP	feText_ko_KR	feText_th_TH	head1Text	head1Text_zh_TW	head1Text_en_UK	head1Text_ja_JP	head1Text_ko_KR	head1Text_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1001			18:npc_icon_642_1	18:npc_icon_608_1	18:npc_icon_608_1	1	0	1	1	1001033	7f3508fcc1b6e475818792530f552319	战斗员非天	戰鬥員非天	Combatant Asura	戦闘員アスラ	전투원 아수라	เอเจนต์อาสึระ	小白，调查官入职完成了吗？	小白，調查官入職完成了嗎？	Shiro, has Inspector joined us yet?	シロ、調査官の配属手続きは終わりましたか？	화이트, 조사관은 임관했어?	ชิโระ ผู้ตรวจการเริ่มงานหรือยัง?	小白，调查官入职完成了吗？	小白，調查官入職完成了嗎？	Shiro, has Inspector joined us yet?	シロ、調査官の配属手続きは終わりましたか？	화이트, 조사관은 임관했어?	ชิโระ ผู้ตรวจการเริ่มงานหรือยัง?	贝克猫小队	貝克貓小隊	Baker Squad	チャット・ベイカーキャット	베이커캣팀	ทีมเบเกอร์
1002			18:npc_icon_642_1	18:card_icon_108008_2	18:card_icon_108008_2	1.5	0	1	1		c7c6949766521b451b51c371d368ba05	AI助理小白	AI助理小白	AI Assistant Shiro	AIアシスタントシロ	AI 어시스턴트 화이트	AI ผู้ช่วยชิโระ	已完成入职。	已完成入職。	The Inspector's onboarding is completed.	配属手続きは完了しました。	네, 임관하셨습니다	การเข้างานเสร็จสิ้นเรียบร้อยแล้วค่ะ	已完成入职。	已完成入職。	The Inspector's onboarding is completed.	配属手続きは完了しました。	네, 임관하셨습니다	การเข้างานเสร็จสิ้นเรียบร้อยแล้วค่ะ	贝克猫小队	貝克貓小隊	Baker Squad	チャット・ベイカーキャット	베이커캣팀	ทีมเบเกอร์
1003			18:npc_icon_642_1	18:npc_icon_608_1	18:npc_icon_608_1	1.5	0	1	1		b25fdc1cfc3cc6b76d18099d94c4f592	战斗员非天	戰鬥員非天	Combatant Asura	戦闘員アスラ	전투원 아수라	เอเจนต์อาสึระ	五城广场疑似有高级傀化物活动，请求支援！	五城廣場疑似有高級傀化物活動，請求支援！	Elite Anomalies discovered at Quintupolis Plaza; requesting backup!	五城広場で高級傀化物が活動している模様、支援を要請する！	펜타폴리스에서 고급 퍼펫화 생물이 돌아다니는 것 같아. 어서 지원해 줘!	พบการเคลื่อนไหวของหุ่นเชิดระดับสูงที่จัตุรัสควินซ์ ขอความช่วยเหลือด่วน!	五城广场疑似有高级傀化物活动，请求支援！	五城廣場疑似有高級傀化物活動，請求支援！	Elite Anomalies discovered at Quintupolis Plaza; requesting backup!	五城広場で高級傀化物が活動している模様、支援を要請する！	펜타폴리스에서 고급 퍼펫화 생물이 돌아다니는 것 같아. 어서 지원해 줘!	พบการเคลื่อนไหวของหุ่นเชิดระดับสูงที่จัตุรัสควินซ์ ขอความช่วยเหลือด่วน!	贝克猫小队	貝克貓小隊	Baker Squad	チャット・ベイカーキャット	베이커캣팀	ทีมเบเกอร์
1004			18:npc_icon_609_1	18:npc_icon_609_1	18:npc_icon_609_1	1.5	0	1	1	1001093	4518eab2a5133f0a18e9c067a0f73269	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค	我是艾可。	我是艾可。	It's Echo.	アイコよ。	난 에코야	นี่เอคโคนะ	我是艾可。	我是艾可。	It's Echo.	アイコよ。	난 에코야	นี่เอคโคนะ	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค
1005			18:npc_icon_609_1	18:npc_icon_609_1	18:npc_icon_609_1	1	1	1	1		d68f6eb1106aba9368d39066a495d375	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค	调查官，情况紧急，拜托你，快想想办法转移话题！>口<	調查官，情況緊急，拜託你，快想想辦法轉移話題！>口<	Inspector, quickly, we need to change the subject!	調査官、緊急事態発生！お願い！なんとか話題を変えて！	조사관, 긴급 상황이니까. 어서 화제를 전환해 줘!>口<	ผู้ตรวจการ นี่เรื่องด่วน! ช่วยเปลี่ยนเรื่องคุยเร็ว! >口<	调查官，情况紧急，拜托你，快想想办法转移话题！>口<	調查官，情況緊急，拜託你，快想想辦法轉移話題！>口<	Inspector, quickly, we need to change the subject!	調査官、緊急事態発生！お願い！なんとか話題を変えて！	조사관, 긴급 상황이니까. 어서 화제를 전환해 줘!>口<	ผู้ตรวจการ นี่เรื่องด่วน! ช่วยเปลี่ยนเรื่องคุยเร็ว! >口<	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค
1006			18:npc_icon_609_1	18:npc_icon_649_2	18:npc_icon_649_1	1.5	0	2	1		d54833d15c86c98be12d0df245bec17b	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	诶？！	咦？！	Hm?!	あれ？！	뭐?!	เอ๊ะ?!	诶？！	咦？！	Hm?!	あれ？！	뭐?!	เอ๊ะ?!	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค
1007			18:npc_icon_609_1	18:npc_icon_609_1	18:npc_icon_609_1	1	1	1	1		5bede7b3d3a0b41b707f5d93c9df22fb	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค	父母的话题对非天来说太沉重了……	父母的話題對非天來說太沉重了……	Talk of family and parents is too much for Asura…	アスラにとって親の話題は重すぎるの！	아수라한테 부모님 이야기는 금기라구…	เรื่องพ่อแม่เป็นเรื่องหนักหนาเกินไปสำหรับอาสึระ...	父母的话题对非天来说太沉重了……	父母的話題對非天來說太沉重了……	Talk of family and parents is too much for Asura…	アスラにとって親の話題は重すぎるの！	아수라한테 부모님 이야기는 금기라구…	เรื่องพ่อแม่เป็นเรื่องหนักหนาเกินไปสำหรับอาสึระ...	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค
1008			18:npc_icon_609_1	18:npc_icon_649_2	18:npc_icon_649_1	1.5	0	2	1		783afffd00c5d4fe27bf24d2f7027461	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……怎么办，一时半会想不到要说什么！	……怎麼辦，一時半會想不到要說什麼！	…What should I say?	どうしよう、いきなりそんなこと言われても、なにを言えばいい？	...어떡하지. 갑자기 말하니까 무슨 말을 해야 할지 모르겠어!	...จะทำยังไงดี คิดไม่ออกเลยว่าจะพูดอะไร!	……怎么办，一时半会想不到要说什么！	……怎麼辦，一時半會想不到要說什麼！	…What should I say?	どうしよう、いきなりそんなこと言われても、なにを言えばいい？	...어떡하지. 갑자기 말하니까 무슨 말을 해야 할지 모르겠어!	...จะทำยังไงดี คิดไม่ออกเลยว่าจะพูดอะไร!	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค
1009			18:npc_icon_609_1	18:npc_icon_609_1	18:npc_icon_609_1	1	1	1	1		88b323cc57d715424c40d059fcd65db0	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค	我也不知道啊，艾可超怕这样的非天。	我也不知道啊，艾可超怕這樣的非天。	I don't know, just anything. She's scary like this...	アイコもわかんないよ。アスラがあんな顔になると、なんだか怖いもん。	나도 몰라, 에코는 아수라가 이럴 때 제일 무섭다구.	ฉันก็ไม่รู้เหมือนกัน เอคโคกลัวอาสึระที่เป็นแบบนี้มากๆ เลย	我也不知道啊，艾可超怕这样的非天。	我也不知道啊，艾可超怕這樣的非天。	I don't know, just anything. She's scary like this...	アイコもわかんないよ。アスラがあんな顔になると、なんだか怖いもん。	나도 몰라, 에코는 아수라가 이럴 때 제일 무섭다구.	ฉันก็ไม่รู้เหมือนกัน เอคโคกลัวอาสึระที่เป็นแบบนี้มากๆ เลย	战斗员艾可	戰鬥員艾可	Combatant Echo	戦闘員アイコ	전투원 에코	เอเจนต์เอคโค
