id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2			我	「秘密之源——猫族文化展览」……		1	57:dialg_bg_64				17									1																																	1																														
2	3			我	好像还是第一次见到博物馆举办这种题材的展览。																1																																	1																														
3	4			云沛	你好像对这种题材很感兴趣。_n想去看看吗？				2	1.1				114008			101001		20		1																						43;1											1																														
4			3						2	1.1				114008			101001		20		1														可以吗？	5							43;1											1																														
5	6			我	毕竟是难得的休息日。\n参观博物馆，也算是和你的工作相关的活动……				2	1.1				114008			101001		20		1																						43;1											1																														
6	7			我	本来就是为了答谢博士的帮助，才特地邀请你出来吃饭。\n结果却演变成加班……				2	1.1				114008			101001		20		1																						43;1											1																														
7	8			云沛	……原来调查官担心的是这件事。\n没关系的。这不只是我的工作，也是我的兴趣所在。				2	1.1				114008		200101			20		1									vo_Yunpei_00_02													43;1											1																														
8	9			云沛	也很久没有放松下来，纯粹「参观」什么地方了。\n想去的话，就一起去吧。				2	1.1				114008		200101			20		1									vo_Yunpei_00_01													43;1											1																														
9	10			我	没想到，展厅内部居然这么大。		1	57:dialg_bg_66				17									1					bgm_universal_survey01																	1;1											1																														
10	11			我	「本次共展出300多件藏品，涵盖了猫族历史、科技、生活、娱乐等各个方面……」																1																																	1																														
11	12			我	内容相当丰富啊……_n这样对猫族的了解就可以大大增加了。																1																																	1																														
12	13			我	没想到出来散步也能遇到这种难得的机会，真是意外的收获。																1																																	1																														
