id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2			#playerName	她……她难道是那个萝丝小姐？		1	57:dialg_bg_387	8	1.5		17	-1	801008		200601			26		1					bgm_bg_gx_tower01																1	45;0									1
2	3			红茶	什么？！				8	1.5				801008		200301	101001		26		1																					1	45;0									1
3	4				<color=#d8d8d8>还没来得及从这份震惊中回过神，又传来了两个匆忙的脚步声。</color>				8	1.5				801008		200301	101001		26		1						sfx_rolestory_jiaobujin	0.5	sfx_rolestory_jiaobujin													1	45;0									1
4	5			米饭	对不起，调查官大人，刚刚贝斯特突然就跑了出去……				8	1.5				803008;801008		200801;200601	0;101001		14;26		1						sfx_story_01_tingxia															0;803008	46;1									1
5	6				<color=#d8d8d8>刚刚到达现场的米饭看到如此场面，不禁陷入了疑惑。</color>				8	1.5				803008;801008		201201;200601	0;101001		14;26		1																					0;803008	46;1									1
6	7			米饭	欸？大家怎么是这样的表情？				8	1.5				803008;801008		0;200601	100201;0		14;26		1																					1;1	46;1									1
7	21			#playerName	没……没什么。就，发生了很多事——				8	1.5				803008;801008		0;200601	100201;0		14;26		1																						46;1									1
21	22			贝斯特	默不作声地离队这么久，都没有什么话要说吗？				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_562_5	1																	1;1	46;1									1
22	23				<color=#d8d8d8>望着决然离去的背影，贝斯特无奈地叹了口气。</color>				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
23	24			贝斯特	连正式申请都没有的离队行为，我是不会认可的。				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_562_6	1																	1;1	46;1									1
24	25			#playerName	刚刚的那个猫族，是贝斯特你认识的人吗？				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
25	26			贝斯特	嗯，她是我在天狼星的同伴，雅波伦，只是最近可能到了叛逆期……				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_562_1	1				sfx_story_03_sanbu													1;1	46;1									1
26	27			安妮	看来……我好像错过了什么重要的事情呢~				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_708_5	1	-1			-1													1;1	46;1									1
27	28				<color=#d8d8d8>姗姗来迟的安妮笑盈盈地从众人背后出现，没人知道她是什么时候站在那里的。</color>				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
28	29			#playerName	安妮小姐，有件事要告诉你，你的朋友其实是……				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
29	30			安妮	我知道哦，她其实是为了贝斯特才会出现在这里吧~				8	1.5				803008;801008		201201;200601	0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
30	31			米饭	欸？！什么、什么意思？				8	1.5				803008;801008		201201;200601	100901;101001		14;26		1																					0;803008	1;1									1
31	32			红茶	刚刚我们在这遇到了一个蓝发猫族……				8	1.5				803008;801008		201201;200601	100901;101001		14;26		1																					801008;803008	1;1									1
32	33				<color=#d8d8d8>红茶复述了刚才的情况。</color>				8	1.5				803008;801008		200801;200601			14;26		1																					801008;803008	1;1									1
33	34			米饭	什么？！原来萝丝小姐其实是贝斯特的朋友吗？那每天来店里也是为了……				8	1.5				803008;801008		0;200601	100201;0		14;26		1																					801008;803008	1;1									1
34	35			红茶	可是……贝斯特见过她这么多面，却没能想起来她是谁吗？				8	1.5				803008;801008		0;200601	100201;0		14;26		1																					801008;803008	1;1									1
35	36			#playerName	这就是刚刚雅波伦利用那个古钟的力量造成的吧。				8	1.5				803008;801008		200801;200601	100201;0		14;26		1																						1;1									1
36	37			红茶	……是啊，我们竟然连追击暴饮这样重要的事情也忘掉了……这股力量还真是奇妙！				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																						1;1									1
37	38			#playerName	不过，安妮小姐你是什么时候发现萝丝小姐是雅波伦的呢？				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
38	39			安妮	嗯？我并不知道她的真实身份啊，雅波伦这个名字我还是第一次听说。				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_708_1	1	bgm_plot_trust01																1;1	46;1									1
39	40			#playerName	可你刚刚不是说——				8	1.5				803008;801008		200801;200601	0;101001		14;26		1																					1;1	46;1									1
40	41			安妮	这种事情，只要细心一点就会发现哦！女孩子的直觉可是很准的~				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
41	42			安妮	毕竟萝丝小姐每次都很在意贝斯特的存在，很难不去想这其中的原因呢。				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
42	43			安妮	本来还想趁这次生日会的时候打探一下……看来是不行了。				8	1.5				803008;801008		200801;200601	0;101001		14;26		1			18:npc_icon_708_1	1																	1;1	46;1									1
