id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2				<color=#d8d8d8>在商业街巡逻了许久，累了在一边坐下休息，低头查看内部通讯器上是否有新的消息。</color>		1	57:dialg_bg_509	8	1.1		17	-1								1																						46;2											1											<color=#d8d8d8>在商業街巡邏了許久，累了在一邊坐下休息，低頭查看內部通訊器上是否有新的消息。</color>	<color=#d8d8d8>After a long patrol through Commercial Street, I took a moment to rest and check my Intercom Device for updates.</color>	<color=#d8d8d8>商店街を長い間パトロールして疲れたので、少し座って休憩することにした。内部通信機に新しいメッセージが届いているかどうかを確認する。</color>	<color=#d8d8d8>오랫동안 상점가를 순찰하자 너무 피곤해져 잠시 앉아서 쉬면서 내부 통신기에 새로운 메시지가 있는지 확인했다.</color>	[​หลังจาก​ลาดตระเวน​ใน​ย่าน​ถนน​การค้า​มา​นาน​ จึง​นั่ง​พัก​ริม​ทาง​ด้วย​ความ​เหนื่อยล้า​ จากนั้น​ก็ได้​ก้มลง​ดู​อุปกรณ์​สื่อสาร​ภายใน​ ตรวจสอบ​ว่า​มี​ข้อ​ความใหม่​เข้ามา​หรือไม่​]​															
2	3				<color=#d8d8d8>咔哒——咔哒——</color>				8	1.1											1																						46;2											1											<color=#d8d8d8>哢噠——哢噠——</color>	<color=#d8d8d8>Click-click.</color>	<color=#d8d8d8>カツ——カツ——</color>	<color=#d8d8d8>또각, 또각</color>	[กึก— กึก—]															
3	4				<color=#d8d8d8>清脆的高跟鞋踩地的声音由远及近，在身边停了下来。</color>				8	1.1											1						sfx_story_01_gaogen																46;2											1											<color=#d8d8d8>清脆的高跟鞋踩地的聲音由遠及近，在身邊停了下來。</color>	<color=#d8d8d8>Suddenly, I heard the crisp sound of high heels approaching and stopping beside me.</color>	<color=#d8d8d8>ハイヒールが地面を踏む音が遠くから聞こえ、そばで止まった。</color>	<color=#d8d8d8>뚜렷한 하이힐 소리가 점점 커지더니 내 근처에서 멈췄다.</color>	[​เสียง​รองเท้าส้นสูง​กระทบ​กับ​พื้น​ดังก้อง​มาจาก​ระยะไกล​ ค่อยๆ​ เข้ามา​ใกล้​ และ​ในที่สุด​ก็​มา​หยุด​อยู่​ข้างๆ​]​															
4	5				<color=#d8d8d8>抬头一看，一个熟悉的脸庞正从高处俯视着这边。</color>				8	1.1				140008					20		1					bgm_universal_survey01																	1;0											1											<color=#d8d8d8>抬頭一看，一個熟悉的臉龐正從高處俯視著這邊。</color>	<color=#d8d8d8>Looking up, I was met by a familiar face gazing down at me.</color>	<color=#d8d8d8>見上げると、見慣れた顔が高いところからこちらを見下ろしている。</color>	<color=#d8d8d8>고개를 들어보니 익숙한 얼굴이 위에서 나를 바라보고 있었다.</color>	[​เงยหน้า​ขึ้น​ดู​ พบ​ใบหน้า​คุ้นเคย​กำลัง​มอง​ลง​มาจาก​เบื้องบน​]​															
5	6			#playerName	多……多洛茜？				8	1.1				140008		200901			20		1																						43;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						多……多洛茜？	Do-Dorothy?	ド……ドロシー？	도... 도로시?	ดะ... โดโรธี?															
6	7			多洛茜	调查官……节日愉快~				8	1.1				140008			10202		20		1																						43;2											1	多洛茜	Dorothy	ドロシー	도로시	โดโรธี						調查官……節日愉快~	Inspector... Happy holidays!	調査官……ハッピーバレンタインデー〜	조사관~ 해피 밸런타인데이~	คุณ​ผู้ตรวจ​กา​ร.​..​ สุขสันต์​วัน​เทศกาล​นะคะ​~​															
7	8				<color=#d8d8d8>下意识地迅速站了起来，做出防御的姿势。上次被她「请」到庄园的事情还历历在目。</color>				8	1.1				140008		200201			20		1						sfx_story_01_shafa																43;2											1											<color=#d8d8d8>下意識地迅速站了起來，做出防禦的姿勢。上次被她「請」到莊園的事情還歷歷在目。</color>	<color=#d8d8d8>Instinctively, I stood up quickly, adopting a defensive stance, vividly recalling my last "invitation" to her manor.</color>	<color=#d8d8d8>反射的に素早く立ち上がって、防御の姿勢をとる。この前彼女に荘園に「招待」されたことはまだありありと目に浮かぶ。</color>	<color=#d8d8d8>나도 모르게 빠르게 일어나 방어 태세를 취했다. 지난번에 집으로 「초대」되었던 일은 아직도 생생했다.</color>	[​สัญชาตญาณ​ถูก​ปลุก​ขึ้น​อย่าง​รวดเร็ว​ ร่างกาย​ตั้งท่า​ป้องกัน​โดยไม่รู้ตัว​ ภาพ​เหตุการณ์​เมื่อ​ครั้ง​ก่อนที่​ถูก​เธอ​ "​เชื้อเชิญ​"​ ไป​ยัง​คฤหาสน์​ของ​เธอ​ยังคง​ชัดเจน​ไม่​จางหาย​]​															
8	9			#playerName	你……出现在这里，该不会又有什么特别的想法吧？				8	1.1				140008					20		1																						43;2											1	#playerName	#playerName	#playerName	#playerName	#playerName						你……出現在這裡，該不會又有什麼特別的想法吧？	You didn't just show up here to plan something again, did you?	君、また変なことを考えているんじゃないだろうな？	...또 무슨 꿍꿍이로 여기에 나타난 거지?	นี่​เธอ​...​ โผล่​มา​อยู่​ที่นี่​ คง​ไม่​ได้​มี​ความคิด​อะไร​แปลก​ๆ​ อีก​ใช่ไหม​?​															
9	10			多洛茜	您多虑了~				8	1.1				140008			100101		20		1																						43;2											1	多洛茜	Dorothy	ドロシー	도로시	โดโรธี						您多慮了~	You're overthinking things.	余計な心配ですわ。	아이~ 그렇게 말하면 나 상처받아요?	คุณ​คิด​มากเกินไป​แล้ว​ล่ะ​ค่ะ​~​															
