id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		14					57:countdown_174													1								sfx_universal_countdown01														1;0											1																														
2	3		0		<color=#d8d8d8>午餐时间已过，玻璃门上挂着休息时间的牌子，隔着玻璃，隐约看到有人正在吧台等候。</color>			57:dialg_bg_162				17	-1								1								sfx_story_01_jiedao												1		1;0											1											<color=#d8d8d8>午餐時間已過，玻璃門上掛著休息時間的牌子，隔著玻璃，隱約看到有人正在吧台等候。</color>	<color=#d8d8d8>It was already past lunch hour, and there was a Break sign hanging on the glass door. Through the glass, someone can vaguely be seen waiting at the bar.</color>	<color=#d8d8d8>ランチタイムが過ぎ、扉には休憩の札が掛かっている、だが、ガラス越しにバーで待っている人がぼんやりと見えた。</color>	<color=#d8d8d8>점심시간을 훌쩍 넘긴 시간, 카페테리아의 유리문에는 브레이크 타임이 적힌 팻말이 걸려있고 그 너머 바에서 우리를 기다리는 누군가의 모습이 어렴풋이 보인다</color>	[​เลยเวลา​อาหารกลางวัน​แล้ว​ ที่​ประตู​กระจก​แขวน​ป้าย​ '​เวลา​พัก​'​ อยู่​ มองผ่าน​กระจก​ไป​เห็น​ใคร​บางคน​กำลัง​รอ​อยู่​ที่​เคาน์เตอร์​บาร์​]​															
3	4		0	小白	调查官，那位应该就是云沛小姐的朋友。																1			18:card_icon_108008_2	1					story_00_02_695											1		1;0											1	小白	Shiro	シロ	화이트	ชิโระ						調查官，那位應該就是雲沛小姐的朋友。	She is probably Ms. Yunpei's friend, Inspector.	調査官、あの人が雲沛さんの友人のはずです。	조사관님, 저분이 바로 운비 씨의 친구 같네요	คุณ​ผู้ตรวจการ​ บุคคล​นั้น​น่าจะ​เป็นเพื่อน​ผู้​ติดต่อ​ของ​คุณ​หยุ​น​เพ่​ย​ค่ะ​															
4			3																		1														我们去打个招呼吧。	5					1		1;0											1																我們去打個招呼吧。	Let's go and greet her.	挨拶に行こう。	가서 인사 하자	พวกเราไปทักทายกันเถอะ										
5	6		0									4	0								1																				1		1;0											1																														
6	7		0		<color=#d8d8d8>店门自动开启，伴随风铃轻响，紧随而来的却是——</color>			57:dialg_bg_400													1						sfx_story_01_fengling		-1												1		1;0											1											<color=#d8d8d8>店門自動開啟，伴隨風鈴輕響，緊隨而來的卻是——</color>	<color=#d8d8d8>The restaurant door opened automatically with a soft chime of the wind bell, but what came after was...</color>	<color=#d8d8d8>店のドアが自動的に開き、風鈴の優しい音が鳴り響く、そして——</color>	<color=#d8d8d8>카페테리아의 문이 자동으로 열렸다. 풍경 소리와 함께 갑자기...</color>	[​ประตู​ร้าน​เปิด​อัตโนมัติ​ พร้อม​เสียง​กระดิ่ง​ลม​ดัง​แผ่วเบา​ แต่​สิ่ง​ที่​ตามมา​คือ​—]​															
7			3																		1					sfx_story_03_zhuangtou									看，看不到了！呼吸困难！	8					1		1;0											1																看，看不到了！呼吸困難！	I... I can't see! I can't breathe either!	何も見えない！呼吸ができない！	앞, 앞이 안 보여! 숨 막혀!	มอง มองไม่เห็น! หายใจไม่ออก!										
8	9		0									29	0								1																				1		1;0											1																														
9	10		11					57:story_cg_134_1			2										1																						1;0											1																														
10	11		0	祈	嗯~~？																1					bgm_universal_sexy				story_00_02_696													1;0											1	祈	Qi	祈	기	ฉี						嗯~~？	Hmm?	ん〜？	응~~?	อืม~~?															
11	12		0	祈	调查官怎么才回来，奴家等你很久了呢~																1									story_00_02_697													1;0											1	祈	Qi	祈	기	ฉี						調查官怎麼才回來，奴家等你很久了呢~	What took you so long, Inspector? I've been waiting for you here for so long!	調査官遅いわ～ずっと待っていたのよ～	조사관, 왜 이제야 오셨소? 소첩이 얼마나 기다렸는지 아시오~	ผู้ตรวจการ​ กลับมา​ช้า​เหลือเกิน​ เรา​รอ​อยู่​นาน​แล้ว​นะ​~​															
12			3																		1														祈……？	13							1;0											1																祈……？	Qi...?	祈……？	기…?	ฉี...?										
13	14		0		<color=#d8d8d8>努力抬起头，才勉强看清自己撞进了怎样一湾波涛汹涌的温柔乡。</color>																1																						1;0											1											<color=#d8d8d8>努力抬起頭，才勉強看清自己撞進了怎樣一灣波濤洶湧的溫柔鄉。</color>	<color=#d8d8d8>After struggling to lift my head, I could barely see what a well-endowed tenderness I crashed into.</color>	<color=#d8d8d8>一生懸命頭を上げ、ようやく自分が何処にぶつかったのかに気づいた。</color>	<color=#d8d8d8>겨우 고개를 들어 음기 가득한 굴곡진 몸매에 파묻힌 나의 모습을 확인할 수 있었다</color>	[​พยายาม​เงยหน้า​ขึ้น​มอง​ ถึง​ได้​เห็น​ว่า​ตัวเอง​ชน​เข้ากับ​อ้อมกอด​อัน​อ่อนนุ่ม​ราว​คลื่น​ซัด​เข้า​ฝั่ง​]​															
14	15		0	祈	啊~上次分别后，你我险些天人永隔……奴家真的好担心呢~																1									story_00_02_698													1;0											1	祈	Qi	祈	기	ฉี						啊~上次分別後，你我險些天人永隔……奴家真的好擔心呢~	Oh, dear. After we parted ways last time, we were almost separated forever... I was really worried for you!	ああ～この間の別れが、永遠の別れになったんじゃないかって……すごく心配していたわ～	아~ 저번에 헤어지고 나서 조사관과 영원히 못 만나는 줄 알고... 소첩이 정말 걱정을 많이 했소~	อา​~​ ตั้งแต่​จากกัน​ครั้งก่อน​ เรา​เกือบจะ​พลัด​พรากจากกัน​ชั่วนิรันดร์​...​เรา​เป็นห่วง​เหลือเกิน​~​															
15	16		0	祈	快让奴家为你仔细检查检查身子~\n可不要有哪里磕着碰着了，惹奴家心疼呢~																1									story_00_02_699													1;0											1	祈	Qi	祈	기	ฉี						快讓奴家為你仔細檢查檢查身子~\n可不要有哪裡磕著碰著了，惹奴家心疼呢~	Now, let me check your body!\nI was so worried that you might get hurt!	ほらほら、妾に調査官の体をチェックさせて〜怪我でもしたらどうしよう～	조사관의 몸 상태를 자세히 확인해 봐야겠소~\n어디 다치진 않았소? 그렇다면 소첩의 억장이 무너진다오~	ให้​เรา​ตรวจดู​ร่างกาย​ให้​ละเอียด​สักหน่อย​ดี​ไหม​?~​\nอย่า​ให้​มี​รอย​ช้ำ​หรือ​บาดแผล​ใดๆ​ ทำให้​เรา​ต้อง​เจ็บ​ปวดใจ​นะ​~​															
