id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	bgEffectPos	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	2		2		<color=#d8d8d8>时间回到现在。</color>		1	57:dialg_bg_100													1						op_jianpan																											1											<color=#d8d8d8>時間回到現在。</color>	<color=#d8d8d8>Back to the present.</color>	<color=#d8d8d8>時間は今に戻る。</color>	<color=#d8d8d8>그리고 지금</color>	[กลับมาสู่ช่วงเวลาปัจจุบัน]															
2	3				<color=#d8d8d8>费了一番口舌向凯菲尔和莉莉解释清楚了昨晚的情况与今天的行动计划。</color>		1	57:dialg_bg_475				17	-1	150008;148008		0;200401	100501;100801		13;20		1					bgm_universal_survey01																148008;150008	46;0											1											<color=#d8d8d8>費了一番口舌向凱菲爾和莉莉解釋清楚了昨晚的情況與今天的行動計畫。</color>	<color=#d8d8d8>You'd explained to Garfire and Lily at length what had happened last night and your plans for the day.</color>	<color=#d8d8d8>ガーフィールとリリーに昨夜の状況と今日の行動計画を説明するのに苦労した。</color>	<color=#d8d8d8>가르피엘과 릴리에게 한참 동안 어제의 일과 오늘의 계획을 설명했다</color>	[​ใช้เวลา​อธิบาย​สถานการณ์​เมื่อคืน​และ​แผนการ​วันนี้​ให้​คา​เฟียร์​และ​ลิ​ลี่​ฟัง​อย่าง​ละเอียด​อยู่​สักพัก​]​															
3	4				<color=#d8d8d8>——当然，略过了一些无关紧要的小插曲。</color>									150008;148008		0;200401	100501;100801		13;20		1																					148008;150008	46;0											1											<color=#d8d8d8>——當然，略過了一些無關緊要的小插曲。</color>	<color=#d8d8d8>An explanation that skipped insignificant asides and tidbits, of course.</color>	<color=#d8d8d8>——もちろん、どうでもいいエピソードは省略しました。</color>	<color=#d8d8d8>... 물론 중요하지 않은 작은 소동은 생략하고</color>	[—​แน่นอน​ว่า​ข้าม​ช่วง​เล็ก​ๆ​ น้อย​ๆ​ ที่​ไม่​สำคัญ​ไป​ด้วย​]​															
4	5			#playerName	总之，就是这样。									150008;148008		200802;200401	0;100801		13;20		1																						46;0											1	#playerName	#playerName	#playerName	#playerName	#playerName						總之，就是這樣。	That's about the long and short of it.	とにかく、こういうことだ。	어쨌든 이렇게 된 거야	โดยสรุปก็ประมาณนี้แหละ															
5	6			凯菲尔	所以，宴会不带上我吗！！？									150008;148008		200802;200401			13;20		1																					148008;0	46;0											1	凱菲爾	Garfire	ガーフィール	가르피엘	คาเฟียร์						所以，宴會不帶上我嗎！！？	So you're not bringing me along to the banquet?!	だから、宴会に連れてくれないの！！？	그러니까, 저를 빼고 파티에 간다고요?	สรุป​แล้ว​ จะ​ไม่​พา​ฉัน​ไป​งานเลี้ยง​ด้วย​เหรอ​!!?​															
6	7			莉莉	凯菲尔姐姐，莉莉会留在伊利斯陪你的！									150008;148008		0;200601	100801;0		13;20		1																					148008;150008	46;0											1	莉莉	Lily	リリー	릴리	ลิลี่						凱菲爾姐姐，莉莉會留在伊利斯陪你的！	Don't worry, Garfire, I'll hang out with you instead!	ガーフィールお姉ちゃん、リリーは一緒にエリスに残る！	가르피엘 언니, 릴리가 이리스에서 같이 놀아 줄게!	พี่​คา​เฟียร์​ ลิ​ลี่​จะ​อยู่​กับ​พี่​ที่​อิ​ลิ​ส​เอง​ค่ะ​!​															
7	8			凯菲尔	谢啦…等等，你这不是也没被邀请啊！									150008;148008		0;200401	100801;0		13;20		1																					148008;150008	46;0											1	凱菲爾	Garfire	ガーフィール	가르피엘	คาเฟียร์						謝啦…等等，你這不是也沒被邀請啊！	Thanks... But wait, that means you didn't get an invitation either!	ありがとう…待って、あんたも招待されてないんじゃない！	고마워... 잠깐, 너도 초대 못 받은 거잖아!	ขอบใจ​นะ​...​ เดี๋ยว​สิ​ เธอ​เอง​ก็​ไม่​ได้​ไป​เหมือนกัน​นั้นแหละ​!​															
8	9			凯菲尔	反正酒吧的基础运营有罗莎曼德的人在管理，咱们不过是借个边边角角做些伪装罢了。									150008;148008		0;200101	100801;100801		13;20		1																						46;0											1	凱菲爾	Garfire	ガーフィール	가르피엘	คาเฟียร์						反正酒吧的基礎運營有羅莎曼德的人在管理，咱們不過是借個邊邊角角做些偽裝罷了。	Well, Rosamund runs the bar herself, and we're only here to help as a cover, if anything.	どうせロサムンドの人がバーの日常経営を管理しているんだから、うちらはただヘルパーを装っただけなんだ。	주점은 로저먼드쪽 사람이 관리하니까, 우리는 그냥 변장이나 하죠	ถึง​ยังไง​ งาน​พื้นฐาน​ของ​บาร์​ก็​มี​คน​ของ​โร​ซา​มันด์​คอย​ดูแล​อยู่แล้ว​ พวกเรา​ก็​แค่​ยืม​พื้นที่​เล็ก​ๆ​ ใน​มุม​หนึ่ง​เพื่อ​พราง​ตัว​เท่านั้นเอง​															
9	10			凯菲尔	偶尔搞些集体行动也没什么吧？									150008;148008		0;201401	0;100801		13;20		1																						46;0											1	凱菲爾	Garfire	ガーフィール	가르피엘	คาเฟียร์						偶爾搞些集體行動也沒什麼吧？	We're free, so why not head out on a group operation? That's fine, right?	たまにはグループ活動をしてもいいんじゃない？	가끔은 같이 움직여도 좋지 않나?	นานๆ​ ที​มา​ทำงาน​เป็น​กลุ่ม​ร่วมกัน​ก็​ไม่เป็นไร​หรอก​มั้ง​?​															
10	11			黛蕾拉	人多了会增加未知的变数。									150008;148008;151008		200802;200601;0	100501;0;100301		13;20;27		1						sfx_story_01_tingxia															151008;151008;148008	1;2											1	黛蕾拉	Delilah	デリラ	딜라일라	ไดเลล่า						人多了會增加未知的變數。	More people means more variables we can't control.	人数が多いほど、未知のリスクが高まる。	사람이 많으면 변수가 많아져	พอ​คน​เยอะ​ขึ้น​ ตัวแปร​ที่​คาดเดา​ไม่​ได้​ก็​จะ​เพิ่มขึ้น​ด้วย​															
11	12			黛蕾拉	你们乖乖待在这里。									150008;148008;151008		200802;200401;201301	100501;0;100301		13;20;27		1																					151008;151008;148008	1;2											1	黛蕾拉	Delilah	デリラ	딜라일라	ไดเลล่า						你們乖乖待在這裡。	You just be good girls and stay back here.	大人しくてここに残ってて。	귀염둥이들은 여기에 있어	พวก​เธอ​เป็น​เด็กดี​อยู่​ที่นี่​เถอะ​นะ​															
12	13			凯菲尔&莉莉	欸——\n知道了……									150008;148008;151008		200601;200401;200101	0;0;100301		13;20;27		1																					151008;151008;148008	1;2											1	凱菲爾&莉莉	Garfire & Lily	ガーフィール＆リリー	가르피엘 & 릴리	คาเฟียร์ & ลิลี่						欸——\n知道了……	Uh... Okay...	へえ——\n分かったよ……	에에—\n알겠어...	เฮ้อ—\nเข้าใจแล้วค่ะ															
13	14		11								2	18	0	150008;148008;151008		200601;200401;200101	0;0;100301		13;20;27		1																					151008;151008;148008	1;2											1																														
14	15		11				1	57:dialg_bg_100			0.6										1					-1			sfx_story_03_huiyishimen																									1																														
15	16		11				1	57:dialg_bg_228	8	1.1		17	-1								1																						46;0											1																														
