id	nextId	sameTime	type	characterName	desc	fedesc	sceneType	sceneId	scenePivot	sceneScale	flashBackTime	screenAnim	screenTime	characterId	characterRes	faceId	action	loop	position	rotation	eyes	effect	enter	avatar	exist	music	sound	soundtime	loopSE	voice	fevoice	speaker	displayItem	itemAction	option	jumpId	durationTime	transientNum	battleGroupId	function	vague	lookAt	moveCamera	headEffect	feOption	feCharacterName	effectRootId	messageId	sceneBgId	EntryTip	speakId	speakIcon	status	characterName_zh_TW	characterName_en_UK	characterName_ja_JP	characterName_ko_KR	characterName_th_TH	fedesc_zh_TW	fedesc_en_UK	fedesc_ja_JP	fedesc_ko_KR	fedesc_th_TH	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	option_zh_TW	option_en_UK	option_ja_JP	option_ko_KR	option_th_TH	feOption_zh_TW	feOption_en_UK	feOption_ja_JP	feOption_ko_KR	feOption_th_TH	feCharacterName_zh_TW	feCharacterName_en_UK	feCharacterName_ja_JP	feCharacterName_ko_KR	feCharacterName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1			3									17	0								1														我……是谁？	2																	1																我……是誰？		私は誰……？	난… 누구지?											
2	3		0	我	记忆模糊不清……																1																																1	我		私	나							記憶模糊不清……		記憶がはっきりしない……	기억이 잘 나지 않아…																
3	4		0	小白	醒醒，调查官..……这里是新海市，贝克街餐厅，你可以叫我小白。		1	57:dialg_bg_1				17		108008							1									pre_00_00_01		108008																					1	小白		シロ	화이트							醒醒，調查官..……這裡是新海市，貝克街餐廳，你可以叫我小白。		起きてください、調査官……ここは新海市にあるレストラン、ベイカーキャットです。シロとお呼びください。	조사관님, 일어나십시오… 여기는 뉴오션 시티의 베이커캣 카페테리아입니다. 화이트라고 불러주십시오																
4			3																		1														新海市？	5																	1																新海市？		新海市？	뉴오션 시티?											
5	6		0	小白	对，新海市是目前唯一一个人类与猫族平等共存的城市。因此也称之为「猫之城」。									108008							1									pre_00_00_02		108008																					1	小白		シロ	화이트							對，新海市是目前唯一一個人類與貓族平等共存的城市。因此也稱之為「貓之城」。		はい、新海市は唯一、人間とフェリニアンスが平等に共存している都市です。故に人々からは「猫のユートピア」とも呼ばれています。	맞습니다. 뉴오션 시티는 인류와 캣족이 평등하게 살아가는 유일한 도시입니다. 「고양이의 도시」라고 불리기도 합니다																
6	7		0	小白	这里是情绪科技的发源地，掌握着最新的绪晶能源，拥有超越时代的情绪管理体系……									108008							1									pre_00_00_03		108008																					1	小白		シロ	화이트							這裡是情緒科技的發源地，掌握著最新的緒晶能源，擁有超越時代的情緒管理體系……		ここはエモーションテクノロジーの発祥地でもあります。エモーションクリスタルエネルギーを掌握し、最先端のエモーション管理システムを有しています。	이곳은 이모션 테크의 발원지로 최신 이모션 에너지를 장악하고 있고, 최첨단 이모션 관리 시스템을 보유하고 있습니다…																
7			3																		1														我是调查官？	8																	1																我是調查官？		私は調査官？	내가 조사관이라고?											
8	9		0	小白	是的，在此之前，您已经通过了暴风眼调查署的选拔，成为了贝克猫小队的调查官。									108008							1									pre_00_00_04		108008																					1	小白		シロ	화이트							是的，在此之前，您已經通過了暴風眼調查署的選拔，成為了貝克貓小隊的調查官。		はい。こちらに来られる前、あなたはストームアイ調査署の選考を通過し、チーム・ベイカーキャットの調査官になりました。	맞습니다. 여기에 오시기 전에 당신은 스톰아이 조사국의 선발을 통해 베이커캣 팀의 조사관이 되셨습니다																
9	10		0	小白	您将和猫族战斗员一起调查情绪能量失控带来的傀化事件，对抗傀化危机，守护这个城市。									108008							1									pre_00_00_05		108008																					1	小白		シロ	화이트							您將和貓族戰鬥員一起調查情緒能量失控帶來的傀化事件，對抗傀化危機，守護這個城市。		これからあなたはフェリニアンスの戦闘員達と共に、エモーションエネルギーの暴走による傀化事件を調査し、傀化危機に立ち向かい、この街を守るために戦うこととなります。	캣족 전투원과 함께 이모션 에너지 통제 불가로 인한 퍼펫화 사건을 조사하여 퍼펫화 위기에 맞서 도시를 지키셔야 합니다																
