groupId	startId	timelinePath	Is2D	status	hash	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1000010	1		0	1	eec70eeba138d740f385b8649371d2cd	毁灭	毀滅	Destruction	壊滅	파괴	ทำลาย	反复出现的梦境，预演着未来整座<color=#fc14a8>城市毁灭</color>的场景，神秘存在敲响警钟——当重要的<color=#fc14a8>绪能点</color>被全部破坏，新海市将会迎来毁灭。\n作为被命运选中之人，刚刚成为调查官的你，能否<color=#fc14a8>改写结局</color>？	反復出現的夢境，預演著未來整座<color=#fc14a8>城市毀滅</color>的場景，神秘存在敲響警鐘——當重要的<color=#fc14a8>緒能點</color>被全部破壞，新海市將會迎來毀滅。\n作為被命運選中之人，剛剛成為調查官的你，能否<color=#fc14a8>改寫結局</color>？	Recurring dreams foretell the <color=#fc14a8>city's doom</color>, offering a bone-chilling glimpse into a future devoid of hope. A mysterious entity sounds the alarm—when all remaining <color=#fc14a8>Pathos Drop Points</color> are destroyed, Catto City will meet its doom. As one chosen by fate, newly appointed Inspector, can you <color=#fc14a8>rewrite the ending</color>?	繰り返して見る夢境は<color=#fc14a8>新海市の滅んだ未来</color>を示している。重要な<color=#fc14a8>ドロップポイント</color>がすべて破壊されたとき、新海市は地図から消えるだろうと、不思議な人物がそう警鐘を鳴らした。\n運命に選ばれた者として、新人調査官として、あなたは<color=#fc14a8>そんな結末を書き換える</color>ことができるのか？	반복되는 꿈속에서, 미래의 도시가 파괴되는 장면을 예행 연습하듯 보여주며, 수상한 존재가 나타나 경고한다 — 메인 <color=#fc14a8>이모션 에너지 스팟</color>이 모두 파괴될 때, 뉴오션 시티는 멸망을 맞이하게 될 것이다. 운명에 선택된 자로서, 갓 조사관이 된 당신은 결말을 <color=#fc14a8>바꿀 수 있을까</color>?	ความฝัน​ที่​ปรากฏ​ซ้ำแล้วซ้ำเล่า​ เผย​ให้​เห็น​ภาพจำลอง​ของ​<color=#fc14a8>เมืองที่ถูกทำลาย</color>​ในอนาคต​ เสียงเตือน​จาก​ผู้​ลึกลับ​ดัง​ขึ้น​—​เมื่อ​<color=#fc14a8>จุดพาโธสรั่วไหล</color>​ที่​สำคัญ​ทั้งหมด​ถูก​ทำลาย​ แค​ทโตะ​ ซิตี้​ จะ​ต้อง​เผชิญ​กับ​ความหายนะ​\nใน​ฐานะ​ผู้​ที่​ถูก​โชคชะตา​เลือกสรร​ คุณ​ที่​เพิ่ง​ก้าว​ขึ้น​มา​เป็น​ผู้ตรวจการ​ จะ​สามารถ​<color=#fc14a8>เปลี่ยนแปลงบทสรุป</color>​นี้​ได้​หรือไม่​?​
1000020	1	ChapterNew/stage_OverSea_OP01_TL.prefab	99	1	2a50a946ac6e16ec878caa72b24ade41	最终日	最終日	Final Day	最終日	마지막 날	วันสิ้นโลก	沉入梦境，亲身体验城市毁灭前的<color=#fc14a8>最后四十分钟</color>，一开始你无法动弹。\n幸好，陪伴在身边的<color=#fc14a8>猫族战斗员</color>应对危机配合默契，成功开启防御模式。	沉入夢境，親身體驗城市毀滅前的<color=#fc14a8>最後四十分鐘</color>，一開始你無法動彈。\n幸好，陪伴在身邊的<color=#fc14a8>貓族戰鬥員</color>應對危機配合默契，成功開啟防禦模式。	The final day bleeds into your dreams; you're thrust into the city's <color=#fc14a8>final 40 minutes</color>. Paralyzed, you're utterly helpless... at first. Thankfully, your loyal <color=#fc14a8>Felinian Combatants</color> are by your side, springing into action. Together, you activate the defense system.	夢の世界で、街が破壊されるまでの<color=#fc14a8>最後の40分間</color>を体験することに。\n最初は身動きすら取れなかったが、幸い、周りにいる<color=#fc14a8>フェリニアンス</color>がうまく連携して危機に対処し、防衛モードの起動に成功した。	꿈속으로 가라앉아, 도시가 파괴되기 직전의 <color=#fc14a8>마지막 40분</color>을 직접 체험한다. 처음에는 움직일 수 없었다. 다행히, 곁을 지키는 <color=#fc14a8>캣족 전투원</color>은 위기에 대응하고 협력하며 성공적으로 방어 모드를 시작한다.	คุณ​จมดิ่ง​สู่​ห้วง​แห่ง​ความฝัน​ สัมผัส​ได้​ถึง​<color=#fc14a8>สี่สิบนาทีสุดท้าย</color>​ก่อนที่​เมือง​จะ​ถูก​ทำลาย​ แรกเริ่ม​ร่างกาย​ของ​คุณ​ไม่​สามารถ​ขยับเขยื้อน​ได้​ โชคดี​ที่​<color=#fc14a8>เอเจนต์เผ่าแมว</color>​ที่อยู่​เคียงข้าง​ร่วมมือ​กัน​รับมือ​วิกฤต​ได้​อย่าง​เหนียวแน่น​ จน​สามารถ​เปิด​ใช้​ระบบ​ป้องกัน​ได้​สำเร็จ​
1000030	1	ChapterNew/stage_OverSea_OP02_TL.prefab	99	1	b278ae204131b83558751ada2ac65ee3	最终日	最終日	Final Day	最終日	마지막 날	วันสิ้นโลก	在剧烈的爆炸余震之中，你终于恢复了行动力。\n门外有陌生猫族前来求助，为了救援她和幸存的市民，你和伙伴们来到街道，与追击者展开战斗。	在劇烈的爆炸餘震之中，你終於恢復了行動力。\n門外有陌生貓族前來求助，為了救援她和倖存的市民，你和夥伴們來到街道，與追擊者展開戰鬥。	As the tremors from the explosion subside, you finally regain your mobility. Outside, a stranger from the Felinian seeks help. To save her and the city's survivors, you and your allies take to the streets, clashing with the pursuers.	激しい爆発の余波の中、あなたはようやく動けるようになった。\n見知らぬフェリニアンスが助けを求めてやってきた。彼女と生き残った市民を救出するため、仲間たちとともに街へ繰り出し、追っ手と戦うことに。	격렬한 폭발의 여진 속에서, 당신은 마침내 다시 행동할 수 있었다. 문밖에 낯선 캣족이 도움을 청하러 왔고, 그녀와 생존한 시민들을 구하기 위해 당신과 동료들은 거리로 나가 추격자와 전투를 시작한다.	ท่ามกลาง​แรง​สั่นสะเทือน​จาก​การระเบิด​อัน​รุนแรง​ ในที่สุด​คุณ​ก็​กลับมา​เคลื่อนไหว​ได้​อีกครั้ง​\nมี​เผ่า​แมว​แปลกหน้า​มา​ขอความช่วยเหลือ​ที่​หน้า​ประตู​ เพื่อ​ช่วยเหลือ​เธอ​และ​ประชาชน​ที่​รอดชีวิต​ คุณ​และ​เพื่อน​ร่วม​ทีม​จึง​ออก​ไป​ยัง​ท้องถนน​ พร้อม​เผชิญหน้า​ต่อสู้​กับ​ผู้​ที่​ไล่ล่า​มา​
1000040	1		3	1	8be9adb00c78a6426464d4ea8a7e0475	最终日	最終日	Final Day	最終日	마지막 날	วันสิ้นโลก	被<color=#fc14a8>神秘男子</color>追踪的<color=#fc14a8>猫族少女</color>入队，智能AI小白开启战斗引导模式，你们共同抗击神秘男子与他手下的傀化物。	被<color=#fc14a8>神秘男子</color>追蹤的<color=#fc14a8>貓族少女</color>入隊，智能AI小白開啟戰鬥引導模式，你們共同抗擊神秘男子與他手下的傀化物。	The <color=#fc14a8>Felinian Girl</color>, pursued by a <color=#fc14a8>Mysterious Man</color>, joins your squad. Shiro, the AI, activates combat guidance mode. United, you confront the Mysterious Man and his legion of Anomalies.	<color=#fc14a8>謎の男</color>に追われていた<color=#fc14a8>フェリニアンスの少女</color>がチームに加わった。AIアシスタントのシロが戦闘ガイドモードを起動し、謎の男とその手下の傀化物を迎撃する。	<color=#fc14a8>수상한남자</color>에게 추격당하는 <color=#fc14a8>캣족 소녀</color>가 팀에 합류하고, 지능형 AI 화이트가 전투 튜토리얼 모드를 시작하며, 조사관은 수상한 남자, 그리고 그의 하수인인 퍼펫들과 전투에 돌입한다.	<color=#fc14a8>สาวน้อยเผ่าแมว</color>​ที่​ถูก​<color=#fc14a8>ชายปริศนา</color>​ไล่ล่า​เข้าร่วม​ทีม​ \nAI​ อัจฉริยะ​ชิ​โระ​เปิด​โหมด​แนะนำ​การต่อสู้​ พวกคุณ​ร่วมกัน​ต่อต้าน​ชาย​ปริศนา​และ​หุ่นเชิด​ของ​เขา​
1000050	1	ChapterNew/stage_OverSea_OP03_TL.prefab	99	1	a9a606f19cff47bcf70432ea8d3c0e5b	最终日	最終日	Final Day	最終日	마지막 날	วันสิ้นโลก	暂时击退神秘男子，猫族少女伤势严重，需要立即救治。\n敌人随时可能卷土重来，在小白等战斗员掩护下，你和艾可回到分部，治疗猫族少女，并重新开启防御模式。	暫時擊退神秘男子，貓族少女傷勢嚴重，需要立即救治。\n敵人隨時可能捲土重來，在小白等戰鬥員掩護下，你和艾可回到分部，治療貓族少女，並重新開啟防禦模式。	You manage to repel the Mysterious Man, but the Felinian Girl suffers severe wounds in need of immediate care. The enemy could regroup at any moment. Under the cover provided by Shiro and the other Combatants, you and Echo fall back to the branch. There, you tend to the injured Felinian Girl and fortify your defenses once more.	謎の男の追撃を一時的に食い止めたものの、フェリニアンスの少女は重傷を負ってしまい、すぐに治療が必要だ。\n敵がいつ反撃してきてもおかしくない状況で、シロや他の戦闘員が援護してくれ、あなたとアイコは支部に戻ってフェリニアンス少女の治療と防御モードの再起動に取りかかる。	수상한 남자를 물리치고 난 후 잠시 동안, 캣족 소녀가 심각한 부상을 입어 즉시 치료가 필요해졌다.\n적은 언제든지 다시 공격할 수 있는 상황으로, 화이트 등 전투원들의 보호 아래 당신과 에코는 지부로 돌아가 캣족 소녀를 치료하고 다시 방어 모드를 전개한다.	แม้​จะ​สามารถ​ขับไล่​ชาย​ลึกลับ​ไป​ได้​ชั่วคราว​ แต่​สาวน้อย​เผ่า​แมว​ได้รับ​บาดเจ็บสาหัส​ และ​ต้องการ​การรักษา​อย่าง​เร่งด่วน​ ศัตรู​อาจ​กลับมา​ได้​ทุกเมื่อ​ ภายใต้​การ​คุ้มกัน​ของ​ชิ​โระ​และ​เอ​เจนต์​คนอื่นๆ​ คุณ​และ​เอ​ค​โค​จึง​พา​สาวน้อย​เผ่า​แมว​กลับ​ไป​ยัง​หน่วย​ย่อย​เพื่อ​ทำ​การรักษา​ พร้อมกับ​เปิด​ระบบ​ป้องกัน​อีกครั้ง​เพื่อ​เตรียมพร้อม​รับมือ​
1000060	1	ChapterNew/stage_OverSea_OP04_TL.prefab	99	1	dab25efe2206cfd7b11a142c8719f0ff	终焉	終焉	The Endgame	終焉	마지막	จุดจบ	一切准备妥当，本以为可以成功度过危机。\n此时，猫族少女却突然一改受伤的模样，污染绪能点，导致幸存者全部<color=#fc14a8>傀化</color>，并且对你发起攻击。	一切準備妥當，本以為可以成功度過危機。\n此時，貓族少女卻突然一改受傷的模樣，污染緒能點，導致倖存者全部<color=#fc14a8>傀化</color>，並且對你發起攻擊。	All seems ready, and a smooth passage through the crisis appears likely. But at that moment, the Felinian Girl, previously feigning injury, suddenly shifts gears. She taints the Pathos Drop Point, turning all survivors into <color=#fc14a8>Anomalies</color>, and then launches an assault on you.	全てが準備万端で、危機を乗り越えることができると思っていたその時――\n負傷したはずのフェリニアンスの少女は急に元気を取り戻し、ドロップポイントを汚染した。それによって生存者たち全員が<color=#fc14a8>傀化</color>してしまい、あなたに襲いかかる。	모든 준비가 완료됐고, 위기를 성공적으로 넘길 수 있을 것으로 생각했다.\n그때, 캣족 소녀가 갑자기 부상당한 모습에서 다른 모습으로 변신했고, 순식간에 이모션 에너지 스팟을 오염시켜서 생존자 모두가 <color=#fc14a8>퍼펫화</color>되어 당신을 공격하기 시작한다.	ทุกอย่าง​ถูก​เตรียมพร้อม​ และ​คิด​ว่า​วิกฤต​ครั้งนี้​จะ​ผ่าน​พ้นไป​ได้​ด้วยดี​ แต่​ใน​ตอนนั้น​เอง​ สาวน้อย​เผ่า​แมว​ที่​บาดเจ็บ​กลับ​เผย​ท่าที​ที่​เปลี่ยนไป​ เธอ​ปล่อย​แก๊ส​พิษ​ออกมา​ ณ​ จุด​ที่​พา​โธส​รั่วไหล​ ส่งผล​ให้​ผู้รอดชีวิต​ทั้งหมด​<color=#fc14a8>กลายเป็นหุ่นเชิด</color>​และ​หันมา​โจมตี​คุณ​
1000070	1		3	1	318153d241b87b1864dccec6696ed65a	终焉	終焉	The Endgame	終焉	마지막	จุดจบ	猫族少女似乎知道很多关于你的秘密，她所说的<color=#fc14a8>K先生</color>和<color=#fc14a8>钥匙</color>到底是什么？你对此一无所知。\n趁你心神俱震之时，猫族少女再次发起进攻。	貓族少女似乎知道很多關於你的秘密，她所說的<color=#fc14a8>K先生</color>和<color=#fc14a8>鑰匙</color>到底是什麼？你對此一無所知。\n趁你心神俱震之時，貓族少女再次發起進攻。	This Felinian girl seems to be privy to many secrets about you, casually mentioning <color=#fc14a8>Mr. K</color> and <color=#fc14a8>the key</color>—terms that are completely unfamiliar to you. As the shock grips you, she strikes again.	フェリニアンスの少女はあなたの秘密をたくさん知っているようだ。彼女の言っていた<color=#fc14a8>ミスター・K</color>と<color=#fc14a8>鍵</color>とは一体何のことなのだろうか。あなたには全くわからない。\n心を揺さぶられている間に、フェリニアンスの少女は再び攻撃を仕掛けてくる。	그 캣족 소녀는 당신에 대해 많은 비밀을 알고 있는 것 같았다. 그녀가 말한 <color=#fc14a8>미스터 K</color>와  <color=#fc14a8>키맨</color>은 도대체 무엇일까? 당신은 이에 대해 전혀 알지 못한다.\n당신의 마음은 더욱 복잡해졌고, 캣족 소녀는 다시 공격을 시작했다.	ดูเหมือน​สาวน้อย​เผ่า​แมว​จะ​รู้​ความลับ​เกี่ยวกับ​ตัว​คุณ​ <color=#fc14a8>มิสเตอร์เค</color>​และ​<color=#fc14a8>กุญแจ</color>​ที่​เธอ​พูดถึง​คือ​อะไร​?​ คุณ​ไม่​รู้​อะไร​เลย​\nขณะที่​คุณ​กำลัง​ตกตะลึง​ สาวน้อย​เผ่า​แมว​ก็​โจมตี​อีกครั้ง​
1000080	1		3	1	c73e215f874bc39407f50381fdcaf785	最终日	最終日	Final Day	最終日	마지막 날	วันสิ้นโลก	值得学习的战斗技巧。	值得學習的戰鬥技巧。	A lesson in combat skills.	学ぶに値する戦闘スキル。	배워둬야할 전투 기술이다.	เทคนิค​การต่อสู้​ที่​น่าสนใจ​
1000090	1	ChapterNew/stage_OverSea_OP05_TL.prefab	99	1	856bd8b0d914a211f64ab73f4386448c	终焉	終焉	The Endgame	終焉	마지막	จุดจบ	危急关头，小白替你<color=#fc14a8>挡下了致命一击</color>。但猫族少女并不打算就此收手，在癫狂中展开新的攻势。	危急關頭，小白替你<color=#fc14a8>擋下了致命一擊</color>。但貓族少女並不打算就此收手，在癲狂中展開新的攻勢。	In a critical twist, Shiro steps in, shielding you from <color=#fc14a8>a fatal blow</color>. Yet, the Felinian Girl's frenzy does not wane; she unleashes a new wave of madness.	間一髪でシロはあなたの代わりに<color=#fc14a8>致命的な一撃</color>を受けた。しかし、フェリニアンスの少女は手を引くつもりつもりはなく、狂気に満ちた攻撃を再び繰り出す。	위기의 순간, 화이트가 당신을 대신해 <color=#fc14a8>치명타</color>를 막아냈다. 하지만 캣족 소녀는 여기서 멈추지 않고, 다시 광기 어린 공격을 시작했다.	ใน​ช่วงเวลา​คับขัน​ ชิ​โระ​<color=#fc14a8>รับการโจมตีแทนคุณ</color>​ แต่​สาวน้อย​เผ่า​แมว​ยัง​ไม่​คิด​จะ​หยุด​เพียงเท่านี้​ เธอ​เปิดฉาก​โจมตี​อีกครั้ง​แบบ​บ้าคลั่ง​
