relationId	cardId	cardname	relationCard	cardname2	buff	effectId	property	status	relationName	relationName_zh_TW	relationName_en_UK	relationName_ja_JP	relationName_ko_KR	relationName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10100501	101005	涂鸦战争	103007	浮世谣	19000030	10000027	102;0.06	1	摇鳐涂鸦	搖鰩塗鴉	Skater Ray Graffiti	エイグラフィティ	셰이커 그래피티	กราฟิตี้ปลากระเบน
10100502	101005	涂鸦战争	103019	枕边童话	19000004	10000001	101;20	1	潮流涂鸦	潮流塗鴉	Trendy Graffiti	流行グラフィティ	트렌드 그래피티	กราฟิตี้คลื่นทะเล
10100503	101005	涂鸦战争	103002	纯真拜访者	19000017	10000014	101;50	1	星空涂鸦	星空塗鴉	Stellar Graffiti	星空グラフィティ	스타 그래피티	กราฟิตี้ทะเลดาว
10100504	101005	涂鸦战争	108001	战略潜艇	19000034	10000031	703;0.15	1	伪装行动	偽裝行動	Camouflage Operation	偽装作戦	위장	ปฏิบัติการปลอมตัว
10100505	101005	涂鸦战争	108004	棋盘游戏	19000021	10000018	703;0.1	1	潜伏行动	潛伏行動	Covert Operation	潜伏作戦	잠복	ปฏิบัติการแฝงตัว
10100506	101005	涂鸦战争	108006	涤荡者	19000034	10000031	703;0.15	1	战意涂鸦	戰意塗鴉	Warpath Graffiti	戦意グラフィティ	투지 그래피티	กราฟิตี้จิตนักสู้
10100601	101006	夏日切	103007	浮世谣	19000030	10000027	102;0.06	1	夏日歌谣	夏日歌謠	Summer Melody	サマーソング	여름 발라드	บทเพลงฤดูร้อน
10100602	101006	夏日切	103019	枕边童话	19000004	10000001	101;20	1	夏日童话	夏日童話	Summer Fairytale	サマーストーリー	여름 동화	นิทานฤดูร้อน
10100603	101006	夏日切	103002	纯真拜访者	19000017	10000014	101;50	1	水果礼篮	水果禮籃	Fruit Basket	フルーツバスケット	과일 바구니	กระเช้าผลไม้
10100604	101006	夏日切	108001	战略潜艇	19000031	10000028	202;0.09	1	夏日深潜	夏日深潛	Dive into Summer	サマーダイビング	여름 잠수	ดำน้ำลึกกลางฤดูร้อน
10100605	101006	夏日切	108004	棋盘游戏	19000018	10000015	201;60	1	夏日游戏	夏日遊戲	Summer Games	サマーゲーム	여름 게임	เกมฤดูร้อน
10100606	101006	夏日切	108006	涤荡者	19000031	10000028	202;0.09	1	夏日清扫	夏日清掃	Summer Clean-Up	夏の大掃除	여름 청소	ทำความสะอาดฤดูร้อน
10100801	101008	自由轮滑	102011	鳐摇心情	19000030	10000027	102;0.06	1	最佳拍档	最佳拍檔	Perfect Pair	ベストコンビ	최고의 파트너	คู่หูที่ดีที่สุด
10100802	101008	自由轮滑	102007	电音骑士	19000030	10000027	102;0.06	1	自由发射	自由發射	Free Launch	フリーファイア	자유 사격	ยิงอย่างอิสระ
10100803	101008	自由轮滑	102001	星之愿	19000004	10000001	101;20	1	自由星轨	自由星軌	Free Orbit	スタートレイル	자유 스타레일	วิถีดาวอิสระ
10100804	101008	自由轮滑	104003	封面女郎	19000021	10000018	703;0.1	1	雨中刃	雨中刃	Rainblade	雨に輝く刃	우중인	คมมีดในสายฝน
10100805	101008	自由轮滑	104005	高级特工	19000008	10000005	703;0.09	1	刀与花	刀與花	Blade and Blossom	刀と花	검과 꽃	ดาบและดอกไม้
10100806	101008	自由轮滑	104001	绯红武士	19000034	10000031	703;0.15	1	自由心灵	自由心靈	Soul of Liberty	フリーハート	프리 마인드	จิตวิญญาณอิสระ
10101101	101011	棒球龙魂	104008	夜间执勤	19000024	10000021	1203;0.05	1	龙魂执勤	龍魂執勤	Draconic Watch	ドラゴン勤務	드래곤 소울 듀티	เจ้าหน้าที่โซลมังกร
10101102	101011	棒球龙魂	104005	高级特工	19000011	10000008	1203;0.045	1	龙魂特工	龍魂特工	Draconic Agent	ドラゴンスパイ	드래곤 소울 에이전트	สายลับโซลมังกร
10101103	101011	棒球龙魂	104001	绯红武士	19000037	10000034	1203;0.07	1	龙魂武士	龍魂武士	Draconic Warrior	ドラゴン武士	드래곤 소울 나이트	นักรบโซลมังกร
10101104	101011	棒球龙魂	108006	涤荡者	19000040	10000037	1602;0.11	1	龙魂一击	龍魂一擊	Draconic Smite	ドラゴン一撃	드래곤 소울 스트라이크	โซลมังกรจู่โจม
10101105	101011	棒球龙魂	108008	AI助理	19000014	10000011	1602;0.08	1	龙魂助理	龍魂助理	Draconic Assistant	ドラゴン助手	드래곤 소울 어시스턴트	ผู้ช่วยโซลมังกร
10101106	101011	棒球龙魂	108004	棋盘游戏	19000027	10000024	1602;0.09	1	龙魂冲锋	龍魂衝鋒	Draconic Charge	ドラゴン突撃	드래곤 소울 돌격	โซลมังกรทะลวง
10200101	102001	星之愿	101008	自由轮滑	19000024	10000021	1203;0.05	1	逐星者	逐星者	Star Chaser	星を追う者	스타 체이서	ผู้ไล่ตามดาว
