id	roleId	lihuiId	hdCardDrawing	x1	y1	scale1	x2	y2	scale2	copyright	status
int	int	int	int	int	int	int	int	int	int	int	int
10100101	101001	90:card_img_10100101_l	90:card_img_101001_l	0	0	100	78	-744	94		1
10100201	101002	90:card_img_10100201_l	90:card_img_101002_l	-21	0	100	-28	-742	90		1
10100202	101002	90:card_img_10100202_l	90:card_img_10100202_l	0	0	100	0	-411	75		1
10100301	101003	90:card_img_10100301_l	90:card_img_101003_l	75	-43	100	67	-640	100		1
10100401	101004	90:card_img_10100401_l	90:card_img_101004_l	0	0	100	42	-697	85		1
10100501	101005	90:card_img_10100501_l	90:card_img_101005_l	10	0	100	35	-679	85		1
10100601	101006	90:card_img_10100601_l	90:card_img_101006_l	21	-8	100	-13	-631	80		1
10100701	101007	90:card_img_10100701_l	90:card_img_101007_l	0	0	100	-9	-697	85		1
10100801	101008	90:card_img_10100801_l	90:card_img_101008_l	0	20	100	-111	-244	85		1
10100901	101009	90:card_img_10100901_l	90:card_img_101009_l	-10	0	100	-23	-612	90		1
10101001	101010	90:card_img_10101001_l	90:card_img_101010_l	-40	40	100	-99	-621	100		1
10101101	101011	90:card_img_10101101_l	90:card_img_101011_l	-10	0	100	0	-723	88		1
10101201	101012	90:card_img_10101201_l	90:card_img_101012_l	0	0	100	58	-446	100		1
10101202	101012	90:card_img_10101202_l	90:card_img_10101202_l	0	0	100	0	-383	92		1
10101301	101013	90:card_img_10101301_l	90:card_img_101013_l	0	0	100	-122	-428	100		1
10101302	101013	90:card_img_10101302_l	90:card_img_10101302_l	0	0	100	133	-574	110		1
10101303	101013	90:card_img_10101303_l	90:card_img_10101303_l	0	0	100	-69	-612	100		1
10101304	101013	90:card_img_10101304_l	90:card_img_10101304_l	0	0	100	-104	-390	90		1
10101401	101014	90:card_img_10101401_l	90:card_img_101014_l	0	0	100	-55	-539	90		1
10101701	101017	90:card_img_10101701_l	90:card_img_101017_l	0	0	100	-123	-586	100		1
10101801	101018	90:card_img_10101801_l	90:card_img_101018_l	0	0	100	-7	-438	100		1
10101802	101018	90:card_img_10101802_l	90:card_img_10101802_l	0	0	90	155	-396	100		1
10200101	102001	90:card_img_10200101_l	90:card_img_102001_l	0	20	100	-9	-341	90		1
10200201	102002	90:card_img_10200201_l	90:card_img_102002_l	0	10	100	0	-578	75		1
10200301	102003	90:card_img_10200301_l	90:card_img_102003_l	20	90	100	-91	-406	95		1
10200401	102004	90:card_img_10200401_l	90:card_img_102004_l	-20	0	100	-91	-395	90		1
10200501	102005	90:card_img_10200501_l	90:card_img_102005_l	0	0	90	0	-509	75		1
10200601	102006	90:card_img_10200601_l	90:card_img_102006_l	20	0	100	159	-546	85		1
10200701	102007	90:card_img_10200701_l	90:card_img_102007_l	8	0	100	75	-435	95		1
10200801	102008	90:card_img_10200801_l	90:card_img_102008_l	0	30	100	36	-179	80		1
10200901	102009	90:card_img_10200901_l	90:card_img_102009_l	0	20	100	25	-594	75		1
10201001	102010	90:card_img_10201001_l	90:card_img_102010_l	0	20	90	110	-302	90		1
10201101	102011	90:card_img_10201101_l	90:card_img_102011_l	20	-30	90	92	-438	75		1
10201201	102012	90:card_img_10201201_l	90:card_img_102012_l	20	-30	90	10	-358	90		1
10201202	102012	90:card_img_10201202_l	90:card_img_10201202_l	0	0	75	65	-280	75		1
10201301	102013	90:card_img_10201301_l	90:card_img_102013_l	20	-30	90	-49	-233	80		1
10201401	102014	90:card_img_10201401_l	90:card_img_102014_l	20	-30	90	64	-410	80		1
10201501	102015	90:card_img_10201501_l	90:card_img_102015_l	0	0	90	-78	-242	70		1
10201601	102016	90:card_img_10201601_l	90:card_img_102016_l	0	0	90	87	-282	100		1
10201701	102017	90:card_img_10201701_l	90:card_img_102017_l	21	-343	80	21	-343	80		1
10201801	102018	90:card_img_10201801_l	90:card_img_102018_l	0	0	100	146	-343	75		1
10202101	102021	90:card_img_10202101_l	90:card_img_102021_l	0	0	100	-71	-418	80		1
10202102	102014	90:card_img_10201402_l	90:card_img_10201402_l	0	0	100	0	-384	90		1
10202201	102021	90:card_img_10202201_l	90:card_img_10202201_l	0	0	100	0	-384	90		1
10300101	103001	90:card_img_10300101_l	90:card_img_103001_l	0	0	100	49	-692	80		1
10300201	103002	90:card_img_10300201_l	90:card_img_103002_l	0	-10	100	47	-706	90		1
10300301	103003	90:card_img_10300301_l	90:card_img_103003_l	0	0	90	-97	-293	100		1
10300302	103003	90:card_img_10300302_l	90:card_img_10300302_l	0	0	100	0	-360	106		1
10300401	103004	90:card_img_10300401_l	90:card_img_103004_l	0	0	90	16	-638	80		1
10300501	103005	90:card_img_10300501_l	90:card_img_103005_l	0	0	100	141	-483	100		1
10300601	103006	90:card_img_10300601_l	90:card_img_103006_l	0	0	100	-59	-222	90		1
10300602	103006	90:card_img_10300602_l	90:card_img_10300602_l	0	0	100	-56	-459	110		1
10300701	103007	90:card_img_10300701_l	90:card_img_103007_l	-30	0	100	131	-409	80		1
10300801	103008	90:card_img_10300801_l	90:card_img_103008_l	0	-20	100	41	-343	100		1
10300802	103008	90:card_img_10300802_l	90:card_img_10300802_l	0	0	90	-38	-586	100		1
10300901	103009	90:card_img_10300901_l	90:card_img_103009_l	0	-20	100	3	-465	100		1
10301001	103010	90:card_img_10301001_l	90:card_img_103010_l	0	0	100	-77	-300	90		1
10301002	103010	90:card_img_10301002_l	90:card_img_10301002_l	0	0	100	91	-393	100		1
10301101	103011	90:card_img_10301101_l	90:card_img_103011_l	0	0	100	67	-528	90		1
10301201	103012	90:card_img_10301201_l	90:card_img_103012_l	0	0	100	-163	-525	90		1
10301202	103012	90:card_img_10301202_l	90:card_img_10301202_l	0	0	90	40	-357	100		1
10301301	103013	90:card_img_10301301_l	90:card_img_103013_l	0	0	90	-35	-303	85		1
10301401	103014	90:card_img_10301401_l	90:card_img_103014_l	-17	-751	90	-17	-751	90		1
10301701	103017	90:card_img_10301701_l	90:card_img_103017_l	0	0	10	-16	-209	100		1
10301702	103017	90:card_img_10301702_l	90:card_img_10301702_l	0	0	100	77	-612	100		1
10301901	103019	90:card_img_10301901_l	90:card_img_103019_l	0	0	0	28	-432	75		1
10302101	103021	90:card_img_10302101_l	90:card_img_103021_l	0	0	100	-60	-319	88		1
10302103	103021	90:card_img_10302103_l	90:card_img_10302103_l	0	0	100	-48	-605	100		1
10302150	103021	90:card_img_10302150_l	90:card_img_10302150_l	0	0	100	31	-283	100		1
10302104	103021	90:card_img_10302104_l	90:card_img_10302104_l	0	0	100	-45	-307	90		1
10400101	104001	90:card_img_10400101_l	90:card_img_104001_l	-20	0	100	-116	-347	90		1
10400102	104001	90:card_img_10400102_l	90:card_img_10400102_l	0	0	100	-42	-633	110		1
10400201	104002	90:card_img_10400201_l	90:card_img_104002_l	-30	0	100	-70	-462	90		1
10400301	104003	90:card_img_10400301_l	90:card_img_104003_l	0	0	100	-10	-768	90		1
10400401	104004	90:card_img_10400401_l	90:card_img_104004_l	-30	-70	100	35	-458	100		1
10400501	104005	90:card_img_10400501_l	90:card_img_104005_l	0	0	100	59	-689	90		1
10400601	104006	90:card_img_10400601_l	90:card_img_104006_l	0	0	100	-56	-655	80		1
10400701	104007	90:card_img_10400701_l	90:card_img_104007_l	0	0	90	5	-253	100		1
10400801	104008	90:card_img_10400801_l	90:card_img_104008_l	0	0	90	-3	-626	85		1
10400901	104009	90:card_img_10400901_l	90:card_img_104009_l	0	0	100	74	-388	80		1
10401001	104010	90:card_img_10401001_l	90:card_img_104010_l	0	0	90	19	-455	100		1
10401301	104013	90:card_img_10401301_l	90:card_img_104013_l	0	0	100	-39	-492	100		1
10401302	104013	90:card_img_10401302_l	90:card_img_10401302_l	0	0	100	-70	-653	90		1
10401601	104016	90:card_img_10401601_l	90:card_img_104016_l	0	0	90	21	-567	95		1
10401701	104017	90:card_img_10401701_l	90:card_img_104017_l	0	0	100	77	-558	70		1
10500101	105001	90:card_img_10500101_l	90:card_img_105001_l	0	0	90	-16	-571	80		1
10500201	105002	90:card_img_10500201_l	90:card_img_105002_l	0	0	90	0	-639	80		1
10500301	105003	90:card_img_10500301_l	90:card_img_105003_l	0	0	90	219	-390	70		1
10500401	105004	90:card_img_10500401_l	90:card_img_105004_l	0	0	90	-16	-566	90		1
10500501	105005	90:card_img_10500501_l	90:card_img_105005_l	0	0	90	-25	-413	100		1
10500601	105006	90:card_img_10500601_l	90:card_img_105006_l	0	0	90	-121	-565	80		1
10500801	105008	90:card_img_10500801_l	90:card_img_105008_l	0	0	90	40	-151	100		1
10600101	106001	90:card_img_10600101_l	90:card_img_106001_l	0	0	90	26	-324	48		1
10600201	106002	90:card_img_10600201_l	90:card_img_106002_l	0	0	90	16	-434	80		1
10600301	106003	90:card_img_10600301_l	90:card_img_106003_l	0	0	90	-26	-325	50		1
10600501	106005	90:card_img_10600501_l	90:card_img_106005_l	0	0	90	-90	-263	90		1
10600801	106008	90:card_img_10600801_l	90:card_img_106008_l	0	0	90	8	-445	65		1
10600901	106009	90:card_img_10600901_l	90:card_img_106009_l	0	0	100	44	-290	67		1
10601001	106010	90:card_img_10601001_l	90:card_img_106010_l	0	0	100	57	-347	55		1
10601101	106011	90:card_img_10601101_l	90:card_img_106011_l	0	0	100	22	-187	73		1
10700101	107001	90:card_img_10700101_l	90:card_img_107001_l	0	0	90	-15	-559	100		1
10700401	107004	90:card_img_10700401_l	90:card_img_107004_l	0	0	90	-10	-436	90		1
10700501	107005	90:card_img_10700501_l	90:card_img_107005_l	0	0	90	24	-659	80		1
10700801	107008	90:card_img_10700801_l	90:card_img_107008_l	0	0	90	35	-717	85		1
10701001	107010	90:card_img_10701001_l	90:card_img_107010_l	0	0	90	-26	-371	90		1
10701002	107010	90:card_img_10701002_l	90:card_img_107010_l	0	0	100	30	-462	110		1
10800101	108001	90:card_img_10800101_l	90:card_img_108001_l	0	0	100	34	-534	80		1
10800401	108004	90:card_img_10800401_l	90:card_img_108004_l	0	0	100	25	-742	100		1
