mainId	roleId	level	cardLevel	upProperty	upqualityItem	upqualityItemNum	breakProperty	status
int	int	int	int	int	int	int	int	int
10100801	101008	1	15	101:11.4;201:4.4;301:26.8				1
10100802	101008	2	25	101:12.9;201:5;301:30.4	4102101;3000003	1;30000	101:22.5;201:9;301:54	1
10100803	101008	3	35	101:14.5;201:5.6;301:34.1	4102011;4102101;4102102;3000003	5;3;3;50000	101:40;201:15;301:92.5	1
10100804	101008	4	40	101:16;201:6.2;301:37.7	4102021;4102102;4102103;4102901;3000003	10;1;3;1;100000	101:52.5;201:21;301:126	1
10100805	101008	5	45	101:17.6;201:6.8;301:41.4	4102021;4102103;4102104;4102901;3000003	10;5;3;3;200000	101:64.1;201:24;301:148	1
10100806	101008	6	50	101:19.1;201:7.4;301:45	4102031;4102103;4102104;4102901;3000003	5;3;5;6;300000	101:67.5;201:27;301:162	1
10100807	101008	7	55	101:20.6;201:8;301:48.6	4102031;4102104;4102105;4102901;3000003	10;5;1;9;400000	101:75;201:30;301:180	1
10100808	101008	8	60	101:22.2;201:8.7;301:52.4	4102031;4102105;4102901;4102902;3000003	15;3;9;3;500000	101:88.1;201:38.5;301:209	1
10100809	101008	9	65	101:23.9;201:9.3;301:56.3	4102031;4102105;4102901;4102902;3000003	15;3;3;9;500000	101:102;201:36;301:234	1
10100810	101008	10	70	101:25.6;201:10;301:60.3	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:110.5;201:45.6;301:260	1
10100811	101008	11	75	101:27.3;201:10.6;301:64.4	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:119;201:42;301:287	1
10100812	101008	12	80	101:29.1;201:11.3;301:68.7	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:135;201:52.6;301:322.5	1
10100813	101008	13	85	101:31;201:12.1;301:73.1	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:152;201:64;301:352	1
10100814	101008	14	90	101:32.9;201:12.8;301:77.6	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:161.5;201:59.5;301:382.5	1
10100815	101008	15	95	101:34.9;201:13.6;301:82.2	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:180;201:72.1;301:414	1
10101101	101011	1	15	101:11.5;201:4.4;301:26.8				1
10101102	101011	2	25	101:13;201:5;301:30.4	4102101;3000003	1;30000	101:22.5;201:9;301:54	1
10101103	101011	3	35	101:14.6;201:5.6;301:34.1	4102011;4102101;4102102;3000003	5;3;3;50000	101:40;201:15;301:92.5	1
10101104	101011	4	40	101:16.2;201:6.2;301:37.7	4102021;4102102;4102103;4102901;3000003	10;1;3;1;100000	101:56.1;201:21;301:126	1
10101105	101011	5	45	101:17.7;201:6.8;301:41.4	4102021;4102103;4102104;4102901;3000003	10;5;3;3;200000	101:60;201:24;301:148	1
10101106	101011	6	50	101:19.3;201:7.4;301:45	4102031;4102103;4102104;4102901;3000003	5;3;5;6;300000	101:72;201:27;301:162	1
10101107	101011	7	55	101:20.8;201:8;301:48.6	4102031;4102104;4102105;4102901;3000003	10;5;1;9;400000	101:75;201:30;301:180	1
10101108	101011	8	60	101:22.5;201:8.7;301:52.4	4102031;4102105;4102901;4102902;3000003	15;3;9;3;500000	101:93.5;201:38.5;301:209	1
10101109	101011	9	65	101:24.1;201:9.3;301:56.3	4102031;4102105;4102901;4102902;3000003	15;3;3;9;500000	101:96.1;201:36;301:234	1
10101110	101011	10	70	101:25.8;201:10;301:60.3	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:110.5;201:45.6;301:260	1
10101111	101011	11	75	101:27.6;201:10.6;301:64.4	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:126;201:42;301:287	1
10101112	101011	12	80	101:29.4;201:11.3;301:68.7	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:135;201:52.6;301:322.5	1
10101113	101011	13	85	101:31.3;201:12.1;301:73.1	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:152;201:64;301:352	1
10101114	101011	14	90	101:33.2;201:12.8;301:77.6	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:161.5;201:59.5;301:382.5	1
10101115	101011	15	95	101:35.2;201:13.6;301:82.2	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:180;201:72.1;301:414	1
10100501	101005	1	15	101:9.3;201:3.5;301:20.5				1
10100502	101005	2	25	101:10.5;201:3.9;301:23.3	4102301;3000003	1;30000	101:18;201:6;301:42	1
10100503	101005	3	35	101:11.8;201:4.4;301:26.1	4102011;4102301;4102302;3000003	5;3;3;50000	101:32.5;201:12.5;301:70	1
10100504	101005	4	40	101:13.1;201:4.9;301:28.9	4102021;4102302;4102303;4102901;3000003	10;1;3;1;100000	101:45.5;201:17.5;301:98	1
10100505	101005	5	45	101:14.3;201:5.3;301:31.7	4102021;4102303;4102304;4102901;3000003	10;5;3;3;200000	101:48;201:16;301:112	1
10100506	101005	6	50	101:15.6;201:5.8;301:34.5	4102031;4102303;4102304;4102901;3000003	5;3;5;6;300000	101:58.5;201:22.5;301:126	1
10100507	101005	7	55	101:16.8;201:6.2;301:37.2	4102031;4102304;4102305;4102901;3000003	10;5;1;9;400000	101:60.1;201:20;301:135	1
10100508	101005	8	60	101:18.2;201:6.7;301:40.1	4102031;4102305;4102901;4102902;3000003	15;3;9;3;500000	101:77.1;201:27.5;301:159.5	1
10100509	101005	9	65	101:19.5;201:7.2;301:43.1	4102031;4102305;4102901;4102902;3000003	15;3;3;9;500000	101:78;201:30;301:180	1
10100510	101005	10	70	101:20.9;201:7.7;301:46.2	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:91.1;201:32.5;301:201.5	1
10100511	101005	11	75	101:22.3;201:8.3;301:49.3	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:98;201:42;301:217	1
10100512	101005	12	80	101:23.8;201:8.8;301:52.6	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:112.5;201:37.5;301:247.5	1
10100513	101005	13	85	101:25.3;201:9.4;301:55.9	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:120;201:48.1;301:264	1
10100514	101005	14	90	101:26.8;201:9.9;301:59.4	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:127.5;201:42.5;301:297.5	1
10100515	101005	15	95	101:28.4;201:10.5;301:62.9	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:144;201:54;301:315	1
10101301	101013	1	15	101:15.3;201:6.1;301:36.3				1
10101302	101013	2	25	101:17.4;201:6.9;301:41.3	4102201;3000003	1;30000	101:31.5;201:12;301:75.1	1
10101303	101013	3	35	101:19.5;201:7.7;301:46.2	4102011;4102201;4102202;3000003	5;3;3;50000	101:52.5;201:20;301:122.5	1
10101304	101013	4	40	101:21.6;201:8.6;301:51.2	4102021;4102202;4102203;4102901;3000003	10;1;3;1;100000	101:73.6;201:31.5;301:175	1
10101305	101013	5	45	101:23.7;201:9.4;301:56.1	4102021;4102203;4102204;4102901;3000003	10;5;3;3;200000	101:84.1;201:32;301:196	1
10101306	101013	6	50	101:25.8;201:10.2;301:61.1	4102031;4102203;4102204;4102901;3000003	5;3;5;6;300000	101:94.5;201:36;301:225	1
10101307	101013	7	55	101:27.8;201:11;301:66	4102031;4102204;4102205;4102901;3000003	10;5;1;9;400000	101:100;201:40;301:245	1
10101308	101013	8	60	101:30;201:11.9;301:71.2	4102031;4102205;4102901;4102902;3000003	15;3;9;3;500000	101:121;201:49.5;301:286	1
10101309	101013	9	65	101:32.2;201:12.8;301:76.4	4102031;4102205;4102901;4102902;3000003	15;3;3;9;500000	101:132;201:54;301:312	1
10101310	101013	10	70	101:34.5;201:13.7;301:81.9	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:149.5;201:58.5;301:357.5	1
10101311	101013	11	75	101:36.9;201:14.6;301:87.5	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:168;201:63;301:392.1	1
10101312	101013	12	80	101:39.3;201:15.6;301:93.3	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:180;201:75;301:435	1
10101313	101013	13	85	101:41.8;201:16.6;301:99.2	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:200;201:80.1;301:472	1
10101314	101013	14	90	101:44.4;201:17.6;301:105.3	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:221;201:85;301:518.6	1
10101315	101013	15	95	101:47;201:18.6;301:111.6	4102031;4102205;4102902;4102903;3000003	15;3;9;3;500000	101:234;201:90;301:567	1
10200801	102008	1	15	101:10.5;201:4.4;301:26.4				1
10200802	102008	2	25	101:11.9;201:5;301:30	4102301;3000003	1;30000	101:21;201:9;301:54	1
10200803	102008	3	35	101:13.3;201:5.6;301:33.6	4102011;4102301;4102302;3000003	5;3;3;50000	101:35;201:15;301:90	1
10200804	102008	4	40	101:14.8;201:6.2;301:37.2	4102021;4102302;4102303;4102901;3000003	10;1;3;1;100000	101:52.5;201:21;301:126	1
10200805	102008	5	45	101:16.2;201:6.8;301:40.8	4102021;4102303;4102304;4102901;3000003	10;5;3;3;200000	101:56.1;201:24;301:144	1
10200806	102008	6	50	101:17.6;201:7.4;301:44.4	4102031;4102303;4102304;4102901;3000003	5;3;5;6;300000	101:63;201:27;301:162	1
10200807	102008	7	55	101:19;201:8;301:48	4102031;4102304;4102305;4102901;3000003	10;5;1;9;400000	101:70;201:30;301:180	1
10200808	102008	8	60	101:20.5;201:8.7;301:51.8	4102031;4102305;4102901;4102902;3000003	15;3;9;3;500000	101:82.5;201:38.5;301:209	1
10200809	102008	9	65	101:22;201:9.3;301:55.6	4102031;4102305;4102901;4102902;3000003	15;3;3;9;500000	101:90;201:36;301:228	1
10200810	102008	10	70	101:23.6;201:10;301:59.6	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:104;201:45.6;301:260	1
10200811	102008	11	75	101:25.2;201:10.6;301:63.6	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:112;201:42;301:280	1
10200812	102008	12	80	101:26.9;201:11.3;301:67.8	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:127.5;201:52.6;301:315	1
10200813	102008	13	85	101:28.6;201:12.1;301:72.2	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:136;201:64;301:352	1
10200814	102008	14	90	101:30.4;201:12.8;301:76.6	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:153;201:59.5;301:374	1
10200815	102008	15	95	101:32.2;201:13.6;301:81.2	4102031;4102305;4102902;4102903;3000003	15;3;9;3;500000	101:162;201:72.1;301:414	1
10200701	102007	1	15	101:14.9;201:6.1;301:36.7				1
10200702	102007	2	25	101:16.9;201:6.9;301:41.7	4102101;3000003	1;30000	101:30;201:12;301:75	1
10200703	102007	3	35	101:18.9;201:7.7;301:46.7	4102011;4102101;4102102;3000003	5;3;3;50000	101:50;201:20;301:125	1
10200704	102007	4	40	101:21;201:8.6;301:51.7	4102021;4102102;4102103;4102901;3000003	10;1;3;1;100000	101:73.6;201:31.5;301:175	1
10200705	102007	5	45	101:23;201:9.4;301:56.7	4102021;4102103;4102104;4102901;3000003	10;5;3;3;200000	101:80;201:32;301:200	1
10200706	102007	6	50	101:25;201:10.2;301:61.7	4102031;4102103;4102104;4102901;3000003	5;3;5;6;300000	101:90;201:36;301:225	1
10200707	102007	7	55	101:27;201:11;301:66.6	4102031;4102104;4102105;4102901;3000003	10;5;1;9;400000	101:100;201:40;301:245	1
10200708	102007	8	60	101:29.1;201:11.9;301:71.8	4102031;4102105;4102901;4102902;3000003	15;3;9;3;500000	101:115.5;201:49.5;301:286	1
10200709	102007	9	65	101:31.3;201:12.8;301:77.1	4102031;4102105;4102901;4102902;3000003	15;3;3;9;500000	101:132;201:54;301:318	1
10200710	102007	10	70	101:33.5;201:13.7;301:82.6	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:143;201:58.5;301:357.5	1
10200711	102007	11	75	101:35.8;201:14.6;301:88.3	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:161;201:63;301:399	1
10200712	102007	12	80	101:38.2;201:15.6;301:94.1	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:180;201:75;301:435	1
10200713	102007	13	85	101:40.6;201:16.6;301:100.1	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:192;201:80.1;301:480	1
10200714	102007	14	90	101:43.1;201:17.6;301:106.3	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:212.5;201:85;301:527	1
10200715	102007	15	95	101:45.7;201:18.6;301:112.6	4102031;4102105;4102902;4102903;3000003	15;3;9;3;500000	101:234;201:90;301:567	1
10201101	102011	1	15	101:12.6;201:7.6;301:45.7				1
10201102	102011	2	25	101:14.3;201:8.7;301:51.9	4102401;3000003	1;30000	101:25.5;201:16.5;301:93	1
10201103	102011	3	35	101:16;201:9.7;301:58.1	4102011;4102401;4102402;3000003	5;3;3;50000	101:42.5;201:25;301:155	1
10201104	102011	4	40	101:17.7;201:10.7;301:64.4	4102021;4102402;4102403;4102901;3000003	10;1;3;1;100000	101:59.6;201:35;301:220.5	1
10201105	102011	5	45	101:19.4;201:11.8;301:70.6	4102021;4102403;4102404;4102901;3000003	10;5;3;3;200000	101:68;201:44;301:248	1
10201106	102011	6	50	101:21.1;201:12.8;301:76.8	4102031;4102403;4102404;4102901;3000003	5;3;5;6;300000	101:76.5;201:45;301:279	1
10201107	102011	7	55	101:22.8;201:13.8;301:83	4102031;4102404;4102405;4102901;3000003	10;5;1;9;400000	101:85;201:50.1;301:310	1
10201108	102011	8	60	101:24.6;201:14.9;301:89.5	4102031;4102405;4102901;4102902;3000003	15;3;9;3;500000	101:99;201:60.5;301:357.5	1
10201109	102011	9	65	101:26.4;201:16;301:96.1	4102031;4102405;4102901;4102902;3000003	15;3;3;9;500000	101:108;201:66;301:396	1
10201110	102011	10	70	101:28.3;201:17.2;301:103	4102031;4102405;4102902;4102903;3000003	15;3;9;3;500000	101:123.5;201:78.1;301:448.5	1
10201111	102011	11	75	101:30.3;201:18.3;301:110	4102031;4102405;4102902;4102903;3000003	15;3;9;3;500000	101:140;201:77;301:490	1
10201112	102011	12	80	101:32.3;201:19.5;301:117.3	4102031;4102405;4102902;4102903;3000003	15;3;9;3;500000	101:150;201:90;301:547.5	1
10201113	102011	13	85	101:34.3;201:20.8;301:124.8	4102031;4102405;4102902;4102903;3000003	15;3;9;3;500000	101:160;201:104;301:600	1
10201114	102011	14	90	101:36.4;201:22.1;301:132.4	4102031;4102405;4102902;4102903;3000003	15;3;9;3;500000	101:178.5;201:110.5;301:646.1	1
