ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10400599001	101@45.6;201@28.9;301@209;903@0.033;1303@0.037;1602@0.017;2102@0.017	10400599	1	101@45.6;201@28.9;301@209;903@0.033;1303@0.037;1602@0.017;2102@0.017			1	
10400599002	101@55.2;201@28.9;301@209;903@0.033;1303@0.037;1602@0.017;2102@0.017	10400599	2	101@9.6	4104041;3000003	20;1200	1	
10400599003	101@55.2;201@35;301@209;903@0.033;1303@0.037;1602@0.017;2102@0.017	10400599	3	201@6.1	4104041;3000003	20;1280	1	
10400599004	101@55.2;201@35;301@253;903@0.033;1303@0.037;1602@0.017;2102@0.017	10400599	4	301@44	4104041;3000003	20;1360	1	
10400599005	101@55.2;201@35;301@253;903@0.066;1303@0.037;1602@0.017;2102@0.017	10400599	5	903@0.033	4104041;3000003	20;1440	1	
10400599006	101@64.8;201@35;301@253;903@0.066;1303@0.037;1602@0.017;2102@0.017	10400599	6	101@9.6	4104041;3000003	20;1520	1	
10400599007	101@64.8;201@41.1;301@253;903@0.066;1303@0.037;1602@0.017;2102@0.017	10400599	7	201@6.1	4104041;3000003	20;1600	1	
10400599008	101@64.8;201@41.1;301@297;903@0.066;1303@0.037;1602@0.017;2102@0.017	10400599	8	301@44	4104041;3000003	20;1680	1	
10400599009	101@64.8;201@41.1;301@297;903@0.066;1303@0.074;1602@0.017;2102@0.017	10400599	9	1303@0.037	4104041;3000003	20;1760	1	
10400599010	101@74.4;201@41.1;301@297;903@0.066;1303@0.074;1602@0.017;2102@0.017	10400599	10	101@9.6	4104041;3000003	20;1840	1	
10400599011	101@74.4;201@47.2;301@297;903@0.066;1303@0.074;1602@0.017;2102@0.017	10400599	11	201@6.1	4104041;3000003	40;1920	1	
10400599012	101@74.4;201@47.2;301@341;903@0.066;1303@0.074;1602@0.017;2102@0.017	10400599	12	301@44	4104041;3000003	40;2000	1	
10400599013	101@74.4;201@47.2;301@341;903@0.066;1303@0.074;1602@0.034;2102@0.017	10400599	13	1602@0.017	4104041;3000003	40;2080	1	
10400599014	101@84;201@47.2;301@341;903@0.066;1303@0.074;1602@0.034;2102@0.017	10400599	14	101@9.6	4104041;3000003	40;2160	1	
10400599015	101@84;201@53.3;301@341;903@0.066;1303@0.074;1602@0.034;2102@0.017	10400599	15	201@6.1	4104041;3000003	40;2240	1	
10400599016	101@84;201@53.3;301@385;903@0.066;1303@0.074;1602@0.034;2102@0.017	10400599	16	301@44	4104041;3000003	40;2320	1	
10400599017	101@84;201@53.3;301@385;903@0.066;1303@0.074;1602@0.034;2102@0.034	10400599	17	2102@0.017	4104041;3000003	40;2400	1	
10400599018	101@93.6;201@53.3;301@385;903@0.066;1303@0.074;1602@0.034;2102@0.034	10400599	18	101@9.6	4104041;3000003	40;2480	1	
10400599019	101@93.6;201@59.4;301@385;903@0.066;1303@0.074;1602@0.034;2102@0.034	10400599	19	201@6.1	4104041;3000003	40;2560	1	
10400599020	101@93.6;201@59.4;301@429;903@0.066;1303@0.074;1602@0.034;2102@0.034	10400599	20	301@44	4104041;3000003	40;2640	1	
10400599021	101@93.6;201@59.4;301@429;903@0.099;1303@0.074;1602@0.034;2102@0.034	10400599	21	903@0.033	4104041;4104042;3000003	55;55;2720	1	
10400599022	101@103.2;201@59.4;301@429;903@0.099;1303@0.074;1602@0.034;2102@0.034	10400599	22	101@9.6	4104041;4104042;3000003	55;55;2800	1	
10400599023	101@103.2;201@65.5;301@429;903@0.099;1303@0.074;1602@0.034;2102@0.034	10400599	23	201@6.1	4104041;4104042;3000003	55;55;2880	1	
10400599024	101@103.2;201@65.5;301@473;903@0.099;1303@0.074;1602@0.034;2102@0.034	10400599	24	301@44	4104041;4104042;3000003	55;55;2960	1	
10400599025	101@103.2;201@65.5;301@473;903@0.099;1303@0.111;1602@0.034;2102@0.034	10400599	25	1303@0.037	4104041;4104042;3000003	55;55;3040	1	
10400599026	101@112.8;201@65.5;301@473;903@0.099;1303@0.111;1602@0.034;2102@0.034	10400599	26	101@9.6	4104041;4104042;3000003	55;55;3120	1	
10400599027	101@112.8;201@71.6;301@473;903@0.099;1303@0.111;1602@0.034;2102@0.034	10400599	27	201@6.1	4104041;4104042;3000003	55;55;3200	1	
10400599028	101@112.8;201@71.6;301@517;903@0.099;1303@0.111;1602@0.034;2102@0.034	10400599	28	301@44	4104041;4104042;3000003	55;55;3280	1	
10400599029	101@112.8;201@71.6;301@517;903@0.099;1303@0.111;1602@0.051;2102@0.034	10400599	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1	
10400599030	101@122.4;201@71.6;301@517;903@0.099;1303@0.111;1602@0.051;2102@0.034	10400599	30	101@9.6	4104041;4104042;3000003	55;55;3440	1	
10400599031	101@122.4;201@77.7;301@517;903@0.099;1303@0.111;1602@0.051;2102@0.034	10400599	31	201@6.1	4104041;4104042;3000003	70;70;3520	1	
