attributeId	attributeColumn	type	isConversion	combatEff	order	icon	status	attributeName	attributeName_zh_TW	attributeName_en_UK	attributeName_ja_JP	attributeName_ko_KR	attributeName_th_TH	attributeDesc	attributeDesc_zh_TW	attributeDesc_en_UK	attributeDesc_ja_JP	attributeDesc_ko_KR	attributeDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	atk	0	0	5	1	58:icon_1	1	攻击力	攻擊力	ATK	攻撃力	공격력	ATK	造成伤害的基础属性	造成傷害的基礎屬性	The base stat that deals DMG	与ダメージに影響を与える基礎ステータス	대미지를 부여하는 기본 속성	คุณสมบัติ​พื้นฐาน​สำหรับ​สร้าง​ดา​เม​จ​
2	def	0	0	5	2	58:icon_2	1	防御力	防禦力	DEF	防御力	방어력	DEF	抵御伤害的基础属性	抵禦傷害的基礎屬性	The base stat that resists DMG	ダメージ抵抗に影響を与える基礎ステータス	대미지를 막는 기본 속성	คุณสมบัติ​พื้นฐาน​สำหรับ​ป้องกัน​ดา​เม​จ​
3	health	0	0	2	3	58:icon_3	1	生命值	生命值	HP	HP	HP	HP	承受伤害的基础属性	承受傷害的基礎屬性	The base stat that takes DMG	キャラクターの体力を表す基礎ステータス	대미지가 적용되는 기본 속성	คุณสมบัติ​พื้นฐาน​สำหรับ​รับ​ดา​เม​จ​
25	skillDamageIncrs	0	1	0			1	技能伤害增加（外部）	技能傷害增加（外部）	Skill DMG increase (external)	スキルダメージアップ（外部）	스킬 대미지 증가 (외부)	เพิ่ม​ดา​เม​จ​ของ​สกิล​ (​ภายนอก​)​						
26	skillDamageReduce	0	1	0			1	受到技伤减少（外部）	受到技傷減少（外部）	Skill DMG taken reduction (external)	受けるスキルダメージダウン（外部）	적용되는 스킬 대미지 감소 (외부)	ลด​ดา​เม​จ​จาก​สกิล​ที่​ได้รับ​ (​ภายนอก​)​						
27	skillEffectIncrs	0	1	0			1	基础伤害提升	基礎傷害提升	Base DMG Increase	基本ダメージアップ	기본 대미지 증가	เพิ่มดาเมจพื้นฐาน	提升技能所产生的伤害	提升技能所產生的傷害	Increases skill damage.	スキルダメージを増加させる	스킬로 인한 대미지 증가	เพิ่ม​ดา​เม​จ​ที่เกิด​จาก​สกิล​
28	skillEffectReduce	0	1	0			1	基础伤害减免	基礎傷害減免	Base DMG Red.	基本ダメージダウン	기본 대미지 감면	ลดดาเมจพื้นฐาน	降低对方技能所产生的伤害	降低對方技能所產生的傷害	Reduces incoming skill damage.	相手のスキルダメージをダウンさせる	상대 스킬로 인한 대미지 감소	ลด​ดา​เม​จ​จาก​สกิล​ของ​ฝ่ายตรงข้าม​
29	penetratePoint	0	0	0			1	穿透	穿透	Penetration	貫通	관통	เจาะเกราะ	将部分攻击值转换为额外穿透伤害的基础值	將部分攻擊值轉換為額外穿透傷害的基礎值	A base stat that converts some ATK into extra penetration damage.	一部の攻撃力を追加貫通ダメージに変換するパラメータ	공격력 일부를 추가 관통 대미지로 전환하는 기본 수치	เปลี่ยน​ ATK​ บางส่วน​ ไป​เป็น​ค่า​พื้นฐาน​ของ​ดา​เม​จ​เจาะ​เกราะ​
209	penetration	0	1	1560	4	58:icon_4	1	穿透率	穿透率	Armor PEN	貫通率	관통률	อัตราเจาะเกราะ	将部分攻击值转换为额外穿透伤害，不会低于0点	將部分攻擊值轉換為額外穿透傷害，不會低於0點	Converts a portion of ATK to additional Piercing DMG (minimum of 0)	一部の攻撃力を追加貫通ダメージに変換する	공격력 일부를 추가 관통 대미지로 전환하려면 0포인트 이상이어야 한다	เปลี่ยน​ ATK​ บางส่วน​ ไป​เป็น​ดา​เม​จ​เจาะ​เกราะ​เพิ่มเติม​ โดย​จะ​ไม่​ต่ำกว่า​ 0​
30	bearPoint	0	0	0			1	承受	承受	DMG Taken	忍耐	계승	รับ	将部分防御值抵御穿透伤害的基础值	將部分防禦值抵禦穿透傷害的基礎值	Converts some DEF into resistance to penetration damage.	一部の防御力で貫通ダメージを抵抗するパラメータ	방어력 일부가 관통 대미지를 막는 기본 수치	เปลี่ยน​ DEF​ บางส่วน​ ไป​เป็น​ค่า​พื้นฐาน​สำหรับ​ป้องกัน​ดา​เม​จ​เจาะ​เกราะ​
210	bear	0	1	780	5	58:icon_5	1	忍耐率	忍耐率	Endurance	忍耐率	인내율	อัตราอดทน	将部分防御值抵御穿透伤害，不会低于0点	將部分防禦值抵禦穿透傷害，不會低於0點	Converts a portion of DEF to resist Piercing DMG (minimum of 0)	一部の防御力で貫通ダメージを抵抗する	방어력 일부가 관통 대미지를 막으려면 0포인트 이상이어야 한다	เปลี่ยน​ DEF​ บางส่วน​ ไป​เป็น​ค่า​ป้องกัน​ดา​เม​จ​เจาะ​เกราะ​ โดย​จะ​ไม่​ต่ำกว่า​ 0​
23	damageIncrs	0	1	0			1	伤害提升	傷害提升	DMG Boost	ダメージアップ	대미지 증가	ดาเมจเพิ่มขึ้น	提升最终的产生的伤害量	提升最終的產生的傷害量	Increases the final DMG dealt.	最終ダメージをアップさせる	총 대미지가 증가합니다.	เพิ่มปริมาณ​ดา​เม​จ​สุดท้าย​ที่​สร้าง​
