npcId	role	maxSp	skinId	classId	mode	handbook	class	location	behavior	attribute	atkSkill1	atkSkill2	atkSkill3	atkSkill4	atkSkill5	atkSkill6	hitSkill	passiveSkill	weakness	ai	showPassive	enterTimeline	enterSfx	summonPool	summonData	roleId	characterId	catType	race	summonPriority	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
31290082	2	5	12900890	2101			2	3	2	2										monster/monster_01											1
31027011		5	30102701	1201	1027	1027	1	1	1	1	511027001						571027001			monster/monster_91000093_01											1
31027001		5	30102701	2101	1027	1027	1	1	1	1	511027001						571027001			monster/monster_91000091_01											1
31117008		5	11700851	2101	117008		1	2	2	3	71117008	72117008					73117008	1010003		monster/monster_10002											1
38010082		5	30801091	2101	8010		1	2	2	3	518010002	528010001	538010001	548010001			558010001			monster/monster_38010081_02											1
31002001		5	30100201	2101	1002	1002	1	2	1	1	511002001	521002001					571002001			monster/monster_01											1
31003001		5	30100301	2201	1003	1003	1	5	1	1	511003001	521003001					571003001			monster/monster_01											1
31004001		5	30100401	2101	1004	1004	1	3	1	1	511004001	521004001					571004001			monster/monster_01											1
31005001		5	30100501	2101	1005	1005	1	4	1	1	511005001	521005001					571005001			monster/monster_01											1
31006001		5	30100601	2101	1006	1006	1	4	1	1	511006001						571006001			monster/monster_01_oneskill											1
31006016		5	30100601	2101	1006	1006	1	4	1	1	511006001	521006002					571006001			monster/monster_01											1
31007001		5	30100701	2201	1007	1007	1	5	1	1	511007001	521007001					571007001			monster/monster_01											1
31009001		5	30100901	2301	1009	1009	1	1	1	1	511009001	521009001					571009001			monster/monster_01											1
31010001		5	30101001	2101	1010	1010	1	5	1	1	511010001	521010001					571010001			monster/monster_01											1
31011001		5	30101101	2101	1011	1011	1	5	1	1	511011001	521011001					571011001			monster/monster_01											1
31012001		5	30101201	2101	1012	1012	1	3	1	1	511012001	521012001					571012001			monster/monster_01											1
31013001		5	30101301	2101	1013	1013	1	4	1	1	511013001	521013001					571013001			monster/monster_01											1
