ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10400701001	101@36;201@26;301@141;401@0.01;1303@0.025;1602@0.011;2102@0.011	10400701	1	101@36;201@26;301@141;401@0.01;1303@0.025;1602@0.011;2102@0.011			1	
10400701002	101@49.5;201@26;301@141;401@0.01;1303@0.025;1602@0.011;2102@0.011	10400701	2	101@13.5	4104041;3000003	15;900	1	
10400701003	101@49.5;201@35.8;301@141;401@0.01;1303@0.025;1602@0.011;2102@0.011	10400701	3	201@9.8	4104041;3000003	15;960	1	
10400701004	101@49.5;201@35.8;301@193.9;401@0.01;1303@0.025;1602@0.011;2102@0.011	10400701	4	301@52.9	4104041;3000003	15;1020	1	
10400701005	101@49.5;201@35.8;301@193.9;401@0.01;1303@0.05;1602@0.011;2102@0.011	10400701	5	1303@0.025	4104041;3000003	15;1080	1	
10400701006	101@63;201@35.8;301@193.9;401@0.01;1303@0.05;1602@0.011;2102@0.011	10400701	6	101@13.5	4104041;3000003	15;1140	1	
10400701007	101@63;201@45.6;301@193.9;401@0.01;1303@0.05;1602@0.011;2102@0.011	10400701	7	201@9.8	4104041;3000003	15;1200	1	
10400701008	101@63;201@45.6;301@246.8;401@0.01;1303@0.05;1602@0.011;2102@0.011	10400701	8	301@52.9	4104041;3000003	15;1260	1	
10400701009	101@63;201@45.6;301@246.8;401@0.02;1303@0.05;1602@0.011;2102@0.011	10400701	9	401@0.01	4104041;3000003	15;1320	1	
10400701010	101@76.5;201@45.6;301@246.8;401@0.02;1303@0.05;1602@0.011;2102@0.011	10400701	10	101@13.5	4104041;3000003	15;1380	1	
10400701011	101@76.5;201@55.4;301@246.8;401@0.02;1303@0.05;1602@0.011;2102@0.011	10400701	11	201@9.8	4104041;3000003	30;1440	1	
10400701012	101@76.5;201@55.4;301@299.7;401@0.02;1303@0.05;1602@0.011;2102@0.011	10400701	12	301@52.9	4104041;3000003	30;1500	1	
10400701013	101@76.5;201@55.4;301@299.7;401@0.02;1303@0.05;1602@0.022;2102@0.011	10400701	13	1602@0.011	4104041;3000003	30;1560	1	
10400701014	101@90;201@55.4;301@299.7;401@0.02;1303@0.05;1602@0.022;2102@0.011	10400701	14	101@13.5	4104041;3000003	30;1620	1	
10400701015	101@90;201@65.2;301@299.7;401@0.02;1303@0.05;1602@0.022;2102@0.011	10400701	15	201@9.8	4104041;3000003	30;1680	1	
