ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
13100102001	101@108;201@40;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017	13100102	1	101@108;201@40;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017			1	
13100102002	101@130.7;201@40;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017	13100102	2	101@22.7	4104041;3000003	20;1200	1	
13100102003	101@130.7;201@48.4;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017	13100102	3	201@8.4	4104041;3000003	20;1280	1	
13100102004	101@130.7;201@48.4;301@308.7;603@0.025;1203@0.012;1602@0.017;2102@0.017	13100102	4	301@53.7	4104041;3000003	20;1360	1	
13100102005	101@130.7;201@48.4;301@308.7;603@0.05;1203@0.012;1602@0.017;2102@0.017	13100102	5	603@0.025	4104041;3000003	20;1440	1	
13100102006	101@153.4;201@48.4;301@308.7;603@0.05;1203@0.012;1602@0.017;2102@0.017	13100102	6	101@22.7	4104041;3000003	20;1520	1	
13100102007	101@153.4;201@56.8;301@308.7;603@0.05;1203@0.012;1602@0.017;2102@0.017	13100102	7	201@8.4	4104041;3000003	20;1600	1	
13100102008	101@153.4;201@56.8;301@362.4;603@0.05;1203@0.012;1602@0.017;2102@0.017	13100102	8	301@53.7	4104041;3000003	20;1680	1	
13100102009	101@153.4;201@56.8;301@362.4;603@0.05;1203@0.024;1602@0.017;2102@0.017	13100102	9	1203@0.012	4104041;3000003	20;1760	1	
13100102010	101@176.1;201@56.8;301@362.4;603@0.05;1203@0.024;1602@0.017;2102@0.017	13100102	10	101@22.7	4104041;3000003	20;1840	1	
13100102011	101@176.1;201@65.2;301@362.4;603@0.05;1203@0.024;1602@0.017;2102@0.017	13100102	11	201@8.4	4104041;3000003	40;1920	1	
13100102012	101@176.1;201@65.2;301@416.1;603@0.05;1203@0.024;1602@0.017;2102@0.017	13100102	12	301@53.7	4104041;3000003	40;2000	1	
13100102013	101@176.1;201@65.2;301@416.1;603@0.05;1203@0.024;1602@0.034;2102@0.017	13100102	13	1602@0.017	4104041;3000003	40;2080	1	
13100102014	101@198.8;201@65.2;301@416.1;603@0.05;1203@0.024;1602@0.034;2102@0.017	13100102	14	101@22.7	4104041;3000003	40;2160	1	
13100102015	101@198.8;201@73.6;301@416.1;603@0.05;1203@0.024;1602@0.034;2102@0.017	13100102	15	201@8.4	4104041;3000003	40;2240	1	
13100102016	101@198.8;201@73.6;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.017	13100102	16	301@53.7	4104041;3000003	40;2320	1	
13100102017	101@198.8;201@73.6;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.034	13100102	17	2102@0.017	4104041;3000003	40;2400	1	
13100102018	101@221.5;201@73.6;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.034	13100102	18	101@22.7	4104041;3000003	40;2480	1	
13100102019	101@221.5;201@82;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.034	13100102	19	201@8.4	4104041;3000003	40;2560	1	
13100102020	101@221.5;201@82;301@523.5;603@0.05;1203@0.024;1602@0.034;2102@0.034	13100102	20	301@53.7	4104041;3000003	40;2640	1	
13100102021	101@221.5;201@82;301@523.5;603@0.075;1203@0.024;1602@0.034;2102@0.034	13100102	21	603@0.025	4104041;4104042;3000003	55;55;2720	1	
13100102022	101@244.2;201@82;301@523.5;603@0.075;1203@0.024;1602@0.034;2102@0.034	13100102	22	101@22.7	4104041;4104042;3000003	55;55;2800	1	
13100102023	101@244.2;201@90.4;301@523.5;603@0.075;1203@0.024;1602@0.034;2102@0.034	13100102	23	201@8.4	4104041;4104042;3000003	55;55;2880	1	
13100102024	101@244.2;201@90.4;301@577.2;603@0.075;1203@0.024;1602@0.034;2102@0.034	13100102	24	301@53.7	4104041;4104042;3000003	55;55;2960	1	
13100102025	101@244.2;201@90.4;301@577.2;603@0.075;1203@0.036;1602@0.034;2102@0.034	13100102	25	1203@0.012	4104041;4104042;3000003	55;55;3040	1	
13100102026	101@266.9;201@90.4;301@577.2;603@0.075;1203@0.036;1602@0.034;2102@0.034	13100102	26	101@22.7	4104041;4104042;3000003	55;55;3120	1	
13100102027	101@266.9;201@98.8;301@577.2;603@0.075;1203@0.036;1602@0.034;2102@0.034	13100102	27	201@8.4	4104041;4104042;3000003	55;55;3200	1	
13100102028	101@266.9;201@98.8;301@630.9;603@0.075;1203@0.036;1602@0.034;2102@0.034	13100102	28	301@53.7	4104041;4104042;3000003	55;55;3280	1	
13100102029	101@266.9;201@98.8;301@630.9;603@0.075;1203@0.036;1602@0.051;2102@0.034	13100102	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1	
13100102030	101@289.6;201@98.8;301@630.9;603@0.075;1203@0.036;1602@0.051;2102@0.034	13100102	30	101@22.7	4104041;4104042;3000003	55;55;3440	1	
13100102031	101@289.6;201@107.2;301@630.9;603@0.075;1203@0.036;1602@0.051;2102@0.034	13100102	31	201@8.4	4104041;4104042;3000003	70;70;3520	1	
13100102032	101@289.6;201@107.2;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.034	13100102	32	301@53.7	4104041;4104042;3000003	70;70;3600	1	
13100102033	101@289.6;201@107.2;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.051	13100102	33	2102@0.017	4104041;4104042;3000003	70;70;3680	1	
13100102034	101@312.3;201@107.2;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.051	13100102	34	101@22.7	4104041;4104042;3000003	70;70;3760	1	
13100102035	101@312.3;201@115.6;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.051	13100102	35	201@8.4	4104041;4104042;3000003	70;70;3840	1	
