id	num	status
int	int	int
1	0	1
2	0	1
3	500	1
4	4100031;3000003	1
5	5;5000	1
6	3000002	1
7	50	1
8	4100032	1
9	1;2;3;4	1
10	7	1
11	6	1
12	0	1
13	10	1
14	5	1
15	614;703	1
16	5	1
17	0.05;0.07;0.09;0.11;0.13;0.15;0.2	1
18	4100031;4100032;3000003	1
19	3000003	1
20	5340001	1
21	5340002	1
22	5340003	1
23	19000001;19000002;19000003	1
24	1;2;43	1
25		1
26	30	1
29	3000003	1
30	3000002	1
31	5	1
32	0.1;0.118;0.136;0.154;0.172;0.19;0.21	1
33	0.08;0.098;0.116;0.134;0.152;0.17;0.19	1
34	0.06;0.078;0.096;0.114;0.132;0.15;0.17	1
35	56	1
36	0	1
37	0.2	1
38	4100034;4100011;3000003	1
39	10;100;50000	1
40	5	1
41	11	1
42	0	1
43	4100031	1
44	5	1
45	100	1
46	100	1
47	20	1
48	300	1
49	30	1
