cardId	itemId	itemNum	status
int	int	int	int
101008	7101008	100	1
101011	7101011	100	1
101005	7101005	100	1
101006	7101006	100	1
102008	7102008	100	1
102007	7102007	100	1
102011	7102011	100	1
102001	7102001	100	1
102021	7102021	100	1
103008	7103008	100	1
103002	7103002	100	1
103007	7103007	100	1
103019	7103019	100	1
103021	7103021	100	1
104003	7104003	100	1
104005	7104005	100	1
104001	7104001	100	1
104008	7104008	100	1
105008	7105008	100	1
105001	7105001	100	1
105002	7105002	100	1
105006	7105006	100	1
106008	7106008	100	1
106001	7106001	100	1
106002	7106002	100	1
106010	7106010	100	1
107008	7107008	100	1
107001	7107001	100	1
107005	7107005	100	1
108008	7108008	100	1
108001	7108001	100	1
108006	7108006	100	1
108004	7108004	100	1
109008	7109008	100	1
110008	7110008	100	1
111008	7111008	100	1
111002	7111002	100	1
112008	7112008	100	1
112002	7112002	100	1
113008	7113008	100	1
113001	7113001	100	1
114008	7114008	100	1
114001	7114001	100	1
904001	7904001	100	1
904002	7904002	100	1
904005	7904005	100	1
904006	7904006	100	1
904007	7904007	100	1
904009	7904009	100	1
904010	7904010	100	1
904014	7904014	100	1
904015	7904015	100	1
904020	7904020	100	1
904022	7904022	100	1
904025	7904025	100	1
904026	7904026	100	1
904031	7904031	100	1
904033	7904033	100	1
904034	7904034	100	1
904041	7904041	100	1
904043	7904043	100	1
908002	7908002	100	1
115008	7115008	100	1
127008	7127008	100	1
130008	7130008	100	1
131008	7131008	100	1
117008	7117008	100	1
121008	7121008	100	1
103006	7103006	100	1
105004	7105004	100	1
106009	7106009	100	1
107010	7107010	100	1
101013	7101013	100	1
116001	7116001	100	1
137008	7137008	100	1
129008	7129008	100	1
129001	7129001	100	1
140008	7140008	100	1
109002	7109002	100	1
113002	7113002	100	1
114002	7114002	100	1
138001	7138001	100	1
138008	7138008	100	1
135008	7135008	100	1
802008	7802008	100	1
803008	7803008	100	1
801008	7801008	100	1
127001	7127001	100	1
136008	7136008	100	1
104016	7104016	100	1
103009	7103009	100	1
102012	7102012	100	1
101018	7101018	100	1
144001	7144001	100	1
144008	7144008	100	1
141008	7141008	100	1
129002	7129002	100	1
804008	7804008	100	1
805008	7805008	100	1
806008	7806008	100	1
125008	7125008	100	1
120008	7120008	100	1
123008	7123008	100	1
119008	7119008	100	1
133008	7133008	100	1
104007	7104007	100	1
103003	7103003	100	1
103017	7103017	100	1
102018	7102018	100	1
101012	7101012	100	1
104009	7104009	100	1
139008	7139008	100	1
149008	7149008	100	1
143008	7143008	100	1
122008	7122008	100	1
152008	7152008	100	1
135001	7135001	100	1
104013	7104013	100	1
106011	7106011	100	1
153008	7153008	100	1
151008	7151008	100	1
150008	7150008	100	1
148008	7148008	100	1
154008	7154008	100	1
803001	7803001	100	1
146008	7146008	100	1
126008	7126008	100	1
103012	7103012	100	1
147008	7147008	100	1
159008	7159008	100	1
131001	7131001	100	1
128008	7128008	100	1
160008	7160008	100	1
161008	7161008	100	1
102005	7102005	100	1
156008	7156008	100	1
157008	7157008	100	1
158008	7158008	100	1
163008	7163008	100	1
162008	7162008	100	1
101002	7101002	100	1
132008	7132008	100	1
164008	7164008	100	1
155008	7155008	100	1
145008	7145008	100	1
103005	7103005	100	1
165008	7165008	100	1
135002	7135002	100	1
144002	7144002	100	1
166008	7166008	100	1
103010	7103010	100	1
167008	7167008	100	1
102017	7102017	100	1
104004	7104004	100	1
170008	7170008	100	1
102013	7102013	100	1
104002	7104002	100	1
169008	7169008	100	1
103011	7103011	100	1
171008	7171008	100	1
106005	7106005	100	1
172008	7172008	100	1
173008	7173008	100	1
102010	7102010	100	1
