id	pos	type	roleId	attAddTypeId	attAddNum	exId	addBuffId	star	exBuffId	exStar	icon	groupId	costItem	costNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10101001	1	1	101010	201;101	40;85						88:talent_ico_740001	1	300022;300003	1200;12000	1
10101002	2	1	101010	101;301	85;1138						88:talent_ico_740001	1	300022;300003	1500;15000	1
10101003	3	1	101010	301;201	1138;40						88:talent_ico_740001	1	300022;300003	1500;15000	1
10101004	4	2	101010	201;101;301;1601	80;171;2275;0.03						88:talent_ico_740001	1	417100;300022;300003	12;3000;30000	1
10101005	5	1	101010	201;101	66;142						88:talent_ico_740002	1	300022;300003	1800;18000	1
10101006	6	1	101010	101;301	142;1896						88:talent_ico_740002	1	300022;300003	2400;24000	1
10101007	7	1	101010	301;201	1896;66						88:talent_ico_740002	1	300022;300003	2400;24000	1
10101008	8	2	101010	201;101;301;1601	133;284;3792;0.05						88:talent_ico_740002	1	417100;300022;300003	18;3600;36000	1
10101009	9	1	101010	101;301	142;1896						88:talent_ico_740002	1	300022;300003	2400;24000	1
10101010	10	1	101010	301;201	1896;66						88:talent_ico_740002	1	300022;300003	2400;24000	1
10101011	11	1	101010	201;101	66;142						88:talent_ico_740002	1	300022;300003	1800;18000	1
10101012	12	3	101010				91011	1			88:talent_ico_71101010	1	417200;300022;300003	12;5400;54000	1
10101013	13	1	101010	201;101	106;228						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101014	14	1	101010	101;301	228;3034						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101015	15	1	101010	301;201	3034;106						88:talent_ico_740003	1	300022;300003	3600;36000	1
10101016	16	3	101010			10101012	92011	1	91011	1	88:talent_ico_72101010	1	417300;300022;300003	12;9000;90000	1
10101017	17	1	101010	301;201	1896;66						88:talent_ico_740002	1	300022;300003	2400;24000	1
10101018	18	1	101010	201;101	66;142						88:talent_ico_740002	1	300022;300003	1800;18000	1
