ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
16500899001	101@132;201@41;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017	16500899	1	101@132;201@41;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017			1	
16500899002	101@159.8;201@41;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017	16500899	2	101@27.8	4104041;3000003	20;1200	1	
16500899003	101@159.8;201@49.6;301@255;603@0.025;1203@0.012;1602@0.017;2102@0.017	16500899	3	201@8.6	4104041;3000003	20;1280	1	
16500899004	101@159.8;201@49.6;301@308.7;603@0.025;1203@0.012;1602@0.017;2102@0.017	16500899	4	301@53.7	4104041;3000003	20;1360	1	
16500899005	101@159.8;201@49.6;301@308.7;603@0.05;1203@0.012;1602@0.017;2102@0.017	16500899	5	603@0.025	4104041;3000003	20;1440	1	
16500899006	101@187.6;201@49.6;301@308.7;603@0.05;1203@0.012;1602@0.017;2102@0.017	16500899	6	101@27.8	4104041;3000003	20;1520	1	
16500899007	101@187.6;201@58.2;301@308.7;603@0.05;1203@0.012;1602@0.017;2102@0.017	16500899	7	201@8.6	4104041;3000003	20;1600	1	
16500899008	101@187.6;201@58.2;301@362.4;603@0.05;1203@0.012;1602@0.017;2102@0.017	16500899	8	301@53.7	4104041;3000003	20;1680	1	
16500899009	101@187.6;201@58.2;301@362.4;603@0.05;1203@0.024;1602@0.017;2102@0.017	16500899	9	1203@0.012	4104041;3000003	20;1760	1	
16500899010	101@215.4;201@58.2;301@362.4;603@0.05;1203@0.024;1602@0.017;2102@0.017	16500899	10	101@27.8	4104041;3000003	20;1840	1	
16500899011	101@215.4;201@66.8;301@362.4;603@0.05;1203@0.024;1602@0.017;2102@0.017	16500899	11	201@8.6	4104041;3000003	40;1920	1	
16500899012	101@215.4;201@66.8;301@416.1;603@0.05;1203@0.024;1602@0.017;2102@0.017	16500899	12	301@53.7	4104041;3000003	40;2000	1	
16500899013	101@215.4;201@66.8;301@416.1;603@0.05;1203@0.024;1602@0.034;2102@0.017	16500899	13	1602@0.017	4104041;3000003	40;2080	1	
16500899014	101@243.2;201@66.8;301@416.1;603@0.05;1203@0.024;1602@0.034;2102@0.017	16500899	14	101@27.8	4104041;3000003	40;2160	1	
16500899015	101@243.2;201@75.4;301@416.1;603@0.05;1203@0.024;1602@0.034;2102@0.017	16500899	15	201@8.6	4104041;3000003	40;2240	1	
16500899016	101@243.2;201@75.4;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.017	16500899	16	301@53.7	4104041;3000003	40;2320	1	
16500899017	101@243.2;201@75.4;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.034	16500899	17	2102@0.017	4104041;3000003	40;2400	1	
16500899018	101@271;201@75.4;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.034	16500899	18	101@27.8	4104041;3000003	40;2480	1	
16500899019	101@271;201@84;301@469.8;603@0.05;1203@0.024;1602@0.034;2102@0.034	16500899	19	201@8.6	4104041;3000003	40;2560	1	
16500899020	101@271;201@84;301@523.5;603@0.05;1203@0.024;1602@0.034;2102@0.034	16500899	20	301@53.7	4104041;3000003	40;2640	1	
16500899021	101@271;201@84;301@523.5;603@0.075;1203@0.024;1602@0.034;2102@0.034	16500899	21	603@0.025	4104041;4104042;3000003	55;55;2720	1	
16500899022	101@298.8;201@84;301@523.5;603@0.075;1203@0.024;1602@0.034;2102@0.034	16500899	22	101@27.8	4104041;4104042;3000003	55;55;2800	1	
16500899023	101@298.8;201@92.6;301@523.5;603@0.075;1203@0.024;1602@0.034;2102@0.034	16500899	23	201@8.6	4104041;4104042;3000003	55;55;2880	1	
16500899024	101@298.8;201@92.6;301@577.2;603@0.075;1203@0.024;1602@0.034;2102@0.034	16500899	24	301@53.7	4104041;4104042;3000003	55;55;2960	1	
16500899025	101@298.8;201@92.6;301@577.2;603@0.075;1203@0.036;1602@0.034;2102@0.034	16500899	25	1203@0.012	4104041;4104042;3000003	55;55;3040	1	
16500899026	101@326.6;201@92.6;301@577.2;603@0.075;1203@0.036;1602@0.034;2102@0.034	16500899	26	101@27.8	4104041;4104042;3000003	55;55;3120	1	
16500899027	101@326.6;201@101.2;301@577.2;603@0.075;1203@0.036;1602@0.034;2102@0.034	16500899	27	201@8.6	4104041;4104042;3000003	55;55;3200	1	
16500899028	101@326.6;201@101.2;301@630.9;603@0.075;1203@0.036;1602@0.034;2102@0.034	16500899	28	301@53.7	4104041;4104042;3000003	55;55;3280	1	
16500899029	101@326.6;201@101.2;301@630.9;603@0.075;1203@0.036;1602@0.051;2102@0.034	16500899	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1	
16500899030	101@354.4;201@101.2;301@630.9;603@0.075;1203@0.036;1602@0.051;2102@0.034	16500899	30	101@27.8	4104041;4104042;3000003	55;55;3440	1	
16500899031	101@354.4;201@109.8;301@630.9;603@0.075;1203@0.036;1602@0.051;2102@0.034	16500899	31	201@8.6	4104041;4104042;3000003	70;70;3520	1	
16500899032	101@354.4;201@109.8;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.034	16500899	32	301@53.7	4104041;4104042;3000003	70;70;3600	1	
16500899033	101@354.4;201@109.8;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.051	16500899	33	2102@0.017	4104041;4104042;3000003	70;70;3680	1	
16500899034	101@382.2;201@109.8;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.051	16500899	34	101@27.8	4104041;4104042;3000003	70;70;3760	1	
16500899035	101@382.2;201@118.4;301@684.6;603@0.075;1203@0.036;1602@0.051;2102@0.051	16500899	35	201@8.6	4104041;4104042;3000003	70;70;3840	1	
16500899036	101@382.2;201@118.4;301@738.3;603@0.075;1203@0.036;1602@0.051;2102@0.051	16500899	36	301@53.7	4104041;4104042;3000003	70;70;3920	1	
16500899037	101@382.2;201@118.4;301@738.3;603@0.1;1203@0.036;1602@0.051;2102@0.051	16500899	37	603@0.025	4104041;4104042;3000003	70;70;4000	1	
16500899038	101@410;201@118.4;301@738.3;603@0.1;1203@0.036;1602@0.051;2102@0.051	16500899	38	101@27.8	4104041;4104042;3000003	70;70;4080	1	
16500899039	101@410;201@127;301@738.3;603@0.1;1203@0.036;1602@0.051;2102@0.051	16500899	39	201@8.6	4104041;4104042;3000003	70;70;4160	1	
16500899040	101@410;201@127;301@792;603@0.1;1203@0.036;1602@0.051;2102@0.051	16500899	40	301@53.7	4104041;4104042;3000003	70;70;4240	1	
16500899041	101@410;201@127;301@792;603@0.1;1203@0.048;1602@0.051;2102@0.051	16500899	41	1203@0.012	4104041;4104042;4104043;3000003	70;70;70;4320	1	
16500899042	101@437.8;201@127;301@792;603@0.1;1203@0.048;1602@0.051;2102@0.051	16500899	42	101@27.8	4104041;4104042;4104043;3000003	70;70;70;4400	1	
16500899043	101@437.8;201@135.6;301@792;603@0.1;1203@0.048;1602@0.051;2102@0.051	16500899	43	201@8.6	4104041;4104042;4104043;3000003	70;70;70;4480	1	
16500899044	101@437.8;201@135.6;301@845.7;603@0.1;1203@0.048;1602@0.051;2102@0.051	16500899	44	301@53.7	4104041;4104042;4104043;3000003	70;70;70;4560	1	
16500899045	101@437.8;201@135.6;301@845.7;603@0.1;1203@0.048;1602@0.068;2102@0.051	16500899	45	1602@0.017	4104041;4104042;4104043;3000003	70;70;70;4640	1	
16500899046	101@465.6;201@135.6;301@845.7;603@0.1;1203@0.048;1602@0.068;2102@0.051	16500899	46	101@27.8	4104041;4104042;4104043;3000003	70;70;70;4720	1	
