ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
14900802001	101@112;201@41;301@259;401@0.01;703@0.033;1602@0.011;2102@0.011	14900802	1	101@112;201@41;301@259;401@0.01;703@0.033;1602@0.011;2102@0.011			1	
14900802002	101@135.6;201@41;301@259;401@0.01;703@0.033;1602@0.011;2102@0.011	14900802	2	101@23.6	4104041;3000003	20;1200	1	
14900802003	101@135.6;201@49.6;301@259;401@0.01;703@0.033;1602@0.011;2102@0.011	14900802	3	201@8.6	4104041;3000003	20;1280	1	
14900802004	101@135.6;201@49.6;301@313.5;401@0.01;703@0.033;1602@0.011;2102@0.011	14900802	4	301@54.5	4104041;3000003	20;1360	1	
14900802005	101@135.6;201@49.6;301@313.5;401@0.01;703@0.066;1602@0.011;2102@0.011	14900802	5	703@0.033	4104041;3000003	20;1440	1	
14900802006	101@159.2;201@49.6;301@313.5;401@0.01;703@0.066;1602@0.011;2102@0.011	14900802	6	101@23.6	4104041;3000003	20;1520	1	
14900802007	101@159.2;201@58.2;301@313.5;401@0.01;703@0.066;1602@0.011;2102@0.011	14900802	7	201@8.6	4104041;3000003	20;1600	1	
14900802008	101@159.2;201@58.2;301@368;401@0.01;703@0.066;1602@0.011;2102@0.011	14900802	8	301@54.5	4104041;3000003	20;1680	1	
14900802009	101@159.2;201@58.2;301@368;401@0.02;703@0.066;1602@0.011;2102@0.011	14900802	9	401@0.01	4104041;3000003	20;1760	1	
14900802010	101@182.8;201@58.2;301@368;401@0.02;703@0.066;1602@0.011;2102@0.011	14900802	10	101@23.6	4104041;3000003	20;1840	1	
14900802011	101@182.8;201@66.8;301@368;401@0.02;703@0.066;1602@0.011;2102@0.011	14900802	11	201@8.6	4104041;3000003	40;1920	1	
14900802012	101@182.8;201@66.8;301@422.5;401@0.02;703@0.066;1602@0.011;2102@0.011	14900802	12	301@54.5	4104041;3000003	40;2000	1	
14900802013	101@182.8;201@66.8;301@422.5;401@0.02;703@0.066;1602@0.022;2102@0.011	14900802	13	1602@0.011	4104041;3000003	40;2080	1	
14900802014	101@206.4;201@66.8;301@422.5;401@0.02;703@0.066;1602@0.022;2102@0.011	14900802	14	101@23.6	4104041;3000003	40;2160	1	
14900802015	101@206.4;201@75.4;301@422.5;401@0.02;703@0.066;1602@0.022;2102@0.011	14900802	15	201@8.6	4104041;3000003	40;2240	1	
