ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10300201001	101@31.7;201@12.2;301@89.9;703@0.022;401@0.01;1602@0.011;2102@0.011	10300201	1	101@31.7;201@12.2;301@89.9;703@0.022;401@0.01;1602@0.011;2102@0.011			1	
10300201002	101@43.6;201@12.2;301@89.9;703@0.022;401@0.01;1602@0.011;2102@0.011	10300201	2	101@11.9	4104041;3000003	15;900	1	
10300201003	101@43.6;201@16.8;301@89.9;703@0.022;401@0.01;1602@0.011;2102@0.011	10300201	3	201@4.6	4104041;3000003	15;960	1	
10300201004	101@43.6;201@16.8;301@123.6;703@0.022;401@0.01;1602@0.011;2102@0.011	10300201	4	301@33.7	4104041;3000003	15;1020	1	
10300201005	101@43.6;201@16.8;301@123.6;703@0.044;401@0.01;1602@0.011;2102@0.011	10300201	5	703@0.022	4104041;3000003	15;1080	1	
10300201006	101@55.5;201@16.8;301@123.6;703@0.044;401@0.01;1602@0.011;2102@0.011	10300201	6	101@11.9	4104041;3000003	15;1140	1	
10300201007	101@55.5;201@21.4;301@123.6;703@0.044;401@0.01;1602@0.011;2102@0.011	10300201	7	201@4.6	4104041;3000003	15;1200	1	
10300201008	101@55.5;201@21.4;301@157.3;703@0.044;401@0.01;1602@0.011;2102@0.011	10300201	8	301@33.7	4104041;3000003	15;1260	1	
10300201009	101@55.5;201@21.4;301@157.3;703@0.044;401@0.02;1602@0.011;2102@0.011	10300201	9	401@0.01	4104041;3000003	15;1320	1	
10300201010	101@67.4;201@21.4;301@157.3;703@0.044;401@0.02;1602@0.011;2102@0.011	10300201	10	101@11.9	4104041;3000003	15;1380	1	
10300201011	101@67.4;201@26;301@157.3;703@0.044;401@0.02;1602@0.011;2102@0.011	10300201	11	201@4.6	4104041;3000003	30;1440	1	
10300201012	101@67.4;201@26;301@191;703@0.044;401@0.02;1602@0.011;2102@0.011	10300201	12	301@33.7	4104041;3000003	30;1500	1	
10300201013	101@67.4;201@26;301@191;703@0.044;401@0.02;1602@0.022;2102@0.011	10300201	13	1602@0.011	4104041;3000003	30;1560	1	
10300201014	101@79.3;201@26;301@191;703@0.044;401@0.02;1602@0.022;2102@0.011	10300201	14	101@11.9	4104041;3000003	30;1620	1	
10300201015	101@79.3;201@30.6;301@191;703@0.044;401@0.02;1602@0.022;2102@0.011	10300201	15	201@4.6	4104041;3000003	30;1680	1	
10300201016	101@79.3;201@30.6;301@224.7;703@0.044;401@0.02;1602@0.022;2102@0.011	10300201	16	301@33.7	4104041;3000003	30;1740	1	
10300201017	101@79.3;201@30.6;301@224.7;703@0.044;401@0.02;1602@0.022;2102@0.022	10300201	17	2102@0.011	4104041;3000003	30;1800	1	
10300201018	101@91.2;201@30.6;301@224.7;703@0.044;401@0.02;1602@0.022;2102@0.022	10300201	18	101@11.9	4104041;3000003	30;1860	1	
10300201019	101@91.2;201@35.2;301@224.7;703@0.044;401@0.02;1602@0.022;2102@0.022	10300201	19	201@4.6	4104041;3000003	30;1920	1	
10300201020	101@91.2;201@35.2;301@258.4;703@0.044;401@0.02;1602@0.022;2102@0.022	10300201	20	301@33.7	4104041;3000003	30;1980	1	
10300201021	101@91.2;201@35.2;301@258.4;703@0.066;401@0.02;1602@0.022;2102@0.022	10300201	21	703@0.022	4104041;4104042;3000003	40;40;2040	1	
10300201022	101@103.1;201@35.2;301@258.4;703@0.066;401@0.02;1602@0.022;2102@0.022	10300201	22	101@11.9	4104041;4104042;3000003	40;40;2100	1	
10300201023	101@103.1;201@39.8;301@258.4;703@0.066;401@0.02;1602@0.022;2102@0.022	10300201	23	201@4.6	4104041;4104042;3000003	40;40;2160	1	
10300201024	101@103.1;201@39.8;301@292.1;703@0.066;401@0.02;1602@0.022;2102@0.022	10300201	24	301@33.7	4104041;4104042;3000003	40;40;2220	1	
10300201025	101@103.1;201@39.8;301@292.1;703@0.066;401@0.03;1602@0.022;2102@0.022	10300201	25	401@0.01	4104041;4104042;3000003	40;40;2280	1	
10300201026	101@115;201@39.8;301@292.1;703@0.066;401@0.03;1602@0.022;2102@0.022	10300201	26	101@11.9	4104041;4104042;3000003	40;40;2340	1	
10300201027	101@115;201@44.4;301@292.1;703@0.066;401@0.03;1602@0.022;2102@0.022	10300201	27	201@4.6	4104041;4104042;3000003	40;40;2400	1	
10300201028	101@115;201@44.4;301@325.8;703@0.066;401@0.03;1602@0.022;2102@0.022	10300201	28	301@33.7	4104041;4104042;3000003	40;40;2460	1	
10300201029	101@115;201@44.4;301@325.8;703@0.066;401@0.03;1602@0.033;2102@0.022	10300201	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1	
10300201030	101@126.9;201@44.4;301@325.8;703@0.066;401@0.03;1602@0.033;2102@0.022	10300201	30	101@11.9	4104041;4104042;3000003	40;40;2580	1	
10300201031	101@126.9;201@49;301@325.8;703@0.066;401@0.03;1602@0.033;2102@0.022	10300201	31	201@4.6	4104041;4104042;3000003	50;50;2640	1	
10300201032	101@126.9;201@49;301@359.5;703@0.066;401@0.03;1602@0.033;2102@0.022	10300201	32	301@33.7	4104041;4104042;3000003	50;50;2700	1	
10300201033	101@126.9;201@49;301@359.5;703@0.066;401@0.03;1602@0.033;2102@0.033	10300201	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1	
10300201034	101@138.8;201@49;301@359.5;703@0.066;401@0.03;1602@0.033;2102@0.033	10300201	34	101@11.9	4104041;4104042;3000003	50;50;2820	1	
10300201035	101@138.8;201@53.6;301@359.5;703@0.066;401@0.03;1602@0.033;2102@0.033	10300201	35	201@4.6	4104041;4104042;3000003	50;50;2880	1	
10300201036	101@138.8;201@53.6;301@393.2;703@0.066;401@0.03;1602@0.033;2102@0.033	10300201	36	301@33.7	4104041;4104042;3000003	50;50;2940	1	
10300201037	101@138.8;201@53.6;301@393.2;703@0.088;401@0.03;1602@0.033;2102@0.033	10300201	37	703@0.022	4104041;4104042;3000003	50;50;3000	1	
10300201038	101@150.7;201@53.6;301@393.2;703@0.088;401@0.03;1602@0.033;2102@0.033	10300201	38	101@11.9	4104041;4104042;3000003	50;50;3060	1	
10300201039	101@150.7;201@58.2;301@393.2;703@0.088;401@0.03;1602@0.033;2102@0.033	10300201	39	201@4.6	4104041;4104042;3000003	50;50;3120	1	
10300201040	101@150.7;201@58.2;301@426.9;703@0.088;401@0.03;1602@0.033;2102@0.033	10300201	40	301@33.7	4104041;4104042;3000003	50;50;3180	1	
10300201041	101@150.7;201@58.2;301@426.9;703@0.088;401@0.04;1602@0.033;2102@0.033	10300201	41	401@0.01	4104041;4104042;3000003	50;50;50;3240	1	
10300201042	101@162.6;201@58.2;301@426.9;703@0.088;401@0.04;1602@0.033;2102@0.033	10300201	42	101@11.9	4104041;4104042;4104043;3000003	50;50;50;3300	1	
10300201043	101@162.6;201@62.8;301@426.9;703@0.088;401@0.04;1602@0.033;2102@0.033	10300201	43	201@4.6	4104041;4104042;4104043;3000003	50;50;50;3360	1	
10300201044	101@162.6;201@62.8;301@460.6;703@0.088;401@0.04;1602@0.033;2102@0.033	10300201	44	301@33.7	4104041;4104042;4104043;3000003	50;50;50;3420	1	
10300201045	101@162.6;201@62.8;301@460.6;703@0.088;401@0.04;1602@0.044;2102@0.033	10300201	45	1602@0.011	4104041;4104042;4104043;3000003	50;50;50;3480	1	
10300201046	101@174.5;201@62.8;301@460.6;703@0.088;401@0.04;1602@0.044;2102@0.033	10300201	46	101@11.9	4104041;4104042;4104043;3000003	50;50;50;3540	1	
10300201047	101@174.5;201@67.4;301@460.6;703@0.088;401@0.04;1602@0.044;2102@0.033	10300201	47	201@4.6	4104041;4104042;4104043;3000003	50;50;50;3600	1	
10300201048	101@174.5;201@67.4;301@494.3;703@0.088;401@0.04;1602@0.044;2102@0.033	10300201	48	301@33.7	4104041;4104042;4104043;3000003	50;50;50;3660	1	
10300201049	101@174.5;201@67.4;301@494.3;703@0.088;401@0.04;1602@0.044;2102@0.044	10300201	49	2102@0.011	4104041;4104042;4104043;3000003	50;50;50;3720	1	
10300201050	101@186.4;201@67.4;301@494.3;703@0.088;401@0.04;1602@0.044;2102@0.044	10300201	50	101@11.9	4104041;4104042;4104043;3000003	50;50;50;3780	1	
10300201051	101@186.4;201@72;301@494.3;703@0.088;401@0.04;1602@0.044;2102@0.044	10300201	51	201@4.6	4104041;4104042;4104043;3000003	70;70;70;3840	1	
10300201052	101@186.4;201@72;301@528;703@0.088;401@0.04;1602@0.044;2102@0.044	10300201	52	301@33.7	4104041;4104042;4104043;3000003	70;70;70;3900	1	
10300201053	101@186.4;201@72;301@528;703@0.11;401@0.04;1602@0.044;2102@0.044	10300201	53	703@0.022	4104041;4104042;4104043;3000003	70;70;70;3960	1	
10300201054	101@198.3;201@72;301@528;703@0.11;401@0.04;1602@0.044;2102@0.044	10300201	54	101@11.9	4104041;4104042;4104043;3000003	70;70;70;4020	1	
10300201055	101@198.3;201@76.6;301@528;703@0.11;401@0.04;1602@0.044;2102@0.044	10300201	55	201@4.6	4104041;4104042;4104043;3000003	70;70;70;4080	1	
10300201056	101@198.3;201@76.6;301@561.7;703@0.11;401@0.04;1602@0.044;2102@0.044	10300201	56	301@33.7	4104041;4104042;4104043;3000003	70;70;70;4140	1	
10300201057	101@198.3;201@76.6;301@561.7;703@0.11;401@0.05;1602@0.044;2102@0.044	10300201	57	401@0.01	4104041;4104042;4104043;3000003	70;70;70;4200	1	
10300201058	101@210.2;201@76.6;301@561.7;703@0.11;401@0.05;1602@0.044;2102@0.044	10300201	58	101@11.9	4104041;4104042;4104043;3000003	70;70;70;4260	1	
10300201059	101@210.2;201@81.2;301@561.7;703@0.11;401@0.05;1602@0.044;2102@0.044	10300201	59	201@4.6	4104041;4104042;4104043;3000003	70;70;70;4320	1	
10300201060	101@210.2;201@81.2;301@595.4;703@0.11;401@0.05;1602@0.044;2102@0.044	10300201	60	301@33.7	4104041;4104042;4104043;3000003	70;70;70;4380	1	
