id	property	status
string	string	int
10100810		1
10100811	101:65.2;201:28.1;301:168.5	1
10100812	101:130.4;201:56.2;301:337	1
10100813	101:228.2;201:98.3;301:589.7	1
10100814	101:326;201:140.4;301:842.4	1
10100815	101:451.4;201:194.4;301:1166.4	1
10100816	101:639.5;201:275.4;301:1652.4	1
10101110		1
10101111	101:65.9;201:27.8;301:168.5	1
10101112	101:131.8;201:55.6;301:337	1
10101113	101:230.6;201:97.3;301:589.7	1
10101114	101:329.4;201:139;301:842.4	1
10101115	101:456.1;201:192.5;301:1166.4	1
10101116	101:646.2;201:272.7;301:1652.4	1
10100510		1
10100511	101:47.4;201:19.4;301:115.1	1
10100512	101:94.8;201:38.8;301:230.2	1
10100513	101:142.2;201:58.2;301:345.3	1
10100514	101:196;201:80.2;301:475.9	1
10100515	101:249.8;201:102.2;301:606.5	1
10100516	101:303.6;201:124.2;301:737.1	1
10101310		1
10101311	101:95;201:41.3;301:247.9	1
10101312	101:190;201:82.6;301:495.8	1
10101313	101:332.6;201:144.6;301:867.6	1
10101314	101:475.2;201:206.6;301:1239.4	1
10101315	101:665.3;201:289.2;301:1735.1	1
10101316	101:950.4;201:413.1;301:2478.7	1
10200810		1
10200811	101:65.9;201:28.1;301:166.8	1
10200812	101:131.8;201:56.2;301:333.6	1
10200813	101:230.6;201:98.3;301:583.8	1
10200814	101:329.4;201:140.4;301:834	1
10200815	101:456.1;201:194.4;301:1154.8	1
10200816	101:646.2;201:275.4;301:1635.9	1
10200710		1
10200711	101:94.1;201:41.3;301:250.3	1
10200712	101:188.2;201:82.6;301:500.6	1
10200713	101:329.3;201:144.6;301:876	1
10200714	101:470.4;201:206.6;301:1251.4	1
10200715	101:658.5;201:289.2;301:1752	1
10200716	101:940.7;201:413.1;301:2502.9	1
10201110		1
10201111	101:85.5;201:45.9;301:278.1	1
10201112	101:171;201:91.8;301:556.2	1
10201113	101:299.3;201:160.7;301:973.4	1
10201114	101:427.6;201:229.6;301:1390.6	1
10201115	101:598.6;201:321.4;301:1946.8	1
10201116	101:855.1;201:459.1;301:2781.1	1
10200110		1
10200111	101:47.9;201:19.2;301:115.1	1
10200112	101:95.8;201:38.4;301:230.2	1
10200113	101:143.7;201:57.6;301:345.3	1
10200114	101:198;201:79.4;301:475.9	1
10200115	101:252.3;201:101.2;301:606.5	1
10200116	101:306.6;201:123;301:737.1	1
10202110		1
10202111	101:98;201:40.9;301:243	1
10202112	101:196;201:81.8;301:486	1
10202113	101:343;201:143.2;301:850.5	1
10202114	101:490;201:204.6;301:1215	1
10202115	101:686;201:286.4;301:1701	1
10202116	101:980;201:409.1;301:2430	1
10300810		1
10300811	101:59.3;201:31.2;301:187.2	1
10300812	101:118.6;201:62.4;301:374.4	1
10300813	101:207.5;201:109.2;301:655.2	1
10300814	101:296.4;201:156;301:936	1
10300815	101:410.4;201:216;301:1296	1
10300816	101:581.4;201:306;301:1836	1
10300210		1
10300211	101:68.6;201:26.7;301:168.5	1
10300212	101:137.2;201:53.4;301:337	1
10300213	101:240.2;201:93.4;301:589.7	1
10300214	101:343.2;201:133.4;301:842.4	1
10300215	101:475.2;201:184.7;301:1166.4	1
10300216	101:673.2;201:261.7;301:1652.4	1
10300710		1
10300711	101:99;201:38.5;301:255.2	1
10300712	101:198;201:77;301:510.4	1
10300713	101:346.5;201:134.7;301:893.1	1
10300714	101:495;201:192.4;301:1275.8	1
10300715	101:693;201:269.4;301:1786.1	1
10300716	101:990;201:384.8;301:2551.6	1
10301910		1
10301911	101:38.4;201:23;301:146.5	1
10301912	101:76.8;201:46;301:293	1
10301913	101:115.2;201:69;301:439.5	1
10301914	101:158.7;201:95.1;301:605.8	1
10301915	101:202.2;201:121.2;301:772.1	1
10301916	101:245.7;201:147.3;301:938.4	1
10302110		1
10302111	101:90.9;201:43.2;301:278.1	1
10302112	101:181.8;201:86.4;301:556.2	1
10302113	101:318.2;201:151.2;301:973.4	1
10302114	101:454.6;201:216;301:1390.6	1
10302115	101:636.4;201:302.4;301:1946.8	1
10302116	101:909.1;201:432;301:2781.1	1
10400310		1
10400311	101:52.8;201:34.3;301:208	1
10400312	101:105.6;201:68.6;301:416	1
10400313	101:184.8;201:120.1;301:728	1
10400314	101:264;201:171.6;301:1040	1
10400315	101:365.5;201:237.6;301:1440	1
10400316	101:517.8;201:336.6;301:2039.9	1
10400510		1
10400511	101:37.2;201:23.7;301:146.5	1
10400512	101:74.4;201:47.4;301:293	1
10400513	101:111.6;201:71.1;301:439.5	1
10400514	101:153.8;201:98;301:605.8	1
10400515	101:196;201:124.9;301:772.1	1
10400516	101:238.2;201:151.8;301:938.4	1
10400110		1
10400111	101:81;201:49.5;301:297	1
10400112	101:162;201:99;301:594	1
10400113	101:283.5;201:173.3;301:1039.5	1
10400114	101:405;201:247.6;301:1485	1
10400115	101:567;201:346.6;301:2079	1
10400116	101:810;201:495.1;301:2970	1
10400810		1
10400811	101:53.9;201:33.6;301:208	1
10400812	101:107.8;201:67.2;301:416	1
10400813	101:188.7;201:117.7;301:728	1
10400814	101:269.6;201:168.2;301:1040	1
10400815	101:373.3;201:232.9;301:1440	1
10400816	101:528.8;201:329.9;301:2039.9	1
10500810		1
10500811	101:99;201:40.5;301:243	1
10500812	101:198;201:81;301:486	1
10500813	101:346.5;201:141.8;301:850.5	1
10500814	101:495;201:202.6;301:1215	1
10500815	101:693;201:283.6;301:1701	1
10500816	101:990;201:405.1;301:2430	1
10500110		1
10500111	101:68;201:26.7;301:170.2	1
10500112	101:136;201:53.4;301:340.4	1
10500113	101:237.9;201:93.4;301:595.6	1
10500114	101:339.8;201:133.4;301:850.8	1
10500115	101:470.5;201:184.7;301:1178	1
10500116	101:666.5;201:261.7;301:1668.9	1
10500210		1
10500211	101:46.9;201:19.4;301:116.3	1
10500212	101:93.8;201:38.8;301:232.6	1
10500213	101:140.7;201:58.2;301:348.9	1
10500214	101:193.9;201:80.2;301:480.9	1
10500215	101:247.1;201:102.2;301:612.9	1
