id	roleId	Type	level	consumeItem	consumeNum	status
int	int	int	int	int	int	int
101008101	101008	1	1	4104011;3000003	5;20000	1
101008102	101008	1	2	4104011;3000003	10;40000	1
101008103	101008	1	3	4104011;3000003	10;70000	1
101008104	101008	1	4	4104011;3000003	20;100000	1
101008105	101008	1	5	4104011;3000003	20;140000	1
101008106	101008	1	6	4104011;3000003	30;180000	1
101008107	101008	1	7	4104011;3000003	30;220000	1
101008108	101008	1	8	4104011;3000003	40;260000	1
101008109	101008	1	9	4104011;3000003	50;300000	1
101008110	101008	1	10			1
101008201	101008	2	1	4104011;3000003	10;10000	1
101008202	101008	2	2	4104011;3000003	20;40000	1
101008203	101008	2	3	4104011;3000003	30;90000	1
101008204	101008	2	4	4104011;3000003	40;160000	1
101008205	101008	2	5	4104011;3000003	50;250000	1
101008206	101008	2	6	4104011;3000003	60;360000	1
101008207	101008	2	7			1
101011101	101011	1	1	4104011;3000003	5;20000	1
101011102	101011	1	2	4104011;3000003	10;40000	1
101011103	101011	1	3	4104011;3000003	10;70000	1
101011104	101011	1	4	4104011;3000003	20;100000	1
101011105	101011	1	5	4104011;3000003	20;140000	1
101011106	101011	1	6	4104011;3000003	30;180000	1
101011107	101011	1	7	4104011;3000003	30;220000	1
101011108	101011	1	8	4104011;3000003	40;260000	1
101011109	101011	1	9	4104011;3000003	50;300000	1
101011110	101011	1	10			1
101011201	101011	2	1	4104011;3000003	10;10000	1
101011202	101011	2	2	4104011;3000003	20;40000	1
101011203	101011	2	3	4104011;3000003	30;90000	1
101011204	101011	2	4	4104011;3000003	40;160000	1
101011205	101011	2	5	4104011;3000003	50;250000	1
101011206	101011	2	6	4104011;3000003	60;360000	1
101011207	101011	2	7			1
101005101	101005	1	1	4104011;3000003	5;20000	1
101005102	101005	1	2	4104011;3000003	10;40000	1
101005103	101005	1	3	4104011;3000003	10;70000	1
101005104	101005	1	4	4104011;3000003	20;100000	1
101005105	101005	1	5	4104011;3000003	20;140000	1
101005106	101005	1	6	4104011;3000003	30;180000	1
101005107	101005	1	7	4104011;3000003	30;220000	1
101005108	101005	1	8	4104011;3000003	40;260000	1
101005109	101005	1	9	4104011;3000003	50;300000	1
101005110	101005	1	10			1
101005201	101005	2	1	4104011;3000003	10;10000	1
101005202	101005	2	2	4104011;3000003	20;40000	1
101005203	101005	2	3	4104011;3000003	30;90000	1
101005204	101005	2	4	4104011;3000003	40;160000	1
101005205	101005	2	5	4104011;3000003	50;250000	1
101005206	101005	2	6	4104011;3000003	60;360000	1
101005207	101005	2	7			1
101013101	101013	1	1	4104011;3000003	5;20000	1
101013102	101013	1	2	4104011;3000003	10;40000	1
101013103	101013	1	3	4104011;3000003	10;70000	1
