Id	roleId	type	initOpenAbility	starUnlock	capabilityValue	status
int	int	int	int	int	int	int
10100801	101008	1			0;40;80;80;160;160;240;240;320;400	1
10100802	101008	2	61101008		0;60;120;180;240;300;360	1
10101101	101011	1			0;40;80;80;160;160;240;240;320;400	1
10101102	101011	2	61101011		0;60;120;180;240;300;360	1
10100501	101005	1			0;40;80;80;160;160;240;240;320;400	1
10100502	101005	2	61101005		0;60;120;180;240;300;360	1
10100601	101006	1			0;40;80;80;160;160;240;240;320;400	1
10100602	101006	2	61101006		0;60;120;180;240;300;360	1
10200801	102008	1			0;40;80;80;160;160;240;240;320;400	1
10200802	102008	2	61102008		0;60;120;180;240;300;360	1
10200701	102007	1			0;40;80;80;160;160;240;240;320;400	1
10200702	102007	2	61102007		0;60;120;180;240;300;360	1
10200703	102007	3	73100008	3	500	1
10200704	102007	3	75102007	5	1000	1
10201101	102011	1			0;40;80;80;160;160;240;240;320;400	1
10201102	102011	2	61102011		0;60;120;180;240;300;360	1
10201103	102011	3	73100010	3	500	1
10201104	102011	3	75102011	5	1000	1
10200101	102001	1			0;40;80;80;160;160;240;240;320;400	1
10200102	102001	2	61102001		0;60;120;180;240;300;360	1
10202101	102021	1			0;40;80;80;160;160;240;240;320;400	1
10202102	102021	2	61102021		0;60;120;180;240;300;360	1
10202103	102021	3	73100006	3	500	1
10202104	102021	3	75102021	5	1000	1
10300801	103008	1			0;40;80;80;160;160;240;240;320;400	1
10300802	103008	2	61103008		0;60;120;180;240;300;360	1
10300201	103002	1			0;40;80;80;160;160;240;240;320;400	1
10300202	103002	2	61103002		0;60;120;180;240;300;360	1
10300701	103007	1			0;40;80;80;160;160;240;240;320;400	1
10300702	103007	2	61103007		0;60;120;180;240;300;360	1
10300703	103007	3	73100007	3	500	1
10300704	103007	3	75103007	5	1000	1
10301901	103019	1			0;40;80;80;160;160;240;240;320;400	1
10301902	103019	2	61103019		0;60;120;180;240;300;360	1
10302101	103021	1			0;40;80;80;160;160;240;240;320;400	1
10302102	103021	2	61103021		0;60;120;180;240;300;360	1
10302103	103021	3	73100010	3	500	1
10302104	103021	3	75103021	5	1000	1
10400301	104003	1			0;40;80;80;160;160;240;240;320;400	1
10400302	104003	2	61104003		0;60;120;180;240;300;360	1
10400501	104005	1			0;40;80;80;160;160;240;240;320;400	1
10400502	104005	2	61104005		0;60;120;180;240;300;360	1
10400101	104001	1			0;40;80;80;160;160;240;240;320;400	1
10400102	104001	2	61104001		0;60;120;180;240;300;360	1
10400103	104001	3	73100012	3	500	1
10400104	104001	3	75104001	5	1000	1
10400801	104008	1			0;40;80;80;160;160;240;240;320;400	1
10400802	104008	2	61104008		0;60;120;180;240;300;360	1
10500801	105008	1			0;40;80;80;160;160;240;240;320;400	1
10500802	105008	2	61105008		0;60;120;180;240;300;360	1
10500803	105008	3	73100011	3	500	1
10500804	105008	3	75105008	5	1000	1
10500101	105001	1			0;40;80;80;160;160;240;240;320;400	1
10500102	105001	2	61105001		0;60;120;180;240;300;360	1
10500201	105002	1			0;40;80;80;160;160;240;240;320;400	1
10500202	105002	2	61105002		0;60;120;180;240;300;360	1
10500601	105006	1			0;40;80;80;160;160;240;240;320;400	1
10500602	105006	2	61105006		0;60;120;180;240;300;360	1
10600801	106008	1			0;40;80;80;160;160;240;240;320;400	1
10600802	106008	2	61106008		0;60;120;180;240;300;360	1
10600101	106001	1			0;40;80;80;160;160;240;240;320;400	1
10600102	106001	2	61106001		0;60;120;180;240;300;360	1
10600201	106002	1			0;40;80;80;160;160;240;240;320;400	1
10600202	106002	2	61106002		0;60;120;180;240;300;360	1
10600203	106002	3	73100008	3	500	1
10600204	106002	3	75106002	5	1000	1
10601001	106010	1			0;40;80;80;160;160;240;240;320;400	1
10601002	106010	2	61106010		0;60;120;180;240;300;360	1
10700801	107008	1			0;40;80;80;160;160;240;240;320;400	1
10700802	107008	2	61107008		0;60;120;180;240;300;360	1
10700101	107001	1			0;40;80;80;160;160;240;240;320;400	1
10700102	107001	2	61107001		0;60;120;180;240;300;360	1
10700103	107001	3	73100011	3	500	1
10700104	107001	3	75107001	5	1000	1
10700501	107005	1			0;40;80;80;160;160;240;240;320;400	1
10700502	107005	2	61107005		0;60;120;180;240;300;360	1
10800801	108008	1			0;40;80;80;160;160;240;240;320;400	1
10800802	108008	2	61108008		0;60;120;180;240;300;360	1
10800101	108001	1			0;40;80;80;160;160;240;240;320;400	1
10800102	108001	2	61108001		0;60;120;180;240;300;360	1
10800103	108001	3	73100011	3	500	1
10800104	108001	3	75108001	5	1000	1
10800601	108006	1			0;40;80;80;160;160;240;240;320;400	1
10800602	108006	2	61108006		0;60;120;180;240;300;360	1
10800603	108006	3	73100011	3	500	1
10800604	108006	3	75108006	5	1000	1
10800401	108004	1			0;40;80;80;160;160;240;240;320;400	1
10800402	108004	2	61108004		0;60;120;180;240;300;360	1
10900801	109008	1			0;40;80;80;160;160;240;240;320;400	1
10900802	109008	2	61109008		0;60;120;180;240;300;360	1
10900803	109008	3	73100008	3	500	1
10900804	109008	3	75109008	5	1000	1
11000801	110008	1			0;40;80;80;160;160;240;240;320;400	1
11000802	110008	2	61110008		0;60;120;180;240;300;360	1
11000803	110008	3	73100011	3	500	1
11000804	110008	3	75110008	5	1000	1
11100801	111008	1			0;40;80;80;160;160;240;240;320;400	1
11100802	111008	2	61111008		0;60;120;180;240;300;360	1
11100201	111002	1			0;40;80;80;160;160;240;240;320;400	1
11100202	111002	2	61111002		0;60;120;180;240;300;360	1
11100203	111002	3	73100009	3	500	1
11100204	111002	3	75111002	5	1000	1
11200801	112008	1			0;40;80;80;160;160;240;240;320;400	1
11200802	112008	2	61112008		0;60;120;180;240;300;360	1
11200201	112002	1			0;40;80;80;160;160;240;240;320;400	1
11200202	112002	2	61112002		0;60;120;180;240;300;360	1
11200203	112002	3	73100007	3	500	1
11200204	112002	3	75112002	5	1000	1
11300801	113008	1			0;40;80;80;160;160;240;240;320;400	1
11300802	113008	2	61113008		0;60;120;180;240;300;360	1
11300101	113001	1			0;40;80;80;160;160;240;240;320;400	1
11300102	113001	2	61113001		0;60;120;180;240;300;360	1
11300103	113001	3	73100008	3	500	1
11300104	113001	3	75113001	5	1000	1
11400801	114008	1			0;40;80;80;160;160;240;240;320;400	1
11400802	114008	2	61114008		0;60;120;180;240;300;360	1
11400101	114001	1			0;40;80;80;160;160;240;240;320;400	1
11400102	114001	2	61114001		0;60;120;180;240;300;360	1
11400103	114001	3	73100011	3	500	1
11400104	114001	3	75114001	5	1000	1
90400101	904001	1			0;40;80;80;160;160;240;240;320;400	1
90400102	904001	2	61904001		0;60;120;180;240;300;360	1
90400201	904002	1			0;40;80;80;160;160;240;240;320;400	1
90400202	904002	2	61904002		0;60;120;180;240;300;360	1
90400501	904005	1			0;40;80;80;160;160;240;240;320;400	1
90400502	904005	2	61904005		0;60;120;180;240;300;360	1
90400601	904006	1			0;40;80;80;160;160;240;240;320;400	1
90400602	904006	2	61904006		0;60;120;180;240;300;360	1
12100801	121008	1			0;40;80;80;160;160;240;240;320;400	1
12100802	121008	2	61121008		0;60;120;180;240;300;360	1
90400901	904009	1			0;40;80;80;160;160;240;240;320;400	1
90400902	904009	2	61904009		0;60;120;180;240;300;360	1
90401001	904010	1			0;40;80;80;160;160;240;240;320;400	1
90401002	904010	2	61904010		0;60;120;180;240;300;360	1
90401401	904014	1			0;40;80;80;160;160;240;240;320;400	1
90401402	904014	2	61904014		0;60;120;180;240;300;360	1
90401403	904014	3	73100007	3	500	1
90401404	904014	3	75904014	5	1000	1
90401501	904015	1			0;40;80;80;160;160;240;240;320;400	1
90401502	904015	2	61904015		0;60;120;180;240;300;360	1
90401503	904015	3	73100006	3	500	1
90401504	904015	3	75904015	5	1000	1
90402001	904020	1			0;40;80;80;160;160;240;240;320;400	1
90402002	904020	2	61904020		0;60;120;180;240;300;360	1
90402003	904020	3	73100011	3	500	1
90402004	904020	3	75904020	5	1000	1
90402201	904022	1			0;40;80;80;160;160;240;240;320;400	1
