weaponmainId	roleId	weaponLV	card	desc	effectMode	property	weaponskill	weaponunlock	weaponItem	weaponItemNum	capabilityValue	status	upgrade	upgrade_zh_TW	upgrade_en_UK	upgrade_ja_JP	upgrade_ko_KR	upgrade_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
102021001	102021	1	完美效劳				310202101		4105011;4105012;4105013;4105023;3000003	5;10;5;5;50000	800	1	[自动除污]破裂伤害提高8%	[自動除汙]破裂傷害提高8%	[Auto Cleaning]: Overload DMG +8%.	[除染モード]超会心ダメージ＋8%	[자동 청소] 파열 대미지 8% 증가	[​เช็ด​ล้าง​อัตโนมัติ​]​ ดา​เม​จ​ฉีก​กระชาก​เพิ่มขึ้น​ 8%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021002	102021	2	完美效劳			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	6;12;6;6;50000	160	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021003	102021	3	完美效劳			603@0.07			4105011;4105012;4105013;4105023;3000003	7;14;7;7;50000	760	1	暴击率+7%	爆擊率+7%	CRIT Rate +7%	会心率＋7%	크리티컬 확률 +7%	อัตราคริติคอล+7%	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021004	102021	4	完美效劳			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	8;16;8;8;50000	200	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021005	102021	5	完美效劳				310202102		4105011;4105012;4105013;4105023;3000003	9;18;9;9;50000	880	1	释放[定点清洗]技能前穿透率提高8%	釋放[定點清洗]技能前穿透率提高8%	Increases Armor PEN by 8% before unleashing [Targeted Washing].	[洗濯モード]発動前、貫通率＋8%	[포인트 클리어링] 스킬 시전 시 관통률 +8%	เพิ่ม​อัตรา​เจาะ​เกราะ​ขึ้น​ 8%​ ก่อนที่จะ​ใช้​สกิล​ [​ซักล้าง​เฉพาะ​จุด​]​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021006	102021	6	完美效劳			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	10;20;10;10;50000	250	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021007	102021	7	完美效劳			1203@0.05			4105011;4105012;4105013;4105023;3000003	11;21;11;11;50000	850	1	穿透率+5%	穿透率+5%	Armor PEN +5%	貫通率＋5%	관통률 +5%	อัตราเจาะเกราะ +5%	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021008	102021	8	完美效劳			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	12;22;12;13;50000	290	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021009	102021	9	完美效劳			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	13;23;13;15;50000	310	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
