ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
90402501001	101@24.6;201@19.8;301@94.1;903@0.033;401@0.01;1602@0.011;2102@0.011	90402501	1	101@24.6;201@19.8;301@94.1;903@0.033;401@0.01;1602@0.011;2102@0.011			1	
90402501002	101@33.8;201@19.8;301@94.1;903@0.033;401@0.01;1602@0.011;2102@0.011	90402501	2	101@9.2	4104041;3000003	15;900	1	
90402501003	101@33.8;201@27.2;301@94.1;903@0.033;401@0.01;1602@0.011;2102@0.011	90402501	3	201@7.4	4104041;3000003	15;960	1	
90402501004	101@33.8;201@27.2;301@129.4;903@0.033;401@0.01;1602@0.011;2102@0.011	90402501	4	301@35.3	4104041;3000003	15;1020	1	
90402501005	101@33.8;201@27.2;301@129.4;903@0.066;401@0.01;1602@0.011;2102@0.011	90402501	5	903@0.033	4104041;3000003	15;1080	1	
90402501006	101@43;201@27.2;301@129.4;903@0.066;401@0.01;1602@0.011;2102@0.011	90402501	6	101@9.2	4104041;3000003	15;1140	1	
90402501007	101@43;201@34.6;301@129.4;903@0.066;401@0.01;1602@0.011;2102@0.011	90402501	7	201@7.4	4104041;3000003	15;1200	1	
90402501008	101@43;201@34.6;301@164.7;903@0.066;401@0.01;1602@0.011;2102@0.011	90402501	8	301@35.3	4104041;3000003	15;1260	1	
90402501009	101@43;201@34.6;301@164.7;903@0.066;401@0.02;1602@0.011;2102@0.011	90402501	9	401@0.01	4104041;3000003	15;1320	1	
90402501010	101@52.2;201@34.6;301@164.7;903@0.066;401@0.02;1602@0.011;2102@0.011	90402501	10	101@9.2	4104041;3000003	15;1380	1	
90402501011	101@52.2;201@42;301@164.7;903@0.066;401@0.02;1602@0.011;2102@0.011	90402501	11	201@7.4	4104041;3000003	30;1440	1	
90402501012	101@52.2;201@42;301@200;903@0.066;401@0.02;1602@0.011;2102@0.011	90402501	12	301@35.3	4104041;3000003	30;1500	1	
90402501013	101@52.2;201@42;301@200;903@0.066;401@0.02;1602@0.022;2102@0.011	90402501	13	1602@0.011	4104041;3000003	30;1560	1	
90402501014	101@61.4;201@42;301@200;903@0.066;401@0.02;1602@0.022;2102@0.011	90402501	14	101@9.2	4104041;3000003	30;1620	1	
90402501015	101@61.4;201@49.4;301@200;903@0.066;401@0.02;1602@0.022;2102@0.011	90402501	15	201@7.4	4104041;3000003	30;1680	1	
