roleId	levelLowLimit	levelUpLimit	property	status
int	int	int	int	int
101008	1	70	101:103;201:40;301:243;401:0;703:1.35;803:0.05;1602:0;2102:0	1
101011	1	70	101:104;201:40;301:243;401:0;703:1.2;903:0.1;1203:0.1;1602:0;2102:0	1
101005	1	70	101:84;201:31;301:186;401:0;703:1.2;903:0.15;1602:0;2102:0	1
101013	1	70	101:139;201:55;301:330;401:0;703:1.35;903:0.1;1602:0;2102:0.03	1
102008	1	70	101:95;201:40;301:240;401:0;603:0.08;703:1.2;1203:0.14;1303:0.14;1602:0;2102:0	1
102007	1	70	101:135;201:55;301:333;401:0.01;703:1.2;1203:0.14;1303:0.14;1602:0;2102:0	1
102011	1	70	101:114;201:69;301:415;401:0;703:1.2;903:0;1203:0.14;1602:0.03;2102:0	1
102001	1	70	101:77;201:31;301:186;401:0;603:0.08;703:1.2;1203:0.14;1602:0;2102:0	1
102021	1	70	101:131;201:54;301:336;401:0;603:0.08;703:1.2;803:0.03;1203:0.14;1602:0;2102:0	1
103008	1	70	101:85;201:45;301:313;401:0;703:1.2;903:0;1303:0.2;1602:0;2102:0;1601:0.07	1
103002	1	70	101:99;201:38;301:281;401:0;603:0.08;703:1.2;1203:0.07;1602:0;2102:0	1
103007	1	70	101:142;201:51;301:394;401:0;603:0.05;703:1.2;903:0.05;1602:0;2102:0	1
103019	1	70	101:62;201:37;301:275;401:0.04;703:1.2;903:0;1602:0;2102:0	1
103021	1	70	101:130;201:57;301:430;401:0;703:1.2;803:0.03;903:0;1602:0;2102:0;2101:0.07	1
104003	1	70	101:76;201:49;301:347;401:0;703:1.2;1303:0.2;1602:0;2102:0.07	1
104005	1	70	101:60;201:38;301:275;401:0;703:1.2;1303:0.2;1602:0;2102:0	1
104001	1	70	101:116;201:75;301:459;401:0;703:1.2;803:0.03;903:0;1602:0;2102:0	1
104008	1	70	101:77;201:48;301:347;401:0;703:1.2;1303:0.2;1602:0.07;2102:0	1
105008	1	70	101:145;201:54;301:324;401:0;703:1.35;1203:0.07;1303:0.07;1602:0;2102:0	1
105001	1	70	101:107;201:38;301:274;401:0;603:0.05;703:1.2;1602:0;2102:0	1
105002	1	70	101:83;201:31;301:188;401:0;703:1.2;1303:0.2;1602:0;2102:0	1
105006	1	70	101:105;201:39;301:243;401:0;703:1.2;1203:0.1;1303:0.14;1602:0;2102:0	1
106008	1	70	101:78;201:48;301:332;401:0;703:1.2;1303:0.27;1602:0;2102:0.07	1
106001	1	70	101:62;201:46;301:228;401:0;703:1.2;1303:0.27;1602:0;2102:0	1
106002	1	70	101:108;201:64;301:452;401:0;703:1.2;803:0.05;1303:0.15;1602:0.03;2102:0	1
106010	1	70	101:77;201:49;301:332;401:0;703:1.2;903:0.1;1303:0.27;1602:0;2102:0	1
107008	1	70	101:97;201:39;301:240;401:0;603:0.08;703:1.4;1602:0;2102:0.07	1
107001	1	70	101:142;201:54;301:324;401:0;703:1.4;903:0.05;1203:0.07;1602:0;2102:0	1
107005	1	70	101:87;201:48;301:291;401:0;703:1.4;1303:0.14;1602:0;2102:0	1
108008	1	70	101:85;201:31;301:209;401:0;703:1.2;1602:0;2102:0	1
108001	1	70	101:145;201:53;301:366;401:0;703:1.2;903:0.1;1303:0.07;1602:0;2102:0	1
108006	1	70	101:146;201:53;301:349;401:0;703:1.2;803:0.03;1203:0.1;1602:0;2102:0	1
108004	1	70	101:109;201:38;301:266;401:0;703:1.2;903:0.1;1602:0;2102:0	1
109008	1	70	101:131;201:55;301:324;401:0;703:1.2;903:0.15;1203:0.14;1303:0.14;1602:0;2102:0	1
110008	1	70	101:139;201:54;301:327;401:0;603:0.1;703:1.3;1602:0.03;2102:0	1
111008	1	70	101:87;201:44;301:313;401:0;703:1.2;903:0;1303:0.2;1602:0;2102:0;1601:0.07	1
111002	1	70	101:117;201:60;301:425;401:0;703:1.2;803:0.05;903:0;1303:0.07;1602:0;2102:0;2101:0.1	1
112008	1	70	101:87;201:44;301:313;401:0;703:1.2;803:0.08;903:0;1602:0;2102:0;2101:0.07	1
112002	1	70	101:139;201:52;301:390;401:0;603:0.05;703:1.2;803:0.03;1602:0;2102:0	1
113008	1	70	101:104;201:39;301:243;401:0;603:0.1;703:1.2;1203:0.07;1602:0;2102:0	1
113001	1	70	101:142;201:54;301:324;401:0;603:0.1;703:1.25;803:0.05;1602:0;2102:0	1
114008	1	70	101:84;201:44;301:322;401:0;703:1.2;903:0;1303:0.2;1602:0;2102:0;1601:0.07	1
114001	1	70	101:142;201:54;301:330;401:0;603:0.03;703:1.2;1203:0.1;1602:0;2102:0.07	1
904001	1	70	101:82;201:31;301:190;401:0;603:0.1;703:1.2;1602:0;2102:0	1
904002	1	70	101:75;201:31;301:190;401:0;703:1.35;1203:0.14;1602:0;2102:0	1
904005	1	70	101:102;201:40;301:240;401:0;703:1.2;1203:0.14;1303:0.14;1602:0;2102:0	1
904006	1	70	101:83;201:30;301:194;401:0;603:0.08;703:1.2;1602:0;2102:0	1
904009	1	70	101:92;201:47;301:243;401:0;603:0.08;703:1.4;1602:0;2102:0	1
904010	1	70	101:105;201:40;301:238;401:0;603:0.08;703:1.2;803:0.05;1602:0;2102:0	1
904014	1	70	101:108;201:66;301:459;401:0;703:1.2;803:0.05;903:0.05;1303:0.2;1602:0;2102:0	1
904015	1	70	101:105;201:39;301:240;401:0;603:0.1;703:1.2;803:0.05;1602:0.03;2102:0	1
904020	1	70	101:107;201:40;301:235;401:0;703:1.25;1203:0.1;1303:0.14;1602:0;2102:0	1
904022	1	70	101:97;201:39;301:240;401:0;603:0.08;703:1.2;1203:0.14;1303:0.14;1602:0;2102:0	1
904025	1	70	101:77;201:62;301:294;401:0;703:1.2;803:0.05;903:0;1602:0;2102:0.1	1
904026	1	70	101:78;201:49;301:341;401:0;703:1.2;903:0.1;1303:0.2;1602:0;2102:0	1
904031	1	70	101:76;201:62;301:332;401:0;703:1.2;803:0.05;1303:0;1602:0;2102:0	1
904033	1	70	101:105;201:39;301:243;401:0;603:0.08;703:1.2;1303:0.14;1602:0;2102:0	1
904034	1	70	101:95;201:40;301:243;401:0;603:0.1;703:1.2;803:0.08;903:0.1;1602:0;2102:0	1
904041	1	70	101:84;201:31;301:188;401:0;703:1.35;1602:0;2102:0	1
904043	1	70	101:77;201:30;301:190;401:0;603:0.1;703:1.2;1203:0.1;1602:0;2102:0	1
908002	1	70	101:105;201:39;301:238;401:0;703:1.3;903:0.05;1203:0.14;1602:0;2102:0	1
115008	1	70	101:142;201:61;301:330;401:0;603:0.03;703:1.2;1203:0.1;1602:0;2102:0	1
127008	1	70	101:139;201:51;301:373;401:0;703:1.25;803:0.1;1602:0;2102:0	1
130008	1	70	101:139;201:54;301:327;401:0;703:1.2;1203:0.14;1303:0.14;1602:0.03;2102:0	1
131008	1	70	101:145;201:51;301:350;401:0;603:0.08;703:1.2;903:0.1;1602:0;2102:0	1
117008	1	70	101:146;201:51;301:347;401:0;603:0.08;703:1.2;903:0.1;1602:0;2102:0	1
121008	1	70	101:145;201:54;301:324;401:0;703:1.3;1203:0.1;1602:0;2102:0	1
103006	1	70	101:143;201:54;301:324;401:0;603:0.05;703:1.35;1203:0.03;1602:0;2102:0	1
105004	1	70	101:104;201:40;301:240;401:0;603:0.08;703:1.3;1602:0;2102:0	1
106009	1	70	101:145;201:51;301:343;401:0;603:0.05;703:1.2;1203:0.14;1602:0;2102:0	1
107010	1	70	101:145;201:54;301:307;401:0;603:0.08;703:1.4;1203:0.03;1602:0;2102:0	1
123008	1	70	101:134;201:57;301:442;603:0.03;703:1.3	1
125008	1	70	101:136;201:54;301:346;401:0;603:0.03;703:1.2;1203:0.14;1602:0;2102:0	1
129008	1	70	101:98;201:39;301:238;401:0;603:0.1;703:1.3;1303:0.2;1602:0;2102:0	1
126008	1	70	101:142;201:55;301:330;401:0;603:0.05;703:1.2;1203:0.14;1602:0;2102:0	1
137008	1	70	101:138;201:57;301:423;703:1.2;1203:0.07	1
135008	1	70	101:116;201:66;301:459;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
116001	1	70	101:105;201:66;301:468;401:0;703:1.2;803:0.05;903:0.05;1303:0.2;1602:0;2102:0	1
140008	1	70	101:134;201:56;301:389;401:0;703:1.2;903:0.2;1303:0.2;1602:0;2102:0	1
129001	1	70	101:145;201:52;301:349;401:0;703:1.4;1203:0.03;1602:0;2102:0	1
109002	1	70	101:118;201:60;301:411;401:0;703:1.2;803:0.05;903:0.15;1303:0.27;1602:0;2102:0	1
113002	1	70	101:143;201:52;301:340;401:0;603:0.05;703:1.2;1203:0.14;1602:0;2102:0	1
114002	1	70	101:116;201:66;301:459;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
138001	1	70	101:106;201:78;301:468;401:0;703:1.2;1303:0;1602:0;2102:0;1601:0.03;2101:0.07	1
138008	1	70	101:152;201:57;301:415;603:0.05;703:1.35;1203:0.03	1
802008	1	70	101:142;201:54;301:349;401:0;703:1.4;1203:0.03;1602:0;2102:0	1
803008	1	70	101:108;201:70;301:427;401:0;703:1.2;803:0.1;1303:0.2;1602:0;2102:0	1
801008	1	70	101:79;201:55;301:337;401:0;703:1.2;1303:0.2;1602:0;2102:0	1
127001	1	70	101:118;201:66;301:450;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
136008	1	70	101:118;201:66;301:450;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
