roleId	mainRoleStance	mainRoleDirection	mainKanbanStance	mainKanbanDirection	mainCatStance	mainCatDirection	heartStreamPosition	mainChangeCatStance	mainChangeCatDirection	startEnterCamPosition	startEnterCamRotation	startRoleStance	startRoleDirection	enterCamPosition	enterCamRotation	roleStance	roleDirection	halfRoleStance	catCamPosition	catCamRotation	catPosition	catRotation	cardRoleStance	cardRoleDirection	homePosition	CameraExclusiveWeapon	enlargeRoleCam	UpDownRole	aboutRole	camLockPosition	roleRotationLimit	catRotationLimit	BattleEndrole	scale	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101002	-2.36;1.93;7.77	15.33;152;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.5;1.58;7.782					-0.031;-1.342;1.7	0;-161;0	0,0,0;0,0,0;1	101002_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
101005	-2.32;1.58;7.88	3.77;153;0	-2.05;0.97;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.1;1.297;10.07	3.77;153;0	-2.5;1.58;7.782					-0.25;-1.26;2.12	0;-169;0	0,0,0;0,0,0;1	101005_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
101008	-2.32;1.62;7.88	3.77;153;0	-2.05;0.97;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.56;1.62;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	101008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
101011	-2.4;1.58;7.88	3.77;153;0	-2.05;0.97;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.56;1.58;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	101011_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
101012	-2.75;1.51;8.82	3.77;155;0	-2.05;0.87;10.86	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.15;1.297;10.07	3.77;153;0	-2.5;1.58;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	101012_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
101013	-2.5;1.58;7.782	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.5;1.58;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	101013_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
101018	-2.53;1.58;8.07	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.15;1.297;10.07	3.77;153;0	-2.85;1.57;8.07					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	101018_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
102001	-2.32;1.3;7.782	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.297;9.61	3.77;153;0	-2.55;1.3;7.782					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1	102001_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102005	-2.52;1.2;8.38	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.26;1.33;7.58					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102005_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102007	-2.67;1.23;8.2	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.67;1.23;8.2					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102007_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102008	-2.42;1.05;8.08	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;0.93;9.61	0;150;0	-2.55;0.89;7.77					-0.15;-1.15;0.9	6.5;-168.7;0	0,0,0;0,0,0;1	102008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102010	-2.56;1.3;8.03	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.78;1.3;8.03					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102010_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102011	-2.7;1.1;8.51	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.297;9.61	3.77;153;0	-2.95;1.1;8.41					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102011_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102012	-2.54;1.25;8.07	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.75;1.12;9.61	3.77;153;0	-2.75;1.24;8.07					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1		7:2;3:1	0:-1;0:0	0.2;0.54				-0.2;0.4;0	1	1
102013	-3.27;1.15;9.32	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;0.89;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.51;1.19;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102013_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102021	-2.7;1.28;8.4	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.95;1.28;8.4					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102014_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102017	-3.45;1.17;9.57	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.6;1.19;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102017_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
102018	-2.44;1.25;7.98	3.77;153;0	-1.95;0.8;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.58;1.25;7.76					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	102018_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
103003	-2.5;1.5;8.05	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.15;1.297;10.07	3.77;153;0	-2.73;1.48;8.05					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103003_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103011	-3.2;1.3;9.21	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-3.1;1.1;9.5	-1.48999;171;0			-4.2;1.297;10.07	3.77;153;0	-2.62;1.55;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103011_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103008	-2.39;1.55;7.782	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.88;1.2;9.8	3.77;153;0	-2.62;1.55;7.782					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	103008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103002	-2.58;1.55;8.1	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4;1.2;9.8	3.77;153;0	-2.62;1.55;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103002_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103005	-2.58;1.41;8.25	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.62;1.55;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103005_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103006	-2.4;1.55;8.03	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.2;9.8	3.77;153;0	-2.4;1.55;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103006_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103007	-2.41;1.46;7.9	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.297;9.61	3.77;153;0	-2.62;1.46;7.9					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103007_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103009	-2.46;1.44;8.08	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.85;1.2;9.68	3.77;153;0	-2.66;1.47;7.99					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	103009_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.2;0.2;-0.1	1	1
103010	-2.38;1.55;7.782	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.62;1.55;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	103010_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103012	-2.7;0.99;8.43	-5.42;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.62;1.55;7.782					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	103012_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
103021	-2.53;1.33;8.03	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.297;9.61	3.77;153;0	-2.53;1.33;7.782					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	103013_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.3;0.25;0	1	1
10302150	-3.563;0.487;5.382	3.727;72.95;0	-3.638;0.487;4.873	3.727;72.95;0	-2.207;0.188;5.429	-0.31;12.43;0		-2.207;0.188;5.429	-0.31;21.1;0			-2.717;0.5;3.571	3.727;44.91;0			-2.665;0.444;4.342	3.727;44.035;0	-2.425;0.38;4.82	-2.244;0.188;5.29	-0.31;19.157;0	-0.067;0;0.914	0;-137.945;0	-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1		3:2;2:1	0:0;0:0	0.2;0.54		0;-108;0:0;60;0		-0.3;0.25;0	1	1
103017	-2.72;1.5;8.35	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.05;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.62;1.55;7.782					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	103017_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.17;0	1	1
103019	-2.99;1.26;8.7	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.297;9.61	3.77;153;0	-2.74;1.26;8.01					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	103019_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.5;0	1	1
104001	-2.6;1.65;8.1	3.77;153;0	-2.05;1.03;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.7;1.6;7.99					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104001_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
104002	-3.26;1.36;10.07	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.59;2.82;9.22	24.8;151;0	-2.22;2.08;7.48					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104002_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.2;0	1	1
104003	-2.51;1.6;7.99	3.77;153;0	-2.05;0.97;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.76;1.6;7.99					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104003_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
104004	-3.37;1.4;9.88	3.77;151.6;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.27;1.69;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104004_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
104005	-2.58;1.58;7.99	3.77;153;0	-2.05;0.97;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.83;1.58;7.99					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104005_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
104007	-2.26;1.6;7.782	3.77;153;0	-2.05;0.87;10.48	-1;-178.93;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.1;1.297;10.07	3.77;153;0	-2.5;1.69;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104007_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.3;0.1;0	1	1
104008	-2.42;1.58;7.782	3.77;153;0	-2.05;0.97;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.62;1.58;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
104009	-3.22;1.69;9.17	3.77;153;0	-2.05;1;11.15	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5.4;1.1;10	0;150;0			-4.4;1.48;10.44	3.77;153;0	-3.22;1.69;8.78					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104009_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;-0.19;0	1	1
104013	-2.7;1.57;8.51	3.77;153;0	-1.97;0.9;10.92	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5.05;1.05;9.7	0;150;0			-4.2;1.297;10.4	3.77;155.1;0	-2.45;1.65;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104013_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.3;0.1;-0.1	1	1
104016	-2.61;1.57;8.28	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.14;1.297;10.07	3.77;153;0	-2.55;1.62;7.782					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	104016_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.2;0.1;0	1	1
105001	-2.37;1.35;7.9	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.62;1.29;7.9					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	105001_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
