id	roleId	times	awakenLevel	openAbility	isHiding	capabilityValue	status
int	int	int	int	int	int	int	int
1	101008	1	1	61101008		0	1
2	101008	2	2			400	1
3	101008	3	3			400	1
4	101008	4	4			400	1
5	101008	5		62101008		500	1
6	101008	6	5			400	1
7	101008	7	6			400	1
8	101011	1	1	61101011		0	1
9	101011	2	2			400	1
10	101011	3	3			400	1
11	101011	4	4			400	1
12	101011	5		62101011		500	1
13	101011	6	5			400	1
14	101011	7	6			400	1
15	101005	1	1	61101005		0	1
16	101005	2	2			400	1
17	101005	3	3			400	1
18	101005	4	4			400	1
19	101005	5		62101005		500	1
20	101005	6	5			400	1
21	101005	7	6			400	1
22	101006	1	1	61101006		0	1
23	101006	2	2			400	1
24	101006	3	3			400	1
25	101006	4	4			400	1
26	101006	5		62101006		500	1
27	101006	6	5			400	1
28	101006	7	6			400	1
29	102008	1	1	61102008		0	1
30	102008	2	2			400	1
31	102008	3	3			400	1
32	102008	4	4			400	1
33	102008	5		62102008		500	1
34	102008	6	5			400	1
35	102008	7	6			400	1
36	102007	1	1	61102007		0	1
37	102007	2	2			400	1
38	102007	3	3			400	1
39	102007	4	4			400	1
40	102007	5		62102007		500	1
41	102007	6	5			400	1
42	102007	7	6			400	1
43	102011	1	1	61102011		0	1
44	102011	2	2			400	1
45	102011	3	3			400	1
46	102011	4	4			400	1
47	102011	5		62102011		500	1
48	102011	6	5			400	1
49	102011	7	6			400	1
50	102001	1	1	61102001		0	1
51	102001	2	2			400	1
52	102001	3	3			400	1
53	102001	4	4			400	1
54	102001	5		62102001		500	1
55	102001	6	5			400	1
56	102001	7	6			400	1
57	102021	1	1	61102021		0	1
58	102021	2	2			400	1
59	102021	3	3			400	1
60	102021	4	4			400	1
61	102021	5		62102021		500	1
62	102021	6	5			400	1
63	102021	7	6			400	1
64	103008	1	1	61103008		0	1
65	103008	2	2			400	1
66	103008	3	3			400	1
67	103008	4	4			400	1
68	103008	5		62103008		500	1
69	103008	6	5			400	1
70	103008	7	6			400	1
71	103002	1	1	61103002		0	1
72	103002	2	2			400	1
73	103002	3	3			400	1
74	103002	4	4			400	1
75	103002	5		62103002		500	1
76	103002	6	5			400	1
77	103002	7	6			400	1
78	103007	1	1	61103007		0	1
79	103007	2	2			400	1
80	103007	3	3			400	1
81	103007	4	4			400	1
82	103007	5		62103007		500	1
83	103007	6	5			400	1
84	103007	7	6			400	1
85	103019	1	1	61103019		0	1
86	103019	2	2			400	1
87	103019	3	3			400	1
88	103019	4	4			400	1
89	103019	5		62103019		500	1
90	103019	6	5			400	1
91	103019	7	6			400	1
92	103021	1	1	61103021		0	1
93	103021	2	2			400	1
94	103021	3	3			400	1
95	103021	4	4			400	1
96	103021	5		62103021		500	1
97	103021	6	5			400	1
98	103021	7	6			400	1
99	104003	1	1	61104003		0	1
100	104003	2	2			400	1
101	104003	3	3			400	1
102	104003	4	4			400	1
103	104003	5		62104003		500	1
104	104003	6	5			400	1
105	104003	7	6			400	1
106	104005	1	1	61104005		0	1
107	104005	2	2			400	1
108	104005	3	3			400	1
109	104005	4	4			400	1
110	104005	5		62104005		500	1
111	104005	6	5			400	1
112	104005	7	6			400	1
113	104001	1	1	61104001		0	1
114	104001	2	2			400	1
115	104001	3	3			400	1
116	104001	4	4			400	1
117	104001	5		62104001		500	1
118	104001	6	5			400	1
119	104001	7	6			400	1
120	104008	1	1	61104008		0	1
121	104008	2	2			400	1
122	104008	3	3			400	1
123	104008	4	4			400	1
124	104008	5		62104008		500	1
125	104008	6	5			400	1
126	104008	7	6			400	1
127	105008	1	1	61105008		0	1
128	105008	2	2			400	1
129	105008	3	3			400	1
130	105008	4	4			400	1
131	105008	5		62105008		500	1
132	105008	6	5			400	1
133	105008	7	6			400	1
134	105001	1	1	61105001		0	1
135	105001	2	2			400	1
136	105001	3	3			400	1
137	105001	4	4			400	1
138	105001	5		62105001		500	1
139	105001	6	5			400	1
140	105001	7	6			400	1
141	105002	1	1	61105002		0	1
142	105002	2	2			400	1
143	105002	3	3			400	1
144	105002	4	4			400	1
145	105002	5		62105002		500	1
146	105002	6	5			400	1
147	105002	7	6			400	1
148	105006	1	1	61105006		0	1
149	105006	2	2			400	1
150	105006	3	3			400	1
151	105006	4	4			400	1
152	105006	5		62105006		500	1
153	105006	6	5			400	1
154	105006	7	6			400	1
155	106008	1	1	61106008		0	1
156	106008	2	2			400	1
157	106008	3	3			400	1
158	106008	4	4			400	1
159	106008	5		62106008		500	1
160	106008	6	5			400	1
161	106008	7	6			400	1
162	106001	1	1	61106001		0	1
163	106001	2	2			400	1
164	106001	3	3			400	1
165	106001	4	4			400	1
166	106001	5		62106001		500	1
167	106001	6	5			400	1
168	106001	7	6			400	1
169	106002	1	1	61106002		0	1
170	106002	2	2			400	1
171	106002	3	3			400	1
172	106002	4	4			400	1
173	106002	5		62106002		500	1
174	106002	6	5			400	1
175	106002	7	6			400	1
176	106010	1	1	61106010		0	1
177	106010	2	2			400	1
178	106010	3	3			400	1
179	106010	4	4			400	1
180	106010	5		62106010		500	1
181	106010	6	5			400	1
182	106010	7	6			400	1
183	107008	1	1	61107008		0	1
184	107008	2	2			400	1
185	107008	3	3			400	1
186	107008	4	4			400	1
187	107008	5		62107008		500	1
188	107008	6	5			400	1
189	107008	7	6			400	1
190	107001	1	1	61107001		0	1
191	107001	2	2			400	1
192	107001	3	3			400	1
193	107001	4	4			400	1
194	107001	5		62107001		500	1
195	107001	6	5			400	1
196	107001	7	6			400	1
197	107005	1	1	61107005		0	1
198	107005	2	2			400	1
199	107005	3	3			400	1
200	107005	4	4			400	1
201	107005	5		62107005		500	1
202	107005	6	5			400	1
203	107005	7	6			400	1
204	108008	1	1	61108008		0	1
205	108008	2	2			400	1
206	108008	3	3			400	1
207	108008	4	4			400	1
208	108008	5		62108008		500	1
209	108008	6	5			400	1
210	108008	7	6			400	1
211	108001	1	1	61108001		0	1
212	108001	2	2			400	1
213	108001	3	3			400	1
214	108001	4	4			400	1
215	108001	5		62108001		500	1
216	108001	6	5			400	1
217	108001	7	6			400	1
218	108006	1	1	61108006		0	1
219	108006	2	2			400	1
220	108006	3	3			400	1
221	108006	4	4			400	1
222	108006	5		62108006		500	1
223	108006	6	5			400	1
224	108006	7	6			400	1
225	108004	1	1	61108004		0	1
226	108004	2	2			400	1
227	108004	3	3			400	1
228	108004	4	4			400	1
229	108004	5		62108004		500	1
230	108004	6	5			400	1
231	108004	7	6			400	1
232	109008	1	1	61109008		0	1
233	109008	2	2			400	1
234	109008	3	3			400	1
235	109008	4	4			400	1
236	109008	5		62109008		500	1
237	109008	6	5			400	1
238	109008	7	6			400	1
239	110008	1	1	61110008		0	1
240	110008	2	2			400	1
241	110008	3	3			400	1
242	110008	4	4			400	1
243	110008	5		62110008		500	1
244	110008	6	5			400	1
245	110008	7	6			400	1
246	111008	1	1	61111008		0	1
247	111008	2	2			400	1
248	111008	3	3			400	1
249	111008	4	4			400	1
250	111008	5		62111008		500	1
251	111008	6	5			400	1
252	111008	7	6			400	1
253	111002	1	1	61111002		0	1
254	111002	2	2			400	1
255	111002	3	3			400	1
256	111002	4	4			400	1
257	111002	5		62111002		500	1
258	111002	6	5			400	1
259	111002	7	6			400	1
260	112008	1	1	61112008		0	1
261	112008	2	2			400	1
262	112008	3	3			400	1
263	112008	4	4			400	1
264	112008	5		62112008		500	1
265	112008	6	5			400	1
266	112008	7	6			400	1
267	112002	1	1	61112002		0	1
268	112002	2	2			400	1
269	112002	3	3			400	1
270	112002	4	4			400	1
271	112002	5		62112002		500	1
272	112002	6	5			400	1
273	112002	7	6			400	1
274	113008	1	1	61113008		0	1
275	113008	2	2			400	1
276	113008	3	3			400	1
277	113008	4	4			400	1
278	113008	5		62113008		500	1
279	113008	6	5			400	1
280	113008	7	6			400	1
281	113001	1	1	61113001		0	1
282	113001	2	2			400	1
283	113001	3	3			400	1
284	113001	4	4			400	1
285	113001	5		62113001		500	1
286	113001	6	5			400	1
287	113001	7	6			400	1
288	114008	1	1	61114008		0	1
289	114008	2	2			400	1
290	114008	3	3			400	1
291	114008	4	4			400	1
292	114008	5		62114008		500	1
293	114008	6	5			400	1
294	114008	7	6			400	1
295	114001	1	1	61114001		0	1
296	114001	2	2			400	1
297	114001	3	3			400	1
298	114001	4	4			400	1
299	114001	5		62114001		500	1
300	114001	6	5			400	1
301	114001	7	6			400	1
302	904001	1	1	61904001		0	1
303	904001	2	2			400	1
304	904001	3	3			400	1
305	904001	4	4			400	1
306	904001	5		62904001		500	1
307	904001	6	5			400	1
308	904001	7	6			400	1
309	904002	1	1	61904002		0	1
310	904002	2	2			400	1
311	904002	3	3			400	1
312	904002	4	4			400	1
313	904002	5		62904002		500	1
314	904002	6	5			400	1
315	904002	7	6			400	1
316	904005	1	1	61904005		0	1
317	904005	2	2			400	1
318	904005	3	3			400	1
319	904005	4	4			400	1
320	904005	5		62904005		500	1
321	904005	6	5			400	1
322	904005	7	6			400	1
323	904006	1	1	61904006		0	1
324	904006	2	2			400	1
325	904006	3	3			400	1
326	904006	4	4			400	1
327	904006	5		62904006		500	1
328	904006	6	5			400	1
329	904006	7	6			400	1
330	121008	1	1	61121008		0	1
331	121008	2	2			400	1
332	121008	3	3			400	1
333	121008	4	4			400	1
334	121008	5		62121008		500	1
335	121008	6	5			400	1
336	121008	7	6			400	1
337	904009	1	1	61904009		0	1
338	904009	2	2			400	1
339	904009	3	3			400	1
340	904009	4	4			400	1
