ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10500699001	101@79.8;201@29.6;301@184.7;603@0.017;1203@0.019;1602@0.017;2102@0.017	10500699	1	101@79.8;201@29.6;301@184.7;603@0.017;1203@0.019;1602@0.017;2102@0.017			1	
10500699002	101@96.6;201@29.6;301@184.7;603@0.017;1203@0.019;1602@0.017;2102@0.017	10500699	2	101@16.8	4104041;3000003	20;1200	1	
10500699003	101@96.6;201@35.8;301@184.7;603@0.017;1203@0.019;1602@0.017;2102@0.017	10500699	3	201@6.2	4104041;3000003	20;1280	1	
10500699004	101@96.6;201@35.8;301@223.6;603@0.017;1203@0.019;1602@0.017;2102@0.017	10500699	4	301@38.9	4104041;3000003	20;1360	1	
10500699005	101@96.6;201@35.8;301@223.6;603@0.034;1203@0.019;1602@0.017;2102@0.017	10500699	5	603@0.017	4104041;3000003	20;1440	1	
10500699006	101@113.4;201@35.8;301@223.6;603@0.034;1203@0.019;1602@0.017;2102@0.017	10500699	6	101@16.8	4104041;3000003	20;1520	1	
10500699007	101@113.4;201@42;301@223.6;603@0.034;1203@0.019;1602@0.017;2102@0.017	10500699	7	201@6.2	4104041;3000003	20;1600	1	
10500699008	101@113.4;201@42;301@262.5;603@0.034;1203@0.019;1602@0.017;2102@0.017	10500699	8	301@38.9	4104041;3000003	20;1680	1	
10500699009	101@113.4;201@42;301@262.5;603@0.034;1203@0.038;1602@0.017;2102@0.017	10500699	9	1203@0.019	4104041;3000003	20;1760	1	
10500699010	101@130.2;201@42;301@262.5;603@0.034;1203@0.038;1602@0.017;2102@0.017	10500699	10	101@16.8	4104041;3000003	20;1840	1	
10500699011	101@130.2;201@48.2;301@262.5;603@0.034;1203@0.038;1602@0.017;2102@0.017	10500699	11	201@6.2	4104041;3000003	40;1920	1	
10500699012	101@130.2;201@48.2;301@301.4;603@0.034;1203@0.038;1602@0.017;2102@0.017	10500699	12	301@38.9	4104041;3000003	40;2000	1	
10500699013	101@130.2;201@48.2;301@301.4;603@0.034;1203@0.038;1602@0.034;2102@0.017	10500699	13	1602@0.017	4104041;3000003	40;2080	1	
10500699014	101@147;201@48.2;301@301.4;603@0.034;1203@0.038;1602@0.034;2102@0.017	10500699	14	101@16.8	4104041;3000003	40;2160	1	
10500699015	101@147;201@54.4;301@301.4;603@0.034;1203@0.038;1602@0.034;2102@0.017	10500699	15	201@6.2	4104041;3000003	40;2240	1	
10500699016	101@147;201@54.4;301@340.3;603@0.034;1203@0.038;1602@0.034;2102@0.017	10500699	16	301@38.9	4104041;3000003	40;2320	1	
10500699017	101@147;201@54.4;301@340.3;603@0.034;1203@0.038;1602@0.034;2102@0.034	10500699	17	2102@0.017	4104041;3000003	40;2400	1	
10500699018	101@163.8;201@54.4;301@340.3;603@0.034;1203@0.038;1602@0.034;2102@0.034	10500699	18	101@16.8	4104041;3000003	40;2480	1	
10500699019	101@163.8;201@60.6;301@340.3;603@0.034;1203@0.038;1602@0.034;2102@0.034	10500699	19	201@6.2	4104041;3000003	40;2560	1	
10500699020	101@163.8;201@60.6;301@379.2;603@0.034;1203@0.038;1602@0.034;2102@0.034	10500699	20	301@38.9	4104041;3000003	40;2640	1	
10500699021	101@163.8;201@60.6;301@379.2;603@0.051;1203@0.038;1602@0.034;2102@0.034	10500699	21	603@0.017	4104041;4104042;3000003	55;55;2720	1	
10500699022	101@180.6;201@60.6;301@379.2;603@0.051;1203@0.038;1602@0.034;2102@0.034	10500699	22	101@16.8	4104041;4104042;3000003	55;55;2800	1	
10500699023	101@180.6;201@66.8;301@379.2;603@0.051;1203@0.038;1602@0.034;2102@0.034	10500699	23	201@6.2	4104041;4104042;3000003	55;55;2880	1	
10500699024	101@180.6;201@66.8;301@418.1;603@0.051;1203@0.038;1602@0.034;2102@0.034	10500699	24	301@38.9	4104041;4104042;3000003	55;55;2960	1	
10500699025	101@180.6;201@66.8;301@418.1;603@0.051;1203@0.057;1602@0.034;2102@0.034	10500699	25	1203@0.019	4104041;4104042;3000003	55;55;3040	1	
10500699026	101@197.4;201@66.8;301@418.1;603@0.051;1203@0.057;1602@0.034;2102@0.034	10500699	26	101@16.8	4104041;4104042;3000003	55;55;3120	1	
10500699027	101@197.4;201@73;301@418.1;603@0.051;1203@0.057;1602@0.034;2102@0.034	10500699	27	201@6.2	4104041;4104042;3000003	55;55;3200	1	
10500699028	101@197.4;201@73;301@457;603@0.051;1203@0.057;1602@0.034;2102@0.034	10500699	28	301@38.9	4104041;4104042;3000003	55;55;3280	1	
10500699029	101@197.4;201@73;301@457;603@0.051;1203@0.057;1602@0.051;2102@0.034	10500699	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1	
10500699030	101@214.2;201@73;301@457;603@0.051;1203@0.057;1602@0.051;2102@0.034	10500699	30	101@16.8	4104041;4104042;3000003	55;55;3440	1	
10500699031	101@214.2;201@79.2;301@457;603@0.051;1203@0.057;1602@0.051;2102@0.034	10500699	31	201@6.2	4104041;4104042;3000003	70;70;3520	1	
10500699032	101@214.2;201@79.2;301@495.9;603@0.051;1203@0.057;1602@0.051;2102@0.034	10500699	32	301@38.9	4104041;4104042;3000003	70;70;3600	1	
10500699033	101@214.2;201@79.2;301@495.9;603@0.051;1203@0.057;1602@0.051;2102@0.051	10500699	33	2102@0.017	4104041;4104042;3000003	70;70;3680	1	
10500699034	101@231;201@79.2;301@495.9;603@0.051;1203@0.057;1602@0.051;2102@0.051	10500699	34	101@16.8	4104041;4104042;3000003	70;70;3760	1	
10500699035	101@231;201@85.4;301@495.9;603@0.051;1203@0.057;1602@0.051;2102@0.051	10500699	35	201@6.2	4104041;4104042;3000003	70;70;3840	1	
10500699036	101@231;201@85.4;301@534.8;603@0.051;1203@0.057;1602@0.051;2102@0.051	10500699	36	301@38.9	4104041;4104042;3000003	70;70;3920	1	
10500699037	101@231;201@85.4;301@534.8;603@0.068;1203@0.057;1602@0.051;2102@0.051	10500699	37	603@0.017	4104041;4104042;3000003	70;70;4000	1	
10500699038	101@247.8;201@85.4;301@534.8;603@0.068;1203@0.057;1602@0.051;2102@0.051	10500699	38	101@16.8	4104041;4104042;3000003	70;70;4080	1	
10500699039	101@247.8;201@91.6;301@534.8;603@0.068;1203@0.057;1602@0.051;2102@0.051	10500699	39	201@6.2	4104041;4104042;3000003	70;70;4160	1	
10500699040	101@247.8;201@91.6;301@573.7;603@0.068;1203@0.057;1602@0.051;2102@0.051	10500699	40	301@38.9	4104041;4104042;3000003	70;70;4240	1	
10500699041	101@247.8;201@91.6;301@573.7;603@0.068;1203@0.076;1602@0.051;2102@0.051	10500699	41	1203@0.019	4104041;4104042;4104043;3000003	70;70;70;4320	1	
10500699042	101@264.6;201@91.6;301@573.7;603@0.068;1203@0.076;1602@0.051;2102@0.051	10500699	42	101@16.8	4104041;4104042;4104043;3000003	70;70;70;4400	1	
10500699043	101@264.6;201@97.8;301@573.7;603@0.068;1203@0.076;1602@0.051;2102@0.051	10500699	43	201@6.2	4104041;4104042;4104043;3000003	70;70;70;4480	1	
10500699044	101@264.6;201@97.8;301@612.6;603@0.068;1203@0.076;1602@0.051;2102@0.051	10500699	44	301@38.9	4104041;4104042;4104043;3000003	70;70;70;4560	1	
10500699045	101@264.6;201@97.8;301@612.6;603@0.068;1203@0.076;1602@0.068;2102@0.051	10500699	45	1602@0.017	4104041;4104042;4104043;3000003	70;70;70;4640	1	
10500699046	101@281.4;201@97.8;301@612.6;603@0.068;1203@0.076;1602@0.068;2102@0.051	10500699	46	101@16.8	4104041;4104042;4104043;3000003	70;70;70;4720	1	
10500699047	101@281.4;201@104;301@612.6;603@0.068;1203@0.076;1602@0.068;2102@0.051	10500699	47	201@6.2	4104041;4104042;4104043;3000003	70;70;70;4800	1	
10500699048	101@281.4;201@104;301@651.5;603@0.068;1203@0.076;1602@0.068;2102@0.051	10500699	48	301@38.9	4104041;4104042;4104043;3000003	70;70;70;4880	1	
