ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
14100850001	101@89;201@51;301@349;903@0.033;1303@0.037;1602@0.017;2102@0.017	14100850	1	101@89;201@51;301@349;903@0.033;1303@0.037;1602@0.017;2102@0.017			1	
14100850002	101@107.7;201@51;301@349;903@0.033;1303@0.037;1602@0.017;2102@0.017	14100850	2	101@18.7	4104041;3000003	20;1200	1	
14100850003	101@107.7;201@61.7;301@349;903@0.033;1303@0.037;1602@0.017;2102@0.017	14100850	3	201@10.7	4104041;3000003	20;1280	1	
14100850004	101@107.7;201@61.7;301@422.5;903@0.033;1303@0.037;1602@0.017;2102@0.017	14100850	4	301@73.5	4104041;3000003	20;1360	1	
14100850005	101@107.7;201@61.7;301@422.5;903@0.066;1303@0.037;1602@0.017;2102@0.017	14100850	5	903@0.033	4104041;3000003	20;1440	1	
14100850006	101@126.4;201@61.7;301@422.5;903@0.066;1303@0.037;1602@0.017;2102@0.017	14100850	6	101@18.7	4104041;3000003	20;1520	1	
14100850007	101@126.4;201@72.4;301@422.5;903@0.066;1303@0.037;1602@0.017;2102@0.017	14100850	7	201@10.7	4104041;3000003	20;1600	1	
14100850008	101@126.4;201@72.4;301@496;903@0.066;1303@0.037;1602@0.017;2102@0.017	14100850	8	301@73.5	4104041;3000003	20;1680	1	
14100850009	101@126.4;201@72.4;301@496;903@0.066;1303@0.074;1602@0.017;2102@0.017	14100850	9	1303@0.037	4104041;3000003	20;1760	1	
14100850010	101@145.1;201@72.4;301@496;903@0.066;1303@0.074;1602@0.017;2102@0.017	14100850	10	101@18.7	4104041;3000003	20;1840	1	
14100850011	101@145.1;201@83.1;301@496;903@0.066;1303@0.074;1602@0.017;2102@0.017	14100850	11	201@10.7	4104041;3000003	40;1920	1	
14100850012	101@145.1;201@83.1;301@569.5;903@0.066;1303@0.074;1602@0.017;2102@0.017	14100850	12	301@73.5	4104041;3000003	40;2000	1	
14100850013	101@145.1;201@83.1;301@569.5;903@0.066;1303@0.074;1602@0.034;2102@0.017	14100850	13	1602@0.017	4104041;3000003	40;2080	1	
14100850014	101@163.8;201@83.1;301@569.5;903@0.066;1303@0.074;1602@0.034;2102@0.017	14100850	14	101@18.7	4104041;3000003	40;2160	1	
14100850015	101@163.8;201@93.8;301@569.5;903@0.066;1303@0.074;1602@0.034;2102@0.017	14100850	15	201@10.7	4104041;3000003	40;2240	1	
14100850016	101@163.8;201@93.8;301@643;903@0.066;1303@0.074;1602@0.034;2102@0.017	14100850	16	301@73.5	4104041;3000003	40;2320	1	
14100850017	101@163.8;201@93.8;301@643;903@0.066;1303@0.074;1602@0.034;2102@0.034	14100850	17	2102@0.017	4104041;3000003	40;2400	1	
14100850018	101@182.5;201@93.8;301@643;903@0.066;1303@0.074;1602@0.034;2102@0.034	14100850	18	101@18.7	4104041;3000003	40;2480	1	
