ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
17100899001	101@159;201@35;301@215;603@0.025;1203@0.012;1602@0.017;2102@0.017	17100899	1	101@159;201@35;301@215;603@0.025;1203@0.012;1602@0.017;2102@0.017			1	
17100899002	101@192.5;201@35;301@215;603@0.025;1203@0.012;1602@0.017;2102@0.017	17100899	2	101@33.5	4104041;3000003	20;1200	1	
17100899003	101@192.5;201@42.4;301@215;603@0.025;1203@0.012;1602@0.017;2102@0.017	17100899	3	201@7.4	4104041;3000003	20;1280	1	
17100899004	101@192.5;201@42.4;301@260.3;603@0.025;1203@0.012;1602@0.017;2102@0.017	17100899	4	301@45.3	4104041;3000003	20;1360	1	
17100899005	101@192.5;201@42.4;301@260.3;603@0.05;1203@0.012;1602@0.017;2102@0.017	17100899	5	603@0.025	4104041;3000003	20;1440	1	
17100899006	101@226;201@42.4;301@260.3;603@0.05;1203@0.012;1602@0.017;2102@0.017	17100899	6	101@33.5	4104041;3000003	20;1520	1	
17100899007	101@226;201@49.8;301@260.3;603@0.05;1203@0.012;1602@0.017;2102@0.017	17100899	7	201@7.4	4104041;3000003	20;1600	1	
17100899008	101@226;201@49.8;301@305.6;603@0.05;1203@0.012;1602@0.017;2102@0.017	17100899	8	301@45.3	4104041;3000003	20;1680	1	
17100899009	101@226;201@49.8;301@305.6;603@0.05;1203@0.024;1602@0.017;2102@0.017	17100899	9	1203@0.012	4104041;3000003	20;1760	1	
17100899010	101@259.5;201@49.8;301@305.6;603@0.05;1203@0.024;1602@0.017;2102@0.017	17100899	10	101@33.5	4104041;3000003	20;1840	1	
17100899011	101@259.5;201@57.2;301@305.6;603@0.05;1203@0.024;1602@0.017;2102@0.017	17100899	11	201@7.4	4104041;3000003	40;1920	1	
17100899012	101@259.5;201@57.2;301@350.9;603@0.05;1203@0.024;1602@0.017;2102@0.017	17100899	12	301@45.3	4104041;3000003	40;2000	1	
