skinId	roleId	catPrefab	isMonster	isHarmonious	inHandBook	skinMaxLevel	tag	version	jump	property	mode	lobbyMode	enterTimeline	enterSound	skinScene	scenePosition	sceneRotation	color	intensity	lightDirection	unlockType	effectMode	dialogueTag	goodOpinionTag	effectTag	battleBossHead	cardHeadList	cardDrawing	cardDrawing_hexie	bigCardDrawing	bigCardDrawing_hexie	hdCardDrawing	hdCardDrawing_hexie	buffHead	Background	fxBattleEnter	endTimeline	endCtrl	endTimeline50	uiCover	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	spSkillName	spSkillName_zh_TW	spSkillName_en_UK	spSkillName_ja_JP	spSkillName_ko_KR	spSkillName_th_TH	desc2	desc2_zh_TW	desc2_en_UK	desc2_ja_JP	desc2_ko_KR	desc2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10100201	101002	101002_lobby_cat	0	0	1	60	1				101002	101002_lobby	0	0							0						13:card_icon_101002_2	40:card_icon_101002_3	40:card_icon_101002_3	90:card_img_101002_l	90:card_img_101002_l	90:card_img_101002_l	90:card_img_101002_l	18:card_icon_101002_1	28:card_101002		settlement_10102_01	0			1	深蓝执法者	深藍執法者	Deep Blue Enforcer	群青のエンフォーサー	검푸른 법무관	ผู้พิทักษ์ท้องทะเล	非天	非天	Asura	アスラ	아수라	อาสึระ	深蓝审判	深藍審判	Deep Blue Judgment	群青の審判	검푸른 심판	การพิพากษาสีฟ้าเข้ม						
10100299	101002	101002_lobby_cat	0	0	1	60	2				10100299	10100299_lobby	0	0							2						13:card_icon_10100299_2	40:card_icon_101002_3	40:card_icon_101002_3	90:card_img_101002_l	90:card_img_101002_l	90:card_img_10100299_l	90:card_img_10100299_l	18:card_icon_10100299_1	28:card_101002		settlement_10102_01	0			1	深蓝执法者·炫彩	深藍執法者·炫彩	Deep Blue Enforcer (Chroma)	群青のエンフォーサー -異色-	검푸른 법무관·베리에이션	โครม่า	非天	非天	Asura	アスラ	아수라	อาสึระ	深蓝审判	深藍審判	Deep Blue Judgment	群青の審判	검푸른 심판	การพิพากษาสีฟ้าเข้ม						
10100202	101002	101002_lobby_cat	0	0	1	60	3				10100202	10100202_lobby	0	0							1						13:card_icon_10100202_2	40:card_icon_10100202_3	40:card_icon_10100202_3	90:card_img_10100202_l	90:card_img_10100202_l	90:card_img_10100202_l	90:card_img_10100202_l	18:card_icon_10100202_1	28:card_101002		settlement_10102_01	0			1	深蓝执法者·熔金	深藍執法者·熔金	Deep Blue Enforcer (Cyber Forge)	群青のエンフォーサー -熔金-	검푸른 법무관·연금 폭풍	หลอมทอง	非天	非天	Asura	アスラ	아수라	อาสึระ	深蓝审判	深藍審判	Deep Blue Judgment	群青の審判	검푸른 심판	การพิพากษาสีฟ้าเข้ม						
10100501	101005	101005_lobby_cat	0	0	1	60	1				101005	101005_lobby	101005_enter_lobby	role_enter_101005							0						13:card_icon_101005_2	40:card_icon_101005_3	40:card_icon_101005_3	90:card_img_101005_l	90:card_img_101005_l	90:card_img_101005_l	90:card_img_101005_l	18:card_icon_101005_1	28:card_101005		settlement_10102_01	0			1	涂鸦战争	塗鴉戰爭	Scribble Scramble	グラフィティ戦争	그래피티	สงครามกราฟฟิตี	非天	非天	Asura	アスラ	아수라	อาสึระ	制胜一击	制勝一擊	Winning Blow	とどめの一撃	승리의 일격	ฟาดฟันชี้ชะตา						
10100599	101005	101005_lobby_cat	0	0	1	60	2			101:13;903:0.08	10100599	10100599_lobby	101005_enter_lobby	role_enter_101005							2						13:card_icon_10100599_2	40:card_icon_101005_3	40:card_icon_101005_3	90:card_img_101005_l	90:card_img_101005_l	90:card_img_10100599_l	90:card_img_10100599_l	18:card_icon_10100599_1	28:card_101005		settlement_10102_01	0			1	涂鸦战争·炫彩	塗鴉戰爭·炫彩	Scribble Scramble (Chroma)	グラフィティ戦争 -異色-	그래피티·베리에이션	โครม่า	非天	非天	Asura	アスラ	아수라	อาสึระ	制胜一击	制勝一擊	Winning Blow	とどめの一撃	승리의 일격	ฟาดฟันชี้ชะตา						
10100801	101008	101008_lobby_cat	0	0	1	60	1				101008	101008_lobby	101008_enter_lobby	role_enter_101008							0						13:card_icon_101008_2	40:card_icon_101008_3	40:card_icon_101008_3	90:card_img_101008_l	90:card_img_101008_l	90:card_img_101008_l	90:card_img_101008_l	18:card_icon_101008_1	28:card_101008		settlement_10102_01	0			1	自由轮滑	自由輪滑	Freestyle Skater	フリースケーティング	프리 스케이팅	โรลเลอร์เบลด	非天	非天	Asura	アスラ	아수라	อาสึระ	滑空一闪	滑空一閃	Swift Blade Glide	一閃	활공하는 빛	สายลมทะลวง						
10100899	101008	101008_lobby_cat	0	0	1	60	2			101:16;703:0.08;803:0.036	10100899	10100899_lobby	101008_enter_lobby	role_enter_101008							2						13:card_icon_10100899_2	40:card_icon_101008_3	40:card_icon_101008_3	90:card_img_101008_l	90:card_img_101008_l	90:card_img_10100899_l	90:card_img_10100899_l	18:card_icon_10100899_1	28:card_101008		settlement_10102_01	0			1	自由轮滑·炫彩	自由輪滑·炫彩	Freestyle Skater (Chroma)	フリースケーティング -異色-	프리 스케이팅·베리에이션	โครม่า	非天	非天	Asura	アスラ	아수라	อาสึระ	滑空一闪	滑空一閃	Swift Blade Glide	一閃	활공하는 빛	สายลมทะลวง						
10101101	101011	101011_lobby_cat	0	0	1	60	1				101011	101011_lobby	101011_enter_lobby	role_enter_101011							0						13:card_icon_101011_2	40:card_icon_101011_3	40:card_icon_101011_3	90:card_img_101011_l	90:card_img_101011_l	90:card_img_101011_l	90:card_img_101011_l	18:card_icon_101011_1	28:card_101011		settlement_10102_01	0			1	棒球龙魂	棒球龍魂	Blaze Battler	ドラゴンストライク	드래곤 베이스볼	ดราก้อนสไตรค์	非天	非天	Asura	アスラ	아수라	อาสึระ	绯红龙魂	緋紅龍魂	Inferno Dragon Soul	赤き龍魂	크림슨 드래곤 소울	จิตมังกรเพลิง						
10101199	101011	101011_lobby_cat	0	0	1	60	2			101:15;903:0.06;1203:0.048	10101199	10101199_lobby	101011_enter_lobby	role_enter_101011							2						13:card_icon_10101199_2	40:card_icon_101011_3	40:card_icon_101011_3	90:card_img_101011_l	90:card_img_101011_l	90:card_img_10101199_l	90:card_img_10101199_l	18:card_icon_10101199_1	28:card_101011		settlement_10102_01	0			1	棒球龙魂·炫彩	棒球龍魂·炫彩	Blaze Battler (Chroma)	ドラゴンストライク -異色-	드래곤 베이스볼·베리에이션	โครม่า	非天	非天	Asura	アスラ	아수라	อาสึระ	绯红龙魂	緋紅龍魂	Inferno Dragon Soul	赤き龍魂	크림슨 드래곤 소울	จิตมังกรเพลิง						
