ID	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status
int	int	int	int	int	int	int
10100801001	10100801	1	101@33;201@12.8;301@77.8;703@0.033;401@0.01;1602@0.011;2102@0.011			1
10100801002	10100801	2	101@12.4	4104041;3000003	15;900	1
10100801003	10100801	3	201@4.8	4104041;3000003	15;960	1
10100801004	10100801	4	301@29.2	4104041;3000003	15;1020	1
10100801005	10100801	5	703@0.033	4104041;3000003	15;1080	1
10100801006	10100801	6	101@12.4	4104041;3000003	15;1140	1
10100801007	10100801	7	201@4.8	4104041;3000003	15;1200	1
10100801008	10100801	8	301@29.2	4104041;3000003	15;1260	1
10100801009	10100801	9	401@0.01	4104041;3000003	15;1320	1
10100801010	10100801	10	101@12.4	4104041;3000003	15;1380	1
10100801011	10100801	11	201@4.8	4104041;3000003	30;1440	1
10100801012	10100801	12	301@29.2	4104041;3000003	30;1500	1
10100801013	10100801	13	1602@0.011	4104041;3000003	30;1560	1
10100801014	10100801	14	101@12.4	4104041;3000003	30;1620	1
10100801015	10100801	15	201@4.8	4104041;3000003	30;1680	1
10100801016	10100801	16	301@29.2	4104041;3000003	30;1740	1
10100801017	10100801	17	2102@0.011	4104041;3000003	30;1800	1
10100801018	10100801	18	101@12.4	4104041;3000003	30;1860	1
10100801019	10100801	19	201@4.8	4104041;3000003	30;1920	1
10100801020	10100801	20	301@29.2	4104041;3000003	30;1980	1
10100801021	10100801	21	703@0.033	4104041;4104042;3000003	40;40;2040	1
10100801022	10100801	22	101@12.4	4104041;4104042;3000003	40;40;2100	1
10100801023	10100801	23	201@4.8	4104041;4104042;3000003	40;40;2160	1
10100801024	10100801	24	301@29.2	4104041;4104042;3000003	40;40;2220	1
10100801025	10100801	25	401@0.01	4104041;4104042;3000003	40;40;2280	1
10100801026	10100801	26	101@12.4	4104041;4104042;3000003	40;40;2340	1
10100801027	10100801	27	201@4.8	4104041;4104042;3000003	40;40;2400	1
10100801028	10100801	28	301@29.2	4104041;4104042;3000003	40;40;2460	1
10100801029	10100801	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1
10100801030	10100801	30	101@12.4	4104041;4104042;3000003	40;40;2580	1
10100801031	10100801	31	201@4.8	4104041;4104042;3000003	50;50;2640	1
10100801032	10100801	32	301@29.2	4104041;4104042;3000003	50;50;2700	1
10100801033	10100801	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1
10100801034	10100801	34	101@12.4	4104041;4104042;3000003	50;50;2820	1
10100801035	10100801	35	201@4.8	4104041;4104042;3000003	50;50;2880	1
10100801036	10100801	36	301@29.2	4104041;4104042;3000003	50;50;2940	1
10100801037	10100801	37	703@0.033	4104041;4104042;3000003	50;50;3000	1
10100801038	10100801	38	101@12.4	4104041;4104042;3000003	50;50;3060	1
10100801039	10100801	39	201@4.8	4104041;4104042;3000003	50;50;3120	1
10100801040	10100801	40	301@29.2	4104041;4104042;3000003	50;50;3180	1
10100801041	10100801	41	401@0.01	4104041;4104042;3000003	50;50;50;3240	1
10100801042	10100801	42	101@12.4	4104041;4104042;4104043;3000003	50;50;50;3300	1
10100801043	10100801	43	201@4.8	4104041;4104042;4104043;3000003	50;50;50;3360	1
10100801044	10100801	44	301@29.2	4104041;4104042;4104043;3000003	50;50;50;3420	1
10100801045	10100801	45	1602@0.011	4104041;4104042;4104043;3000003	50;50;50;3480	1
10100801046	10100801	46	101@12.4	4104041;4104042;4104043;3000003	50;50;50;3540	1
10100801047	10100801	47	201@4.8	4104041;4104042;4104043;3000003	50;50;50;3600	1
10100801048	10100801	48	301@29.2	4104041;4104042;4104043;3000003	50;50;50;3660	1
10100801049	10100801	49	2102@0.011	4104041;4104042;4104043;3000003	50;50;50;3720	1
10100801050	10100801	50	101@12.4	4104041;4104042;4104043;3000003	50;50;50;3780	1
10100801051	10100801	51	201@4.8	4104041;4104042;4104043;3000003	70;70;70;3840	1
10100801052	10100801	52	301@29.2	4104041;4104042;4104043;3000003	70;70;70;3900	1
10100801053	10100801	53	703@0.033	4104041;4104042;4104043;3000003	70;70;70;3960	1
10100801054	10100801	54	101@12.4	4104041;4104042;4104043;3000003	70;70;70;4020	1
10100801055	10100801	55	201@4.8	4104041;4104042;4104043;3000003	70;70;70;4080	1
10100801056	10100801	56	301@29.2	4104041;4104042;4104043;3000003	70;70;70;4140	1
10100801057	10100801	57	401@0.01	4104041;4104042;4104043;3000003	70;70;70;4200	1
