roleId	ids	status
int	string	int
101008	10100810,10100811,10100812,10100813,10100814,10100815,10100816	1
101011	10101110,10101111,10101112,10101113,10101114,10101115,10101116	1
101005	10100510,10100511,10100512,10100513,10100514,10100515,10100516	1
101013	10101310,10101311,10101312,10101313,10101314,10101315,10101316	1
102008	10200810,10200811,10200812,10200813,10200814,10200815,10200816	1
102007	10200710,10200711,10200712,10200713,10200714,10200715,10200716	1
102011	10201110,10201111,10201112,10201113,10201114,10201115,10201116	1
102001	10200110,10200111,10200112,10200113,10200114,10200115,10200116	1
102021	10202110,10202111,10202112,10202113,10202114,10202115,10202116	1
103008	10300810,10300811,10300812,10300813,10300814,10300815,10300816	1
103002	10300210,10300211,10300212,10300213,10300214,10300215,10300216	1
103007	10300710,10300711,10300712,10300713,10300714,10300715,10300716	1
103019	10301910,10301911,10301912,10301913,10301914,10301915,10301916	1
103021	10302110,10302111,10302112,10302113,10302114,10302115,10302116	1
104003	10400310,10400311,10400312,10400313,10400314,10400315,10400316	1
104005	10400510,10400511,10400512,10400513,10400514,10400515,10400516	1
104001	10400110,10400111,10400112,10400113,10400114,10400115,10400116	1
104008	10400810,10400811,10400812,10400813,10400814,10400815,10400816	1
105008	10500810,10500811,10500812,10500813,10500814,10500815,10500816	1
105001	10500110,10500111,10500112,10500113,10500114,10500115,10500116	1
105002	10500210,10500211,10500212,10500213,10500214,10500215,10500216	1
105006	10500610,10500611,10500612,10500613,10500614,10500615,10500616	1
106008	10600810,10600811,10600812,10600813,10600814,10600815,10600816	1
106001	10600110,10600111,10600112,10600113,10600114,10600115,10600116	1
106002	10600210,10600211,10600212,10600213,10600214,10600215,10600216	1
106010	10601010,10601011,10601012,10601013,10601014,10601015,10601016	1
107008	10700810,10700811,10700812,10700813,10700814,10700815,10700816	1
107001	10700110,10700111,10700112,10700113,10700114,10700115,10700116	1
107005	10700510,10700511,10700512,10700513,10700514,10700515,10700516	1
108008	10800810,10800811,10800812,10800813,10800814,10800815,10800816	1
108001	10800110,10800111,10800112,10800113,10800114,10800115,10800116	1
108006	10800610,10800611,10800612,10800613,10800614,10800615,10800616	1
108004	10800410,10800411,10800412,10800413,10800414,10800415,10800416	1
109008	10900810,10900811,10900812,10900813,10900814,10900815,10900816	1
110008	11000810,11000811,11000812,11000813,11000814,11000815,11000816	1
111008	11100810,11100811,11100812,11100813,11100814,11100815,11100816	1
111002	11100210,11100211,11100212,11100213,11100214,11100215,11100216	1
112008	11200810,11200811,11200812,11200813,11200814,11200815,11200816	1
112002	11200210,11200211,11200212,11200213,11200214,11200215,11200216	1
113008	11300810,11300811,11300812,11300813,11300814,11300815,11300816	1
113001	11300110,11300111,11300112,11300113,11300114,11300115,11300116	1
114008	11400810,11400811,11400812,11400813,11400814,11400815,11400816	1
114001	11400110,11400111,11400112,11400113,11400114,11400115,11400116	1
904001	90400110,90400111,90400112,90400113,90400114,90400115,90400116	1
904002	90400210,90400211,90400212,90400213,90400214,90400215,90400216	1
904005	90400510,90400511,90400512,90400513,90400514,90400515,90400516	1
904006	90400610,90400611,90400612,90400613,90400614,90400615,90400616	1
904009	90400910,90400911,90400912,90400913,90400914,90400915,90400916	1
904010	90401010,90401011,90401012,90401013,90401014,90401015,90401016	1
904014	90401410,90401411,90401412,90401413,90401414,90401415,90401416	1
904015	90401510,90401511,90401512,90401513,90401514,90401515,90401516	1
904020	90402010,90402011,90402012,90402013,90402014,90402015,90402016	1
904022	90402210,90402211,90402212,90402213,90402214,90402215,90402216	1
