mainId	roleId	star	upStarType	condition	type	initOpenAbility	SpLevel	SpDescId	PassiveLevel	capabilityValue	property	upstarIteam	upstarIteamNum	superUpStarExp	status	levelLimit	upProperty
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10100810	101008	0	1		2	61101008	5		1	0					1		
10100811	101008	1	1				6	7310100801		90	101:65.2;201:28.1;301:168.5	7101008;3000003	100;20000		1	30000	301:88.14;101:10.23;201:4.395
10100812	101008	2	1						2	90	101:65.2;201:28.1;301:168.5	7101008;3000003	100;40000		1	60000	301:102.83;101:11.935;201:5.1275
10100813	101008	3	1		3	73101008	7	7310100803		130	101:97.8;201:42.1;301:252.7	7101008;3000003	100;60000		1	120000	301:117.52;101:13.64;201:5.86
10100814	101008	4	1						3	130	101:97.8;201:42.1;301:252.7	7101008;3000003	200;80000		1	240000	301:132.21;101:15.345;201:6.5925
10100815	101008	5	1		3	75101008	8	7310100805		180	101:125.4;201:54;301:324	7101008;3000003	200;100000		1	480000	301:146.9;101:17.05;201:7.325
10100816	101008	6	1						4	180	101:188.1;201:81;301:486	7101008;3000003	200;120000		1	960000	301:176.28;101:20.46;201:8.79
10101110	101011	0	1		2	61101011	5		1	0					1		301:176.28;101:20.46;201:8.79
10101111	101011	1	1				6	7310101101		90	101:65.9;201:27.8;301:168.5	7101011;3000003	100;20000		1	30000	301:176.28;101:20.46;201:8.79
10101112	101011	2	1						2	90	101:65.9;201:27.8;301:168.5	7101011;3000003	100;40000		1	60000	301:176.28;101:20.46;201:8.79
10101113	101011	3	1		3	73101011	7	7310101103		130	101:98.8;201:41.7;301:252.7	7101011;3000003	100;60000		1	120000	301:176.28;101:20.46;201:8.79
10101114	101011	4	1						3	130	101:98.8;201:41.7;301:252.7	7101011;3000003	200;80000		1	240000	301:176.28;101:20.46;201:8.79
10101115	101011	5	1		3	75101011	8	7310101105		180	101:126.7;201:53.5;301:324	7101011;3000003	200;100000		1	480000	301:176.28;101:20.46;201:8.79
10101116	101011	6	1						4	180	101:190.1;201:80.2;301:486	7101011;3000003	200;120000		1	960000	
10100510	101005	0	1		2	61101005	1		1	0					1		301:77.82;101:13.47;201:4.485
10100511	101005	1	1				2	7310100501		60	101:47.4;201:19.4;301:115.1	7101005;3000003	100;10000		1	40000	301:103.76;101:17.96;201:5.98
10100512	101005	2	1						2	60	101:47.4;201:19.4;301:115.1	7101005;3000003	100;20000		1	80000	301:129.7;101:22.45;201:7.475
10100513	101005	3	1		3	73101005	3	7310100503		80	101:47.4;201:19.4;301:115.1	7101005;3000003	100;30000		1	160000	301:155.64;101:26.94;201:8.97
10100514	101005	4	1						3	80	101:53.8;201:22;301:130.6	7101005;3000003	200;40000		1	320000	301:181.58;101:31.43;201:10.465
10100515	101005	5	1		3	75101005	4	7310100505		100	101:53.8;201:22;301:130.6	7101005;3000003	200;50000		1	640000	301:207.52;101:35.92;201:11.96
10100516	101005	6	1						4	100	101:53.8;201:22;301:130.6	7101005;3000003	200;60000		1	1280000	301:176.28;101:20.46;201:8.79
10101310	101013	0	1		2	61101013	9		1	0					1		301:176.28;101:20.46;201:8.79
10101311	101013	1	1				10	7310101301		120	101:95;201:41.3;301:247.9	7101013;3000003	100;50000		1	40000	301:176.28;101:20.46;201:8.79
10101312	101013	2	1						2	120	101:95;201:41.3;301:247.9	7101013;3000003	100;100000		1	80000	301:176.28;101:20.46;201:8.79
10101313	101013	3	1		3	73101013	11	7310101303		180	101:142.6;201:62;301:371.8	7101013;3000003	100;150000		1	160000	301:176.28;101:20.46;201:8.79
10101314	101013	4	1						3	180	101:142.6;201:62;301:371.8	7101013;3000003	200;200000		1	320000	301:176.28;101:20.46;201:8.79
10101315	101013	5	1		3	75101013	12	7310101305		250	101:190.1;201:82.6;301:495.7	7101013;3000003	200;250000		1	640000	
10101316	101013	6	1						4	250	101:285.1;201:123.9;301:743.6	7101013;3000003	200;300000		1	1280000	301:88.14;101:10.23;201:4.395
10200810	102008	0	1		2	61102008	5		1	0					1		301:102.83;101:11.935;201:5.1275
10200811	102008	1	1				6	7310200801		90	101:65.9;201:28.1;301:166.8	7102008;3000003	100;20000		1	30000	301:117.52;101:13.64;201:5.86
10200812	102008	2	1						2	90	101:65.9;201:28.1;301:166.8	7102008;3000003	100;40000		1	60000	301:132.21;101:15.345;201:6.5925
10200813	102008	3	1		3	73102008	7	7310200803		130	101:98.8;201:42.1;301:250.2	7102008;3000003	100;60000		1	120000	301:146.9;101:17.05;201:7.325
10200814	102008	4	1						3	130	101:98.8;201:42.1;301:250.2	7102008;3000003	200;80000		1	240000	301:176.28;101:20.46;201:8.79
10200815	102008	5	1		3	75102008	8	7310200805		180	101:126.7;201:54;301:320.8	7102008;3000003	200;100000		1	480000	301:176.28;101:20.46;201:8.79
10200816	102008	6	1						4	180	101:190.1;201:81;301:481.1	7102008;3000003	200;120000		1	960000	301:176.28;101:20.46;201:8.79
10200710	102007	0	1		2	61102007	9		1	0					1		301:176.28;101:20.46;201:8.79
