key	ids	status
string	string	int
101008	101008201;101008202;101008203;101008204;101008205;101008206;101008207	1
101011	101011201;101011202;101011203;101011204;101011205;101011206;101011207	1
101005	101005201;101005202;101005203;101005204;101005205;101005206;101005207	1
101013	101013201;101013202;101013203;101013204;101013205;101013206;101013207	1
102008	102008201;102008202;102008203;102008204;102008205;102008206;102008207	1
102007	102007201;102007202;102007203;102007204;102007205;102007206;102007207	1
102011	102011201;102011202;102011203;102011204;102011205;102011206;102011207	1
102001	102001201;102001202;102001203;102001204;102001205;102001206;102001207	1
102021	102021201;102021202;102021203;102021204;102021205;102021206;102021207	1
103008	103008201;103008202;103008203;103008204;103008205;103008206;103008207	1
103002	103002201;103002202;103002203;103002204;103002205;103002206;103002207	1
103007	103007201;103007202;103007203;103007204;103007205;103007206;103007207	1
103019	103019201;103019202;103019203;103019204;103019205;103019206;103019207	1
103021	103021201;103021202;103021203;103021204;103021205;103021206;103021207	1
104003	104003201;104003202;104003203;104003204;104003205;104003206;104003207	1
104005	104005201;104005202;104005203;104005204;104005205;104005206;104005207	1
104001	104001201;104001202;104001203;104001204;104001205;104001206;104001207	1
104008	104008201;104008202;104008203;104008204;104008205;104008206;104008207	1
105008	105008201;105008202;105008203;105008204;105008205;105008206;105008207	1
105001	105001201;105001202;105001203;105001204;105001205;105001206;105001207	1
105002	105002201;105002202;105002203;105002204;105002205;105002206;105002207	1
105006	105006201;105006202;105006203;105006204;105006205;105006206;105006207	1
106008	106008201;106008202;106008203;106008204;106008205;106008206;106008207	1
106001	106001201;106001202;106001203;106001204;106001205;106001206;106001207	1
106002	106002201;106002202;106002203;106002204;106002205;106002206;106002207	1
106010	106010201;106010202;106010203;106010204;106010205;106010206;106010207	1
107008	107008201;107008202;107008203;107008204;107008205;107008206;107008207	1
107001	107001201;107001202;107001203;107001204;107001205;107001206;107001207	1
107005	107005201;107005202;107005203;107005204;107005205;107005206;107005207	1
108008	108008201;108008202;108008203;108008204;108008205;108008206;108008207	1
108001	108001201;108001202;108001203;108001204;108001205;108001206;108001207	1
108006	108006201;108006202;108006203;108006204;108006205;108006206;108006207	1
108004	108004201;108004202;108004203;108004204;108004205;108004206;108004207	1
109008	109008201;109008202;109008203;109008204;109008205;109008206;109008207	1
110008	110008201;110008202;110008203;110008204;110008205;110008206;110008207	1
111008	111008201;111008202;111008203;111008204;111008205;111008206;111008207	1
111002	111002201;111002202;111002203;111002204;111002205;111002206;111002207	1
112008	112008201;112008202;112008203;112008204;112008205;112008206;112008207	1
112002	112002201;112002202;112002203;112002204;112002205;112002206;112002207	1
113008	113008201;113008202;113008203;113008204;113008205;113008206;113008207	1
113001	113001201;113001202;113001203;113001204;113001205;113001206;113001207	1
114008	114008201;114008202;114008203;114008204;114008205;114008206;114008207	1
114001	114001201;114001202;114001203;114001204;114001205;114001206;114001207	1
904001	904001201;904001202;904001203;904001204;904001205;904001206;904001207	1
904002	904002201;904002202;904002203;904002204;904002205;904002206;904002207	1
904005	904005201;904005202;904005203;904005204;904005205;904005206;904005207	1
904006	904006201;904006202;904006203;904006204;904006205;904006206;904006207	1
904009	904009201;904009202;904009203;904009204;904009205;904009206;904009207	1
904010	904010201;904010202;904010203;904010204;904010205;904010206;904010207	1
904014	904014201;904014202;904014203;904014204;904014205;904014206;904014207	1
904015	904015201;904015202;904015203;904015204;904015205;904015206;904015207	1
904020	904020201;904020202;904020203;904020204;904020205;904020206;904020207	1
904022	904022201;904022202;904022203;904022204;904022205;904022206;904022207	1
904025	904025201;904025202;904025203;904025204;904025205;904025206;904025207	1
904026	904026201;904026202;904026203;904026204;904026205;904026206;904026207	1
904031	904031201;904031202;904031203;904031204;904031205;904031206;904031207	1
904033	904033201;904033202;904033203;904033204;904033205;904033206;904033207	1
904034	904034201;904034202;904034203;904034204;904034205;904034206;904034207	1
904041	904041201;904041202;904041203;904041204;904041205;904041206;904041207	1
904043	904043201;904043202;904043203;904043204;904043205;904043206;904043207	1
908002	908002201;908002202;908002203;908002204;908002205;908002206;908002207	1
115008	115008201;115008202;115008203;115008204;115008205;115008206;115008207	1
127008	127008201;127008202;127008203;127008204;127008205;127008206;127008207	1
130008	130008201;130008202;130008203;130008204;130008205;130008206;130008207	1
131008	131008201;131008202;131008203;131008204;131008205;131008206;131008207	1
117008	117008201;117008202;117008203;117008204;117008205;117008206;117008207	1
121008	121008201;121008202;121008203;121008204;121008205;121008206;121008207	1
103006	103006201;103006202;103006203;103006204;103006205;103006206;103006207	1
105004	105004201;105004202;105004203;105004204;105004205;105004206;105004207	1
106009	106009201;106009202;106009203;106009204;106009205;106009206;106009207	1
107010	107010201;107010202;107010203;107010204;107010205;107010206;107010207	1
123008	123008201;123008202;123008203;123008204;123008205;123008206;123008207	1
125008	125008201;125008202;125008203;125008204;125008205;125008206;125008207	1
137008	137008201;137008202;137008203;137008204;137008205;137008206;137008207	1
116001	116001201;116001202;116001203;116001204;116001205;116001206;116001207	1
140008	140008201;140008202;140008203;140008204;140008205;140008206;140008207	1
129001	129001201;129001202;129001203;129001204;129001205;129001206;129001207	1
129008	129008201;129008202;129008203;129008204;129008205;129008206;129008207	1
109002	109002201;109002202;109002203;109002204;109002205;109002206;109002207	1
113002	113002201;113002202;113002203;113002204;113002205;113002206;113002207	1
114002	114002201;114002202;114002203;114002204;114002205;114002206;114002207	1
138001	138001201;138001202;138001203;138001204;138001205;138001206;138001207	1
138008	138008201;138008202;138008203;138008204;138008205;138008206;138008207	1
135008	135008201;135008202;135008203;135008204;135008205;135008206;135008207	1
802008	802008201;802008202;802008203;802008204;802008205;802008206;802008207	1
803008	803008201;803008202;803008203;803008204;803008205;803008206;803008207	1
801008	801008201;801008202;801008203;801008204;801008205;801008206;801008207	1
127001	127001201;127001202;127001203;127001204;127001205;127001206;127001207	1
136008	136008201;136008202;136008203;136008204;136008205;136008206;136008207	1
104016	104016201;104016202;104016203;104016204;104016205;104016206;104016207	1
103009	103009201;103009202;103009203;103009204;103009205;103009206;103009207	1
102012	102012201;102012202;102012203;102012204;102012205;102012206;102012207	1
101018	101018201;101018202;101018203;101018204;101018205;101018206;101018207	1
144001	144001201;144001202;144001203;144001204;144001205;144001206;144001207	1
144008	144008201;144008202;144008203;144008204;144008205;144008206;144008207	1
141008	141008201;141008202;141008203;141008204;141008205;141008206;141008207	1
129002	129002201;129002202;129002203;129002204;129002205;129002206;129002207	1
804008	804008201;804008202;804008203;804008204;804008205;804008206;804008207	1
805008	805008201;805008202;805008203;805008204;805008205;805008206;805008207	1
806008	806008201;806008202;806008203;806008204;806008205;806008206;806008207	1
120008	120008201;120008202;120008203;120008204;120008205;120008206;120008207	1
119008	119008201;119008202;119008203;119008204;119008205;119008206;119008207	1
133008	133008201;133008202;133008203;133008204;133008205;133008206;133008207	1
104007	104007201;104007202;104007203;104007204;104007205;104007206;104007207	1
103003	103003201;103003202;103003203;103003204;103003205;103003206;103003207	1
103017	103017201;103017202;103017203;103017204;103017205;103017206;103017207	1
102018	102018201;102018202;102018203;102018204;102018205;102018206;102018207	1
101012	101012201;101012202;101012203;101012204;101012205;101012206;101012207	1
104009	104009201;104009202;104009203;104009204;104009205;104009206;104009207	1
139008	139008201;139008202;139008203;139008204;139008205;139008206;139008207	1
149008	149008201;149008202;149008203;149008204;149008205;149008206;149008207	1
143008	143008201;143008202;143008203;143008204;143008205;143008206;143008207	1
122008	122008201;122008202;122008203;122008204;122008205;122008206;122008207	1
152008	152008201;152008202;152008203;152008204;152008205;152008206;152008207	1
135001	135001201;135001202;135001203;135001204;135001205;135001206;135001207	1
104013	104013201;104013202;104013203;104013204;104013205;104013206;104013207	1
106011	106011201;106011202;106011203;106011204;106011205;106011206;106011207	1
153008	153008201;153008202;153008203;153008204;153008205;153008206;153008207	1
151008	151008201;151008202;151008203;151008204;151008205;151008206;151008207	1
