groupId_pos	groupId	pos	predecessorId	nextId	cardStar	skillLevel	status
int	int	int	int	int	int	int	int
1_1	1	1		2	3		1
1_2	1	2	1	3	3		1
1_3	1	3	2	4	3		1
1_4	1	4	3	9;17;5	3		1
1_5	1	5	4	6	4		1
1_6	1	6	5	7	4		1
1_7	1	7	6	8	4		1
1_8	1	8	7		4		1
1_9	1	9	4	10	4		1
1_10	1	10	9	11	4		1
1_11	1	11	10	12	4		1
1_12	1	12	11	13	4	1	1
1_13	1	13	12	14	5		1
1_14	1	14	13	15	5		1
1_15	1	15	14	16	5		1
1_16	1	16	15		5	2	1
1_17	1	17	4	18	4		1
1_18	1	18	17	19	4		1
1_19	1	19	18	20	4		1
1_20	1	20	19	25;21	4	1	1
1_21	1	21	20	22	5		1
1_22	1	22	21	23	5		1
1_23	1	23	22	24	5		1
1_24	1	24	23		5		1
1_25	1	25	20	26	5		1
1_26	1	26	25	27	5		1
1_27	1	27	26	28	5		1
1_28	1	28	27		5	2	1
