id	property	status
int	string	int
102021001		1
102021002	102@0.015;202@0.015;302@0.02	1
102021003	102@0.015;202@0.015;302@0.02;603@0.07	1
102021004	102@0.03;202@0.03;302@0.04;603@0.07	1
102021005	102@0.03;202@0.03;302@0.04;603@0.07	1
102021006	102@0.045;202@0.045;302@0.06;603@0.07	1
102021007	102@0.045;202@0.045;302@0.06;603@0.07;1203@0.05	1
102021008	102@0.06;202@0.06;302@0.08;603@0.07;1203@0.05	1
102021009	102@0.075;202@0.075;302@0.1;603@0.07;1203@0.05	1
102021010	102@0.075;202@0.075;302@0.1;603@0.07;1203@0.05	1
102021011	102@0.095;202@0.095;302@0.13;603@0.07;1203@0.05	1
102021012	102@0.095;202@0.095;302@0.13;603@0.14;1203@0.05	1
102021013	102@0.115;202@0.115;302@0.16;603@0.14;1203@0.05	1
102021014	102@0.135;202@0.135;302@0.19;603@0.14;1203@0.05	1
102021015	102@0.135;202@0.135;302@0.19;603@0.14;1203@0.05	1
102021016	102@0.155;202@0.155;302@0.22;603@0.14;1203@0.05	1
102021017	102@0.155;202@0.155;302@0.22;603@0.14;1203@0.1	1
102021018	102@0.175;202@0.175;302@0.25;603@0.14;1203@0.1	1
102021019	102@0.195;202@0.195;302@0.28;603@0.14;1203@0.1	1
102021020	102@0.195;202@0.195;302@0.28;603@0.14;1203@0.1;703@0.1	1
103006001		1
103006002	102@0.015;202@0.015;302@0.02	1
103006003	102@0.015;202@0.015;302@0.02;603@0.07	1
103006004	102@0.03;202@0.03;302@0.04;603@0.07	1
103006005	102@0.03;202@0.03;302@0.04;603@0.07	1
103006006	102@0.045;202@0.045;302@0.06;603@0.07	1
103006007	102@0.045;202@0.045;302@0.06;603@0.07;1203@0.05	1
103006008	102@0.06;202@0.06;302@0.08;603@0.07;1203@0.05	1
103006009	102@0.075;202@0.075;302@0.1;603@0.07;1203@0.05	1
103006010	102@0.075;202@0.075;302@0.1;603@0.07;1203@0.05	1
103006011	102@0.095;202@0.095;302@0.13;603@0.07;1203@0.05	1
103006012	102@0.095;202@0.095;302@0.13;603@0.14;1203@0.05	1
103006013	102@0.115;202@0.115;302@0.16;603@0.14;1203@0.05	1
103006014	102@0.135;202@0.135;302@0.19;603@0.14;1203@0.05	1
103006015	102@0.135;202@0.135;302@0.19;603@0.14;1203@0.05	1
103006016	102@0.155;202@0.155;302@0.22;603@0.14;1203@0.05	1
103006017	102@0.155;202@0.155;302@0.22;603@0.14;1203@0.1	1
103006018	102@0.175;202@0.175;302@0.25;603@0.14;1203@0.1	1
