ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10800699001	101@111;201@40.3;301@265.2;603@0.017;1203@0.019;1602@0.017;2102@0.017	10800699	1	101@111;201@40.3;301@265.2;603@0.017;1203@0.019;1602@0.017;2102@0.017			1	
10800699002	101@134.4;201@40.3;301@265.2;603@0.017;1203@0.019;1602@0.017;2102@0.017	10800699	2	101@23.4	4104041;3000003	20;1200	1	
10800699003	101@134.4;201@48.8;301@265.2;603@0.017;1203@0.019;1602@0.017;2102@0.017	10800699	3	201@8.5	4104041;3000003	20;1280	1	
10800699004	101@134.4;201@48.8;301@321;603@0.017;1203@0.019;1602@0.017;2102@0.017	10800699	4	301@55.8	4104041;3000003	20;1360	1	
10800699005	101@134.4;201@48.8;301@321;603@0.034;1203@0.019;1602@0.017;2102@0.017	10800699	5	603@0.017	4104041;3000003	20;1440	1	
10800699006	101@157.8;201@48.8;301@321;603@0.034;1203@0.019;1602@0.017;2102@0.017	10800699	6	101@23.4	4104041;3000003	20;1520	1	
10800699007	101@157.8;201@57.3;301@321;603@0.034;1203@0.019;1602@0.017;2102@0.017	10800699	7	201@8.5	4104041;3000003	20;1600	1	
10800699008	101@157.8;201@57.3;301@376.8;603@0.034;1203@0.019;1602@0.017;2102@0.017	10800699	8	301@55.8	4104041;3000003	20;1680	1	
10800699009	101@157.8;201@57.3;301@376.8;603@0.034;1203@0.038;1602@0.017;2102@0.017	10800699	9	1203@0.019	4104041;3000003	20;1760	1	
10800699010	101@181.2;201@57.3;301@376.8;603@0.034;1203@0.038;1602@0.017;2102@0.017	10800699	10	101@23.4	4104041;3000003	20;1840	1	
10800699011	101@181.2;201@65.8;301@376.8;603@0.034;1203@0.038;1602@0.017;2102@0.017	10800699	11	201@8.5	4104041;3000003	40;1920	1	
10800699012	101@181.2;201@65.8;301@432.6;603@0.034;1203@0.038;1602@0.017;2102@0.017	10800699	12	301@55.8	4104041;3000003	40;2000	1	
10800699013	101@181.2;201@65.8;301@432.6;603@0.034;1203@0.038;1602@0.034;2102@0.017	10800699	13	1602@0.017	4104041;3000003	40;2080	1	
10800699014	101@204.6;201@65.8;301@432.6;603@0.034;1203@0.038;1602@0.034;2102@0.017	10800699	14	101@23.4	4104041;3000003	40;2160	1	
10800699015	101@204.6;201@74.3;301@432.6;603@0.034;1203@0.038;1602@0.034;2102@0.017	10800699	15	201@8.5	4104041;3000003	40;2240	1	
10800699016	101@204.6;201@74.3;301@488.4;603@0.034;1203@0.038;1602@0.034;2102@0.017	10800699	16	301@55.8	4104041;3000003	40;2320	1	
10800699017	101@204.6;201@74.3;301@488.4;603@0.034;1203@0.038;1602@0.034;2102@0.034	10800699	17	2102@0.017	4104041;3000003	40;2400	1	
10800699018	101@228;201@74.3;301@488.4;603@0.034;1203@0.038;1602@0.034;2102@0.034	10800699	18	101@23.4	4104041;3000003	40;2480	1	
10800699019	101@228;201@82.8;301@488.4;603@0.034;1203@0.038;1602@0.034;2102@0.034	10800699	19	201@8.5	4104041;3000003	40;2560	1	
10800699020	101@228;201@82.8;301@544.2;603@0.034;1203@0.038;1602@0.034;2102@0.034	10800699	20	301@55.8	4104041;3000003	40;2640	1	
10800699021	101@228;201@82.8;301@544.2;603@0.051;1203@0.038;1602@0.034;2102@0.034	10800699	21	603@0.017	4104041;4104042;3000003	55;55;2720	1	
10800699022	101@251.4;201@82.8;301@544.2;603@0.051;1203@0.038;1602@0.034;2102@0.034	10800699	22	101@23.4	4104041;4104042;3000003	55;55;2800	1	
10800699023	101@251.4;201@91.3;301@544.2;603@0.051;1203@0.038;1602@0.034;2102@0.034	10800699	23	201@8.5	4104041;4104042;3000003	55;55;2880	1	
10800699024	101@251.4;201@91.3;301@600;603@0.051;1203@0.038;1602@0.034;2102@0.034	10800699	24	301@55.8	4104041;4104042;3000003	55;55;2960	1	
10800699025	101@251.4;201@91.3;301@600;603@0.051;1203@0.057;1602@0.034;2102@0.034	10800699	25	1203@0.019	4104041;4104042;3000003	55;55;3040	1	
10800699026	101@274.8;201@91.3;301@600;603@0.051;1203@0.057;1602@0.034;2102@0.034	10800699	26	101@23.4	4104041;4104042;3000003	55;55;3120	1	
10800699027	101@274.8;201@99.8;301@600;603@0.051;1203@0.057;1602@0.034;2102@0.034	10800699	27	201@8.5	4104041;4104042;3000003	55;55;3200	1	
10800699028	101@274.8;201@99.8;301@655.8;603@0.051;1203@0.057;1602@0.034;2102@0.034	10800699	28	301@55.8	4104041;4104042;3000003	55;55;3280	1	
10800699029	101@274.8;201@99.8;301@655.8;603@0.051;1203@0.057;1602@0.051;2102@0.034	10800699	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1	
10800699030	101@298.2;201@99.8;301@655.8;603@0.051;1203@0.057;1602@0.051;2102@0.034	10800699	30	101@23.4	4104041;4104042;3000003	55;55;3440	1	
10800699031	101@298.2;201@108.3;301@655.8;603@0.051;1203@0.057;1602@0.051;2102@0.034	10800699	31	201@8.5	4104041;4104042;3000003	70;70;3520	1	
