ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10300601001	101@45.8;201@17.3;301@103.7;703@0.022;401@0.01;1602@0.011;2102@0.011	10300601	1	101@45.8;201@17.3;301@103.7;703@0.022;401@0.01;1602@0.011;2102@0.011			1	
10300601002	101@63;201@17.3;301@103.7;703@0.022;401@0.01;1602@0.011;2102@0.011	10300601	2	101@17.2	4104041;3000003	15;900	1	
10300601003	101@63;201@23.8;301@103.7;703@0.022;401@0.01;1602@0.011;2102@0.011	10300601	3	201@6.5	4104041;3000003	15;960	1	
10300601004	101@63;201@23.8;301@142.6;703@0.022;401@0.01;1602@0.011;2102@0.011	10300601	4	301@38.9	4104041;3000003	15;1020	1	
10300601005	101@63;201@23.8;301@142.6;703@0.044;401@0.01;1602@0.011;2102@0.011	10300601	5	703@0.022	4104041;3000003	15;1080	1	
10300601006	101@80.2;201@23.8;301@142.6;703@0.044;401@0.01;1602@0.011;2102@0.011	10300601	6	101@17.2	4104041;3000003	15;1140	1	
10300601007	101@80.2;201@30.3;301@142.6;703@0.044;401@0.01;1602@0.011;2102@0.011	10300601	7	201@6.5	4104041;3000003	15;1200	1	
10300601008	101@80.2;201@30.3;301@181.5;703@0.044;401@0.01;1602@0.011;2102@0.011	10300601	8	301@38.9	4104041;3000003	15;1260	1	
10300601009	101@80.2;201@30.3;301@181.5;703@0.044;401@0.02;1602@0.011;2102@0.011	10300601	9	401@0.01	4104041;3000003	15;1320	1	
10300601010	101@97.4;201@30.3;301@181.5;703@0.044;401@0.02;1602@0.011;2102@0.011	10300601	10	101@17.2	4104041;3000003	15;1380	1	
10300601011	101@97.4;201@36.8;301@181.5;703@0.044;401@0.02;1602@0.011;2102@0.011	10300601	11	201@6.5	4104041;3000003	30;1440	1	
10300601012	101@97.4;201@36.8;301@220.4;703@0.044;401@0.02;1602@0.011;2102@0.011	10300601	12	301@38.9	4104041;3000003	30;1500	1	
10300601013	101@97.4;201@36.8;301@220.4;703@0.044;401@0.02;1602@0.022;2102@0.011	10300601	13	1602@0.011	4104041;3000003	30;1560	1	
10300601014	101@114.6;201@36.8;301@220.4;703@0.044;401@0.02;1602@0.022;2102@0.011	10300601	14	101@17.2	4104041;3000003	30;1620	1	
10300601015	101@114.6;201@43.3;301@220.4;703@0.044;401@0.02;1602@0.022;2102@0.011	10300601	15	201@6.5	4104041;3000003	30;1680	1	
10300601016	101@114.6;201@43.3;301@259.3;703@0.044;401@0.02;1602@0.022;2102@0.011	10300601	16	301@38.9	4104041;3000003	30;1740	1	
10300601017	101@114.6;201@43.3;301@259.3;703@0.044;401@0.02;1602@0.022;2102@0.022	10300601	17	2102@0.011	4104041;3000003	30;1800	1	
10300601018	101@131.8;201@43.3;301@259.3;703@0.044;401@0.02;1602@0.022;2102@0.022	10300601	18	101@17.2	4104041;3000003	30;1860	1	
10300601019	101@131.8;201@49.8;301@259.3;703@0.044;401@0.02;1602@0.022;2102@0.022	10300601	19	201@6.5	4104041;3000003	30;1920	1	
10300601020	101@131.8;201@49.8;301@298.2;703@0.044;401@0.02;1602@0.022;2102@0.022	10300601	20	301@38.9	4104041;3000003	30;1980	1	
10300601021	101@131.8;201@49.8;301@298.2;703@0.066;401@0.02;1602@0.022;2102@0.022	10300601	21	703@0.022	4104041;4104042;3000003	40;40;2040	1	
10300601022	101@149;201@49.8;301@298.2;703@0.066;401@0.02;1602@0.022;2102@0.022	10300601	22	101@17.2	4104041;4104042;3000003	40;40;2100	1	
10300601023	101@149;201@56.3;301@298.2;703@0.066;401@0.02;1602@0.022;2102@0.022	10300601	23	201@6.5	4104041;4104042;3000003	40;40;2160	1	
10300601024	101@149;201@56.3;301@337.1;703@0.066;401@0.02;1602@0.022;2102@0.022	10300601	24	301@38.9	4104041;4104042;3000003	40;40;2220	1	
10300601025	101@149;201@56.3;301@337.1;703@0.066;401@0.03;1602@0.022;2102@0.022	10300601	25	401@0.01	4104041;4104042;3000003	40;40;2280	1	
10300601026	101@166.2;201@56.3;301@337.1;703@0.066;401@0.03;1602@0.022;2102@0.022	10300601	26	101@17.2	4104041;4104042;3000003	40;40;2340	1	
10300601027	101@166.2;201@62.8;301@337.1;703@0.066;401@0.03;1602@0.022;2102@0.022	10300601	27	201@6.5	4104041;4104042;3000003	40;40;2400	1	
10300601028	101@166.2;201@62.8;301@376;703@0.066;401@0.03;1602@0.022;2102@0.022	10300601	28	301@38.9	4104041;4104042;3000003	40;40;2460	1	
10300601029	101@166.2;201@62.8;301@376;703@0.066;401@0.03;1602@0.033;2102@0.022	10300601	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1	
10300601030	101@183.4;201@62.8;301@376;703@0.066;401@0.03;1602@0.033;2102@0.022	10300601	30	101@17.2	4104041;4104042;3000003	40;40;2580	1	
10300601031	101@183.4;201@69.3;301@376;703@0.066;401@0.03;1602@0.033;2102@0.022	10300601	31	201@6.5	4104041;4104042;3000003	50;50;2640	1	
10300601032	101@183.4;201@69.3;301@414.9;703@0.066;401@0.03;1602@0.033;2102@0.022	10300601	32	301@38.9	4104041;4104042;3000003	50;50;2700	1	
10300601033	101@183.4;201@69.3;301@414.9;703@0.066;401@0.03;1602@0.033;2102@0.033	10300601	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1	
10300601034	101@200.6;201@69.3;301@414.9;703@0.066;401@0.03;1602@0.033;2102@0.033	10300601	34	101@17.2	4104041;4104042;3000003	50;50;2820	1	
10300601035	101@200.6;201@75.8;301@414.9;703@0.066;401@0.03;1602@0.033;2102@0.033	10300601	35	201@6.5	4104041;4104042;3000003	50;50;2880	1	
10300601036	101@200.6;201@75.8;301@453.8;703@0.066;401@0.03;1602@0.033;2102@0.033	10300601	36	301@38.9	4104041;4104042;3000003	50;50;2940	1	
10300601037	101@200.6;201@75.8;301@453.8;703@0.088;401@0.03;1602@0.033;2102@0.033	10300601	37	703@0.022	4104041;4104042;3000003	50;50;3000	1	
10300601038	101@217.8;201@75.8;301@453.8;703@0.088;401@0.03;1602@0.033;2102@0.033	10300601	38	101@17.2	4104041;4104042;3000003	50;50;3060	1	
10300601039	101@217.8;201@82.3;301@453.8;703@0.088;401@0.03;1602@0.033;2102@0.033	10300601	39	201@6.5	4104041;4104042;3000003	50;50;3120	1	
10300601040	101@217.8;201@82.3;301@492.7;703@0.088;401@0.03;1602@0.033;2102@0.033	10300601	40	301@38.9	4104041;4104042;3000003	50;50;3180	1	
10300601041	101@217.8;201@82.3;301@492.7;703@0.088;401@0.04;1602@0.033;2102@0.033	10300601	41	401@0.01	4104041;4104042;3000003	50;50;50;3240	1	
10300601042	101@235;201@82.3;301@492.7;703@0.088;401@0.04;1602@0.033;2102@0.033	10300601	42	101@17.2	4104041;4104042;4104043;3000003	50;50;50;3300	1	
