ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
10201301001	101@33;201@21;301@136;401@0.01;1303@0.025;1602@0.011;2102@0.011	10201301	1	101@33;201@21;301@136;401@0.01;1303@0.025;1602@0.011;2102@0.011			1	
10201301002	101@45.4;201@21;301@136;401@0.01;1303@0.025;1602@0.011;2102@0.011	10201301	2	101@12.4	4104041;3000003	15;900	1	
10201301003	101@45.4;201@28.9;301@136;401@0.01;1303@0.025;1602@0.011;2102@0.011	10201301	3	201@7.9	4104041;3000003	15;960	1	
10201301004	101@45.4;201@28.9;301@187;401@0.01;1303@0.025;1602@0.011;2102@0.011	10201301	4	301@51	4104041;3000003	15;1020	1	
10201301005	101@45.4;201@28.9;301@187;401@0.01;1303@0.05;1602@0.011;2102@0.011	10201301	5	1303@0.025	4104041;3000003	15;1080	1	
10201301006	101@57.8;201@28.9;301@187;401@0.01;1303@0.05;1602@0.011;2102@0.011	10201301	6	101@12.4	4104041;3000003	15;1140	1	
10201301007	101@57.8;201@36.8;301@187;401@0.01;1303@0.05;1602@0.011;2102@0.011	10201301	7	201@7.9	4104041;3000003	15;1200	1	
10201301008	101@57.8;201@36.8;301@238;401@0.01;1303@0.05;1602@0.011;2102@0.011	10201301	8	301@51	4104041;3000003	15;1260	1	
10201301009	101@57.8;201@36.8;301@238;401@0.02;1303@0.05;1602@0.011;2102@0.011	10201301	9	401@0.01	4104041;3000003	15;1320	1	
10201301010	101@70.2;201@36.8;301@238;401@0.02;1303@0.05;1602@0.011;2102@0.011	10201301	10	101@12.4	4104041;3000003	15;1380	1	
10201301011	101@70.2;201@44.7;301@238;401@0.02;1303@0.05;1602@0.011;2102@0.011	10201301	11	201@7.9	4104041;3000003	30;1440	1	
10201301012	101@70.2;201@44.7;301@289;401@0.02;1303@0.05;1602@0.011;2102@0.011	10201301	12	301@51	4104041;3000003	30;1500	1	
10201301013	101@70.2;201@44.7;301@289;401@0.02;1303@0.05;1602@0.022;2102@0.011	10201301	13	1602@0.011	4104041;3000003	30;1560	1	
10201301014	101@82.6;201@44.7;301@289;401@0.02;1303@0.05;1602@0.022;2102@0.011	10201301	14	101@12.4	4104041;3000003	30;1620	1	
10201301015	101@82.6;201@52.6;301@289;401@0.02;1303@0.05;1602@0.022;2102@0.011	10201301	15	201@7.9	4104041;3000003	30;1680	1	
10201301016	101@82.6;201@52.6;301@340;401@0.02;1303@0.05;1602@0.022;2102@0.011	10201301	16	301@51	4104041;3000003	30;1740	1	
10201301017	101@82.6;201@52.6;301@340;401@0.02;1303@0.05;1602@0.022;2102@0.022	10201301	17	2102@0.011	4104041;3000003	30;1800	1	
10201301018	101@95;201@52.6;301@340;401@0.02;1303@0.05;1602@0.022;2102@0.022	10201301	18	101@12.4	4104041;3000003	30;1860	1	
10201301019	101@95;201@60.5;301@340;401@0.02;1303@0.05;1602@0.022;2102@0.022	10201301	19	201@7.9	4104041;3000003	30;1920	1	
10201301020	101@95;201@60.5;301@391;401@0.02;1303@0.05;1602@0.022;2102@0.022	10201301	20	301@51	4104041;3000003	30;1980	1	
10201301021	101@95;201@60.5;301@391;401@0.02;1303@0.075;1602@0.022;2102@0.022	10201301	21	1303@0.025	4104041;4104042;3000003	40;40;2040	1	
10201301022	101@107.4;201@60.5;301@391;401@0.02;1303@0.075;1602@0.022;2102@0.022	10201301	22	101@12.4	4104041;4104042;3000003	40;40;2100	1	
10201301023	101@107.4;201@68.4;301@391;401@0.02;1303@0.075;1602@0.022;2102@0.022	10201301	23	201@7.9	4104041;4104042;3000003	40;40;2160	1	
10201301024	101@107.4;201@68.4;301@442;401@0.02;1303@0.075;1602@0.022;2102@0.022	10201301	24	301@51	4104041;4104042;3000003	40;40;2220	1	
10201301025	101@107.4;201@68.4;301@442;401@0.03;1303@0.075;1602@0.022;2102@0.022	10201301	25	401@0.01	4104041;4104042;3000003	40;40;2280	1	
10201301026	101@119.8;201@68.4;301@442;401@0.03;1303@0.075;1602@0.022;2102@0.022	10201301	26	101@12.4	4104041;4104042;3000003	40;40;2340	1	
10201301027	101@119.8;201@76.3;301@442;401@0.03;1303@0.075;1602@0.022;2102@0.022	10201301	27	201@7.9	4104041;4104042;3000003	40;40;2400	1	
10201301028	101@119.8;201@76.3;301@493;401@0.03;1303@0.075;1602@0.022;2102@0.022	10201301	28	301@51	4104041;4104042;3000003	40;40;2460	1	
10201301029	101@119.8;201@76.3;301@493;401@0.03;1303@0.075;1602@0.033;2102@0.022	10201301	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1	
10201301030	101@132.2;201@76.3;301@493;401@0.03;1303@0.075;1602@0.033;2102@0.022	10201301	30	101@12.4	4104041;4104042;3000003	40;40;2580	1	
10201301031	101@132.2;201@84.2;301@493;401@0.03;1303@0.075;1602@0.033;2102@0.022	10201301	31	201@7.9	4104041;4104042;3000003	50;50;2640	1	
10201301032	101@132.2;201@84.2;301@544;401@0.03;1303@0.075;1602@0.033;2102@0.022	10201301	32	301@51	4104041;4104042;3000003	50;50;2700	1	
10201301033	101@132.2;201@84.2;301@544;401@0.03;1303@0.075;1602@0.033;2102@0.033	10201301	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1	
10201301034	101@144.6;201@84.2;301@544;401@0.03;1303@0.075;1602@0.033;2102@0.033	10201301	34	101@12.4	4104041;4104042;3000003	50;50;2820	1	
10201301035	101@144.6;201@92.1;301@544;401@0.03;1303@0.075;1602@0.033;2102@0.033	10201301	35	201@7.9	4104041;4104042;3000003	50;50;2880	1	
10201301036	101@144.6;201@92.1;301@595;401@0.03;1303@0.075;1602@0.033;2102@0.033	10201301	36	301@51	4104041;4104042;3000003	50;50;2940	1	
10201301037	101@144.6;201@92.1;301@595;401@0.03;1303@0.1;1602@0.033;2102@0.033	10201301	37	1303@0.025	4104041;4104042;3000003	50;50;3000	1	
10201301038	101@157;201@92.1;301@595;401@0.03;1303@0.1;1602@0.033;2102@0.033	10201301	38	101@12.4	4104041;4104042;3000003	50;50;3060	1	
10201301039	101@157;201@100;301@595;401@0.03;1303@0.1;1602@0.033;2102@0.033	10201301	39	201@7.9	4104041;4104042;3000003	50;50;3120	1	
10201301040	101@157;201@100;301@646;401@0.03;1303@0.1;1602@0.033;2102@0.033	10201301	40	301@51	4104041;4104042;3000003	50;50;3180	1	
10201301041	101@157;201@100;301@646;401@0.04;1303@0.1;1602@0.033;2102@0.033	10201301	41	401@0.01	4104041;4104042;3000003	50;50;50;3240	1	
10201301042	101@169.4;201@100;301@646;401@0.04;1303@0.1;1602@0.033;2102@0.033	10201301	42	101@12.4	4104041;4104042;4104043;3000003	50;50;50;3300	1	
10201301043	101@169.4;201@107.9;301@646;401@0.04;1303@0.1;1602@0.033;2102@0.033	10201301	43	201@7.9	4104041;4104042;4104043;3000003	50;50;50;3360	1	
10201301044	101@169.4;201@107.9;301@697;401@0.04;1303@0.1;1602@0.033;2102@0.033	10201301	44	301@51	4104041;4104042;4104043;3000003	50;50;50;3420	1	
10201301045	101@169.4;201@107.9;301@697;401@0.04;1303@0.1;1602@0.044;2102@0.033	10201301	45	1602@0.011	4104041;4104042;4104043;3000003	50;50;50;3480	1	
10201301046	101@181.8;201@107.9;301@697;401@0.04;1303@0.1;1602@0.044;2102@0.033	10201301	46	101@12.4	4104041;4104042;4104043;3000003	50;50;50;3540	1	
10201301047	101@181.8;201@115.8;301@697;401@0.04;1303@0.1;1602@0.044;2102@0.033	10201301	47	201@7.9	4104041;4104042;4104043;3000003	50;50;50;3600	1	
10201301048	101@181.8;201@115.8;301@748;401@0.04;1303@0.1;1602@0.044;2102@0.033	10201301	48	301@51	4104041;4104042;4104043;3000003	50;50;50;3660	1	
10201301049	101@181.8;201@115.8;301@748;401@0.04;1303@0.1;1602@0.044;2102@0.044	10201301	49	2102@0.011	4104041;4104042;4104043;3000003	50;50;50;3720	1	
10201301050	101@194.2;201@115.8;301@748;401@0.04;1303@0.1;1602@0.044;2102@0.044	10201301	50	101@12.4	4104041;4104042;4104043;3000003	50;50;50;3780	1	
10201301051	101@194.2;201@123.7;301@748;401@0.04;1303@0.1;1602@0.044;2102@0.044	10201301	51	201@7.9	4104041;4104042;4104043;3000003	70;70;70;3840	1	
10201301052	101@194.2;201@123.7;301@799;401@0.04;1303@0.1;1602@0.044;2102@0.044	10201301	52	301@51	4104041;4104042;4104043;3000003	70;70;70;3900	1	
10201301053	101@194.2;201@123.7;301@799;401@0.04;1303@0.125;1602@0.044;2102@0.044	10201301	53	1303@0.025	4104041;4104042;4104043;3000003	70;70;70;3960	1	
10201301054	101@206.6;201@123.7;301@799;401@0.04;1303@0.125;1602@0.044;2102@0.044	10201301	54	101@12.4	4104041;4104042;4104043;3000003	70;70;70;4020	1	
10201301055	101@206.6;201@131.6;301@799;401@0.04;1303@0.125;1602@0.044;2102@0.044	10201301	55	201@7.9	4104041;4104042;4104043;3000003	70;70;70;4080	1	
10201301056	101@206.6;201@131.6;301@850;401@0.04;1303@0.125;1602@0.044;2102@0.044	10201301	56	301@51	4104041;4104042;4104043;3000003	70;70;70;4140	1	
10201301057	101@206.6;201@131.6;301@850;401@0.05;1303@0.125;1602@0.044;2102@0.044	10201301	57	401@0.01	4104041;4104042;4104043;3000003	70;70;70;4200	1	
10201301058	101@219;201@131.6;301@850;401@0.05;1303@0.125;1602@0.044;2102@0.044	10201301	58	101@12.4	4104041;4104042;4104043;3000003	70;70;70;4260	1	
10201301059	101@219;201@139.5;301@850;401@0.05;1303@0.125;1602@0.044;2102@0.044	10201301	59	201@7.9	4104041;4104042;4104043;3000003	70;70;70;4320	1	
10201301060	101@219;201@139.5;301@901;401@0.05;1303@0.125;1602@0.044;2102@0.044	10201301	60	301@51	4104041;4104042;4104043;3000003	70;70;70;4380	1	
