id	num	status
int	int	int
1	20	1
2	30	1
3	20	1
4	300	1
5	3000003	1
6	5000	1
7	3000002	1
8	50	1
9	3000017	1
10	200	1
11	3000017	1
12	400	1
13		1
14	12	1
15	20	1
16	10	1
17	1	1
18	30	1
19	5300017	1
20	50	1
21	100	1
22	3000002	1
23	500	1
24	3000002	1
25	500	1
26	6250001	1
27	40001	1
28	40002	1
29	1	1
30	1	1
31	200	1
32	102250	1
33	6	1
34	3	1
35	100	1
36	99999999	1
37	40003	1
38	50	1
39	60	1
40	3	1
41	99	1
42	3000002	1
43	10	1
44	20	1
45	1	1
46	1	1
47	3	1
48	3000002	1
49	50	1
50	30	1
51	5	1
52	6	1
53	7	1
54	150	1
55	3	1
56	1	1
57	100	1
58	99999999	1
59	102008	1
60	2	1
61	50	1
62	20	1
63	20	1
