level	name	exp	maxNum	expDaily	status
int	int	int	int	int	int
1	1级	0	10	1500	1
2	2级	1000	11	1650	1
3	3级	1200	12	1800	1
4	4级	1400	13	1950	1
5	5级	1600	14	2100	1
6	6级	1800	15	2250	1
7	7级	2000	16	2400	1
8	8级	2500	17	2550	1
9	9级	3000	18	2700	1
10	10级	4000	19	2850	1
11	11级	5000	20	3000	1
12	12级	6000	20	3000	1
13	13级	7000	20	3000	1
14	14级	8000	20	3000	1
15	15级	10000	20	3000	1
16	16级	12000	20	3000	1
17	17级	14000	20	3000	1
18	18级	16000	20	3000	1
19	19级	18000	20	3000	1
20	20级	20000	20	3000	1
21	21级	25000	20	3000	1
22	22级	30000	20	3000	1
23	23级	35000	20	3000	1
24	24级	40000	20	3000	1
25	25级	45000	20	3000	1
26	26级	50000	20	3000	1
27	27级	55000	20	3000	1
28	28级	60000	20	3000	1
29	29级	65000	20	3000	1
30	30级	70000	20	3000	1
