id	copyId	bossTypes	types	SceneId	rounds	roleNun	proposalLevel	powerRatioTeamID	battleRules	damageTotal	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	illustrate	illustrate_zh_TW	illustrate_en_UK	illustrate_ja_JP	illustrate_ko_KR	illustrate_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
801001	1	1	1	15801	6	4	1	11	13	1	1							1. 当玩家武装身上的攻击力降低效果叠加到6层后，爆裂鼓蟹会异常兴奋，攻击力提升30%。	1. 當玩家武裝身上的攻擊力降低效果疊加到6層後，爆裂鼓蟹會異常興奮，攻擊力提升30%。	1. When your Combatant's ATK Decrease debuff reaches 6 stacks, the Drummer Crab enters a frenzied state, increasing its ATK by 30%.	1.戦闘員に付与されている攻撃力低下効果が6スタックになると、ドラムボンバーは異常に興奮し、攻撃力＋30%。	1. 플레이어의 전투원 감소 효과가 6스택까지 중첩된 후, 드럼 크랩은 비정상적인 흥분 상태가 되며 공격력이 30% 증가한다.	1.​เมื่อ​เอฟเฟกต์​ลด​ ATK​ บน​ตัวละคร​ของ​ผู้​เล่น​สะสม​ถึง​ 6​ ชั้น​ คลอว์​บัส​เตอร์​จะ​ตื่นเต้น​ และ​ได้รับ​ ATK​ เพิ่มขึ้น​ 30%​
801002	1	1	2	15801	6	4	1	11	13	1	1							1.孤傲剑客有较强的攻击性，造成伤害时，还会降低玩家武装的受治疗效果。	1.孤傲劍客有較強的攻擊性，造成傷害時，還會降低玩家武裝的受治療效果。	1. The Solitary Swordsman is a fierce offensive creature. When it attacks, it not only deals damage but also weakens the healing effects on your Combatants.	1.孤高な剣士がダメージを与える時、味方戦闘員の受ける回復効果がダウンする。	1. 소드맨은 강한 공격성을 가지고 있습니다. 소드맨이 대미지를 부여 시 플레이어의 전투원에 대한 치유 효과가 감소합니다.	1.​ซอร์ด​มาสเตอร์​มีพลัง​โจมตี​ที่​รุนแรง​ และ​เมื่อ​สร้าง​ดา​เม​จ​ จะ​ลด​ผล​การฟื้นฟู​ที่​ตัวละคร​ของ​ผู้​เล่น​ได้รับ​
801003	1	1	3	15801	6	4	1	11	13	1	1							1.宝宝玩偶在攻击后会获得能力增强，每拥有1点奥义能量，攻击力提升10%。	1.寶寶玩偶在攻擊後會獲得能力增強，每擁有1點奧義能量，攻擊力提升10%。	1. The Baby Doll gains enhanced stats after each attack, receiving a 10% ATK boost for each SP it possesses.	1.ベビードールは攻撃する度にパワフルになる。所持するSP1点につき、攻撃力+10％。	1. 아기 인형은 공격 후에 속성이 강화됩니다. 필살기 게이지 1pt 보유 시마다 공격력이 10% 증가합니다.	1.​ลิต​เติ้ล​ไนต์​แมร์​จะ​ได้รับ​การ​เสริม​พลัง​หลัง​การ​โจมตี​ โดย​ทุกๆ​ พลังงาน​อัล​ติ​เมท​ 1​ แต้ม​ จะ​เพิ่ม​ ATK​ ขึ้น​ 10%​
801004	1	2	4	15801	6	4	1	11	13	1	1							1.莫布每次击破【护盾】效果都可以提升自身10%的 攻击力，最多可以叠加20层。\n2.莫布第3回合开始时，暴露出破绽，受到的暴击伤害提升50%。	1.莫布每次擊破【護盾】效果都可以提升自身10%的 攻擊力，最多可以疊加20層。\n2.莫布第3回合開始時，暴露出破綻，受到的爆擊傷害提升50%。	1. Each time Mobu breaks through a shield, increases its ATK by 10%, stacking up to 20 times. \n2. Starting from the 3rd turn, Mobu exposes a weakness, causing it to take a 50% increased CRIT DMG.	1.モブは【シールド】を撃破する度に、自身の攻撃力＋10%(最大20スタックまで）。\n2.3ターン目開始時、モブはボロを出し、受ける会心ダメージ+50%。	1. 걸레는 [실드] 효과를 파괴할 때마다 자신의 공격력 10%가 증가하고, 최대 20스택까지 중첩됩니다.\n2. 세번째턴 시작 시 약점을 노출하며 적용되는 크리터컬 대미지가 50% 증가합니다.	1.​ม็อบ​จะ​เพิ่ม​ ATK​ ของ​ตัวเอง​ 10%​ ทุกครั้งที่​ทำลาย​ [​โล่​ป้องกัน​]​ ได้​ ซ้อนทับ​ได้​สูงสุด​ 20​ ชั้น​\n2.​ใน​เทิร์น​ที่​ 3​ เป็นต้นไป​ ม็อบ​จะ​เผย​จุดอ่อน​ ทำให้​ได้รับ​ดา​เม​จค​ริ​ติ​คอ​ล​เพิ่มขึ้น​ 50%​
801005	2	1	1	15801	6	4	1	11	13	1	1							1. 拳击贩卖机获得忍耐强化，忍耐值提升100%。攻击时使敌人的受治疗效果降低。	1. 拳擊販賣機獲得忍耐強化，忍耐值提升100%。攻擊時使敵人的受治療效果降低。	1. The Boxing Vending Machine gains Endurance Enhancement, increasing its Endurance by 100%. It also reduces the healing effect on enemies when attacking.	1.ボクシング販売機の忍耐は強化され、忍耐力+100%。攻撃時、戦闘員の受ける回復効果をダウンさせる。	1. 권투 게임기는 인내율 강화 효과를 획득하며, 인내율이 100%까지 증가된다. 공격 시 적의 치유 효과가 감소합니다.	1.​มินิ​บ็อก​เซอร์​ได้รับ​เอฟเฟกต์​เสริม​ความอดทน​ เพิ่มค่า​อดทน​ 100%​ เมื่อ​โจมตี​จะ​ลด​เอฟเฟกต์​ฟื้นฟู​ HP​ ที่​ศัตรู​ได้รับ​
801006	2	1	2	15801	6	4	1	11	13	1	1							1.恶意挖掘机获得防御强化，自身防御值提升50%。	1.惡意挖掘機獲得防禦強化，自身防禦值提升50%。	1. The Vicious Excavator gains a significant Defense Boost, increasing its DEF by 50%.	1.ショベルカーの防御は強化され、自身の防御力＋50%。	1. 장난치는 포크레인은 방어력 강화 효과를 획득하며, 자체 방어력이 50%까지 증가합니다.	1.​เด​ธด​ริ​ลเลอร์​ได้รับ​เอฟเฟกต์​เสริม​พลัง​ป้องกัน​ เพิ่ม​ DEF​ ให้​กับ​ตัวเอง​ 50%​
801007	2	1	3	15801	6	4	1	11	13	1	1							1.持剑鼠自身能力得到大幅度提升，控制效果对其无效。	1.持劍鼠自身能力得到大幅度提升，控制效果對其無效。	1. The Saberclaw Mouse boasts vastly improved abilities and is immune to control effects.	1.マウスブレイド自身は大幅に強化され、自身に付与される行動制限を無効にする。	1. 랫 소드맨 자체 속성은 대폭 증가하며, 제어 효과는 효력을 발휘하지 않습니다.	1.​สจ๊วดว​อริ​เออร์​ได้รับ​การ​เสริม​ความสามารถ​ และ​เอฟเฟกต์​ควบคุม​จะ​ไม่​มีผล​กับ​มัน​
801008	2	2	4	15801	6	4	1	11	13	1	1							1.竹牙巨人可以击穿对方防御，使敌人防御力大幅度降低。\n2.竹牙巨人可以强化己身，提升自身30%防御和30%最终伤害。造成伤害时，将造成大量的破势伤害。	1.竹牙巨人可以擊穿對方防禦，使敵人防禦力大幅度降低。\n2.竹牙巨人可以強化己身，提升自身30%防禦和30%最終傷害。造成傷害時，將造成大量的破勢傷害。	1. Bamboo Tooth can pierce through enemy defenses, significantly reducing their DEF. \n2. Bamboo Tooth can fortify itself, increasing its DEF and Final DMG by 30%. Additionally, it inflicts substantial Fierce DMG.	1.竹牙の巨人の攻撃は対象の防御を突破し、防御力を大幅にダウンさせることができる。\n2.竹牙の巨人は自身を強化し、自身の防御力+30％、与える最終ダメージ+30％。ダメージを与えた時、大量の破勢ダメージを与えることができる。	1. 자이언트 죽순은 상대방의 방어를 관통할 수 있으며, 적 방어력은 대폭으로 감소합니다.\n2. 자이언트 죽순은 자신을 강화할 수 있으며 자체 방어력과 최종 대미지가 30% 증가합니다. 대미지 부여시 대량의 파탄 대미지를 부여합니다.	1.​ไททัน​แบ​มบู​สามารถ​ทะลวง​การป้องกัน​ของ​ศัตรู​ ทำให้​ DEF​ ของ​ศัตรู​ลดลง​อย่าง​มาก​\n2.​ไททัน​แบ​มบู​สามารถ​เสริม​พลัง​ให้​ตัวเอง​ โดย​จะ​เพิ่ม​ DEF​ 30%​ และ​ดา​เม​จ​สุดท้าย​ 30%​ เมื่อ​สร้าง​ดา​เม​จ​ จะ​สร้าง​ดา​เม​จ​ตัดกำลัง​อย่าง​รุนแรง​
801009	3	1	1	15801	6	4	1	11	13	1	1												
