id	ruleId	startDay	endDay	NextID	copyId	status
int	int	int	int	int	int	int
1	4004	2024/7/11 5:00	2024/7/18 4:59	2	1	1
2	4004	2024/7/18 5:00	2024/7/25 4:59	3	2	1
3	4004	2024/7/25 5:00	2024/8/1 4:59	4	3	1
4	4004	2024/8/21 5:00	2024/8/28 4:59	5	5	1
5	4004	2024/9/25 5:00	2024/10/2 4:59	6	1	1
6	4004	2024/10/23 5:00	2024/10/30 4:59	7	2	1
7	4004	2024/11/20 5:00	2024/11/27 4:59	8	3	1
8	4004	2024/12/18 5:00	2024/12/25 4:59	9	5	1
9	4004	2025/1/15 5:00	2025/1/22 4:59	10	1	1
10	4004	2025/2/12 5:00	2025/2/19 4:59	11	2	1
11	4004	2025/3/12 5:00	2025/3/19 4:59	12	3	1
12	4004	2025/4/9 5:00	2025/4/16 4:59	13	5	1
13	4004	2025/5/7 5:00	2025/5/14 4:59	14	1	1
14	4004	2025/6/4 5:00	2025/6/11 4:59	15	1	1
15	4004	2025/7/2 5:00	2025/7/9 4:59	16	2	1
16	4004	2025/7/30 5:00	2025/8/6 4:59	17	3	1
17	4004	2025/8/27 5:00	2025/9/3 4:59	18	5	1
18	4004	2025/9/24 5:00	2025/10/1 4:59	19	1	1
19	4004	2025/10/22 5:00	2025/10/29 4:59	20	2	1
20	4004	2025/11/19 5:00	2025/11/26 4:59	21	3	1
21	4004	2025/12/17 5:00	2025/12/24 4:59	22	5	1
22	4004	2026/1/14 5:00	2026/1/21 4:59	23	1	1
23	4004	2026/2/11 5:00	2026/2/18 4:59	24	2	1
24	4004	2026/3/11 5:00	2026/3/18 4:59	25	3	1
25	4004	2026/4/8 5:00	2026/4/15 4:59	26	5	1
26	4004	2026/5/6 5:00	2026/5/13 4:59	27	1	1
27	4004	2026/6/3 5:00	2026/6/10 4:59	28	1	1
28	4004	2026/7/1 5:00	2026/7/8 4:59	29	2	1
29	4004	2026/7/29 5:00	2026/8/5 4:59	30	3	1
30	4004	2026/8/26 5:00	2026/9/2 4:59	31	5	1
31	4004	2026/9/23 5:00	2026/9/30 4:59	32	1	1
32	4004	2026/10/21 5:00	2026/10/28 4:59	33	2	1
33	4004	2026/11/18 5:00	2026/11/25 4:59	34	3	1
34	4004	2026/12/16 5:00	2026/12/23 4:59	35	5	1
35	4004	2027/1/13 5:00	2027/1/20 4:59	36	1	1
36	4004	2027/2/10 5:00	2027/2/17 4:59	37	2	1
37	4004	2027/3/10 5:00	2027/3/17 4:59	38	3	1
38	4004	2027/4/7 5:00	2027/4/14 4:59	39	5	1
39	4004	2027/5/5 5:00	2027/5/12 4:59	40	1	1
40	4004	2027/6/2 5:00	2027/6/9 4:59	41	1	1
41	4004	2027/6/30 5:00	2027/7/7 4:59	42	2	1
42	4004	2027/7/28 5:00	2027/8/4 4:59	43	3	1
43	4004	2027/8/25 5:00	2027/9/1 4:59	44	5	1
44	4004	2027/9/22 5:00	2027/9/29 4:59	45	1	1
45	4004	2027/10/20 5:00	2027/10/27 4:59	46	2	1
46	4004	2027/11/17 5:00	2027/11/24 4:59	47	3	1
47	4004	2027/12/15 5:00	2027/12/22 4:59	48	5	1
48	4004	2028/1/12 5:00	2028/1/19 4:59	49	1	1
49	4004	2028/2/9 5:00	2028/2/16 4:59	50	2	1
50	4004	2028/3/8 5:00	2028/3/15 4:59	51	3	1
51	4004	2028/4/5 5:00	2028/4/12 4:59	52	5	1
52	4004	2028/5/3 5:00	2028/5/10 4:59	53	1	1
53	4004	2028/5/31 5:00	2028/6/7 4:59	54	1	1
54	4004	2028/6/28 5:00	2028/7/5 4:59	55	2	1
55	4004	2028/7/26 5:00	2028/8/2 4:59	56	3	1
56	4004	2028/8/23 5:00	2028/8/30 4:59	57	5	1
57	4004	2028/9/20 5:00	2028/9/27 4:59	58	1	1
58	4004	2028/10/18 5:00	2028/10/25 4:59	59	2	1
59	4004	2028/11/15 5:00	2028/11/22 4:59	60	3	1
60	4004	2028/12/13 5:00	2028/12/20 4:59	61	5	1
61	4004	2029/1/10 5:00	2029/1/17 4:59	62	1	1
62	4004	2029/2/7 5:00	2029/2/14 4:59	63	2	1
63	4004	2029/3/7 5:00	2029/3/14 4:59	64	3	1
64	4004	2029/4/4 5:00	2029/4/11 4:59	65	5	1
65	4004	2029/5/2 5:00	2029/5/9 4:59	66	1	1
66	4004	2029/5/30 5:00	2029/6/6 4:59	67	1	1
67	4004	2029/6/27 5:00	2029/7/4 4:59	68	2	1
68	4004	2029/7/25 5:00	2029/8/1 4:59	69	3	1
69	4004	2029/8/22 5:00	2029/8/29 4:59	70	5	1
70	4004	2029/9/19 5:00	2029/9/26 4:59	71	1	1
71	4004	2029/10/17 5:00	2029/10/24 4:59	72	2	1
72	4004	2029/11/14 5:00	2029/11/21 4:59	73	3	1
73	4004	2029/12/12 5:00	2029/12/19 4:59	74	5	1
74	4004	2030/1/9 5:00	2030/1/16 4:59	75	1	1
75	4004	2030/2/6 5:00	2030/2/13 4:59	76	2	1
76	4004	2030/3/6 5:00	2030/3/13 4:59	77	3	1
77	4004	2030/4/3 5:00	2030/4/10 4:59	78	5	1
78	4004	2030/5/1 5:00	2030/5/8 4:59	79	1	1
79	4004	2030/5/29 5:00	2030/6/5 4:59	80	1	1
80	4004	2030/6/26 5:00	2030/7/3 4:59	81	2	1
81	4004	2030/7/24 5:00	2030/7/31 4:59	82	3	1
82	4004	2030/8/21 5:00	2030/8/28 4:59	83	5	1
83	4004	2030/9/18 5:00	2030/9/25 4:59	84	1	1
84	4004	2030/10/16 5:00	2030/10/23 4:59	85	2	1
85	4004	2030/11/13 5:00	2030/11/20 4:59	86	3	1
86	4004	2030/12/11 5:00	2030/12/18 4:59	87	5	1
87	4004	2031/1/8 5:00	2031/1/15 4:59	88	1	1
88	4004	2031/2/5 5:00	2031/2/12 4:59	89	2	1
89	4004	2031/3/5 5:00	2031/3/12 4:59	90	3	1
90	4004	2031/4/2 5:00	2031/4/9 4:59	91	5	1
91	4004	2031/4/30 5:00	2031/5/7 4:59	92	1	1
92	4004	2031/5/28 5:00	2031/6/4 4:59	93	1	1
93	4004	2031/6/25 5:00	2031/7/2 4:59	94	2	1
94	4004	2031/7/23 5:00	2031/7/30 4:59	95	3	1
95	4004	2031/8/20 5:00	2031/8/27 4:59	96	5	1
96	4004	2031/9/17 5:00	2031/9/24 4:59	97	1	1
97	4004	2031/10/15 5:00	2031/10/22 4:59	98	2	1
98	4004	2031/11/12 5:00	2031/11/19 4:59	99	3	1
99	4004	2031/12/10 5:00	2031/12/17 4:59	100	5	1
100	4004	2032/1/7 5:00	2032/1/14 4:59	101	1	1
101	4004	2032/2/4 5:00	2032/2/11 4:59	102	2	1
102	4004	2032/3/3 5:00	2032/3/10 4:59	103	3	1
103	4004	2032/3/31 5:00	2032/4/7 4:59	104	5	1
104	4004	2032/4/28 5:00	2032/5/5 4:59	105	1	1
105	4004	2032/5/26 5:00	2032/6/2 4:59	106	1	1
106	4004	2032/6/23 5:00	2032/6/30 4:59	107	2	1
107	4004	2032/7/21 5:00	2032/7/28 4:59	108	3	1
108	4004	2032/8/18 5:00	2032/8/25 4:59	109	5	1
109	4004	2032/9/15 5:00	2032/9/22 4:59	110	1	1
110	4004	2032/10/13 5:00	2032/10/20 4:59	111	2	1
111	4004	2032/11/10 5:00	2032/11/17 4:59	112	3	1
112	4004	2032/12/8 5:00	2032/12/15 4:59	113	5	1
113	4004	2033/1/5 5:00	2033/1/12 4:59	114	1	1
114	4004	2033/2/2 5:00	2033/2/9 4:59	115	2	1
115	4004	2033/3/2 5:00	2033/3/9 4:59	116	3	1
116	4004	2033/3/30 5:00	2033/4/6 4:59	117	5	1
117	4004	2033/4/27 5:00	2033/5/4 4:59	118	1	1
118	4004	2033/5/25 5:00	2033/6/1 4:59	119	1	1
119	4004	2033/6/22 5:00	2033/6/29 4:59	120	2	1
