id	activityId	placeId	unlockBossQuestId	type	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12008010	1	103		1	0			1	20000			0		99	0	4	0	0	1	1-1 调查现场	1-1 調查現場	1-1 Investigate the Scene	1-1 現場調査	1-1 현장 조사	1-1 สถานที่สืบสวน	你们去调查了「案发现场」，根据现场遗留的线索，推测这次的桃花酒失窃有可能是团伙作案，并很快锁定了主要嫌疑人——暴饮。	你們去調查了「案發現場」，根據現場遺留的線索，推測這次的桃花酒失竊有可能是團夥作案，並很快鎖定了主要嫌疑人——暴飲。	You went to the 'crime scene' and concluded that the theft might be committed by a crime group led by a man named Aizen.	あなたたちは「事件現場」を調べに行き、現場に残された手がかりから、今回の桃花酒盗難事件はグループによる犯行であると推測し、主な容疑者が暴飲王子であることを特定した。	「사건 현장」을 조사한 여러분은 현장에 남겨진 단서에 따라 도화주를 훔친 범인이 단독 범행이 아닌 조직적인 범행이라는 것을 알아냈고, 빠르게 주요 용의자를 주귀로 확정했다.	พวกคุณ​ได้​สืบสวน​ "​สถานที่เกิดเหตุ​"​ จาก​ร่องรอย​ที่​หลง​เหลืออยู่​ทำให้​สันนิษฐาน​ได้​ว่า​การขโมย​ครั้งนี้​อาจ​เป็น​การกระทำ​ของ​แก๊ง​อาชญากร​ และ​ไม่​นาน​ก็​พบ​ผู้ต้องสงสัย​หลัก​ นั่น​คือ​ "โกริน"​
12008020	1	103		1	12008010			1	20000			0		99	0	4	0	0	1	1-2 计划与变化	1-2 計畫與變化	1-2 Plans and Changes	1-2 計画と変更	1-2 계획과 변화	1-2​ แผนการ​และ​การเปลี่ยนแปลง​	得知同伴们的身份已经暴露，酒童子回到暴饮身边、告诉了他你们的动向。就在他们制定好新计划并即将实施之时，酒童子却遇到了偶然路过此地的金阙。	得知同伴們的身份已經暴露，酒童子回到暴飲身邊、告訴了他你們的動向。就在他們制定好新計畫並即將實施之時，酒童子卻遇到了偶然路過此地的金闕。	Spiryt learns of the exposure and reunites with Gorin, plotting the next steps. Jinque, by chance, crosses paths with them.	仲間たちの身元がバレたことを知った酒呑童子は、暴飲王子のもとに戻り、あなたたちの動向を伝えた。新しい計画を立てて実施しようとしていた時、酒呑童子は偶然通りかかった金闕に遭遇する。	공범의 정체가 확인되어 주천동자는 주귀의 곁으로 돌아갔고, 그에게 여러분의 행방을 알려줬다. 새로운 계획을 세우고 실행하려고 할 때 주천동자가 지나가던 금궐과 우연히 마주쳤다.	เมื่อ​รู้​ว่า​ตัวตน​ของ​พรรคพวก​ถูก​เปิดเผย​ สปิริต​จึง​กลับ​ไปหา​โกริน​เพื่อ​รายงาน​ความเคลื่อนไหว​ของ​พวกคุณ​ แต่​ในขณะที่​พวกเขา​กำลังจะ​ลงมือ​ตาม​แผนใหม่​ สปิริต​ก็​บังเอิญ​เจอ​กับ​จิน​เชน​ที่ผ่านมา​พอดี​
12008030	1	103		1	12008020			1	20000			0		99	0	4	0	0	1	1-3 茶社偶遇	1-3 茶社偶遇	1-3 A Tea House Encounter	1-3 茶社での出会い	1-3 차관에서의 만남	1-3 พบกันที่ร้านน้ำชา	暂时没有线索的你们来到闻心茶社，遇到了同样在找人的冻顶乌龙和云灿她们。	暫時沒有線索的你們來到聞心茶社，遇到了同樣在找人的凍頂烏龍和雲燦她們。	In the Whispering Teahouse, you meet Oolong and Yuncan, also on a quest.	手がかりを見つけられずにいたあなたたちは聞心茶社にやって来た。同じく人探しをしている凍頂烏龍茶と雲燦たちに遭遇する。	당장 다른 단서를 찾지 못한 여러분은 문심 차관에 방문했고 거기서 사람을 찾고 있는 동정우롱과 운찬, 운비 두 자매와 만났다.	พวกคุณ​ที่​ยัง​หา​เบาะแส​ไม่​ได้​จึง​แวะ​ไป​ที่​ร้าน​ชา​หอม​ และ​ได้​พบ​กับ​อู่​หลง​และ​หยุ​น​ซาน​ที่​กำลัง​ตามหา​คน​เช่นกัน​
12008040	1	103		1	12008030			1	20000			0		99	0	4	0	0	1	1-4 盛情难却	1-4 盛情難卻	1-4 Hard to Refuse	1-4 断れない厚意	1-4 거절할 수 없는 부탁	1-4 น้ำใจที่ปฏิเสธยาก	正准备离开的你们被祈挽留，刚好见到了返回茶社的金阙——由于想要和你待在一起，她也加入了调查。	正準備離開的你們被祈挽留，剛好見到了返回茶社的金闕——由於想要和你待在一起，她也加入了調查。	As you exit, Qi halts you. Jinque returns, intent on aiding your probe.	立ち去る準備をしているあなたたちは祈に呼び止められ、ちょうど茶社に戻ってきた金闕に会う。彼女は、あなたと一緒にいたいため、調査に加わることにした。	차관에서 나가려는 찰나에 기가 여러분을 막아섰고 차관으로 돌아온 금궐과 마주쳤다. 그녀는 당신과 함께 있고 싶다고 하면서 조사에 참여했다	ขณะที่​กำลังจะ​จากไป​ ฉี​ได้​รั้ง​พวกคุณ​ไว้​ และ​ได้​พบ​กับ​จิน​เชน​ที่​กลับ​จา​กร้าน​น้ำชา​พอดี​ ด้วย​ความ​ที่​เธอ​อยาก​อยู่​กับ​คุณ​ เธอ​จึง​เข้าร่วม​การสืบสวน​ด้วย​
12008050	1	103		2	12008040			1	20000	9000037	50	0	89901	99	0	4	0	0	1	1-5 街巷私语	1-5 街巷私語	1-5 Whispers in the Alleyway	1-5 巷の囁き	1-5 골목에서 들려온 이야기	1-5 เสียงกระซิบในตรอก	寻找暴饮的你们听到街角有人在窃窃私语。金阙对其中一人的声音感到熟悉，立刻追了过去……原来那人正是酒童子。	尋找暴飲的你們聽到街角有人在竊竊私語。金闕對其中一人的聲音感到熟悉，立刻追了過去……原來那人正是酒童子。	While searching for Gorin, you overhear whispers coming from a nearby alley. Jinque spots Spiryt and gives chase.	暴飲王子を探すあなたたちは街角でひそひそ話を聞いた。金闕はそのうちの一人に聞き覚えがあり、すぐに追いかけて行くと、声の主は酒呑童子であった。	주귀를 찾다가 거리에서 수근대는 소리를 들었고 금궐은 그중 한 목소리가 익숙하다면서 바로 따라갔다… 그 사람은 바로 주천동자였다.	ขณะที่​กำลัง​ตามหา​โกริน​ พวกคุณ​ได้ยิน​เสียง​กระซิบกระซาบ​จาก​มุมถนน​ จิน​เชน​จำ​เสียง​ของ​หนึ่ง​ใน​นั้น​ได้​ จึง​วิ่ง​ตาม​ไป​ทันที​...​ ที่แท้​ก็​คือ​สปิริต​นั่นเอง​
12008060	1	103		1	12008050			1	25000			0		99	0	4	0	0	1	1-6 暴饮的线索	1-6 暴飲的線索	1-6 A Lead on Gorin	1-6 暴飲王子の手がかり	1-6 주귀의 단서	1-6 เบาะแสของโกริน	米饭和红茶与你们分开后，也开始寻找线索，最终通过可可得知了暴饮的行踪。	米飯和紅茶與你們分開後，也開始尋找線索，最終通過可可得知了暴飲的行蹤。	Rice and Black Tea, after parting from you, find Gorin's trace through Cody.	ライスと紅茶はあなたたちと別れた後、手がかりを探し、ココから暴飲王子の情報を入手した。	백미와 홍차 일행과 따로 떨어진 후 계속 단서를 찾았다. 결국 코코를 통해서 주귀의 행방을 찾을 수 있었다.	ไร​ซ์​และ​แบล็กที​ที่​แยกจาก​พวกคุณ​ไป​ ก็​เริ่ม​ตามหา​เบาะแส​เช่นกัน​ และ​ในที่สุด​ก็ได้​รู้เบาะแส​ของ​โกริน​จาก​โคโค่​
12008070	1	103		1	12008060			1	25000			0		99	0	4	0	0	1	1-7 短暂分别	1-7 短暫分別	1-7 A Brief Farewell	1-7 一時的な別れ	1-7 짧은 이별	1-7 จากกันชั่วคราว	你决定让金阙送如意卷和豌豆黄回到茶社，自己则和红茶米饭继续追踪暴饮。	你決定讓金闕送如意卷和豌豆黃回到茶社，自己則和紅茶米飯繼續追蹤暴飲。	Jinque guides Luckweaver and Peabeam back, while you, Black Tea, and Rice chase Gorin.	あなたは金闕に如意巻きとエンドウ豆羊かんを茶社に送らせ、自分は紅茶とライスと一緒に引き続き暴飲王子を追跡することにした。	금궐에게 완두떡과 루이쥐안을 차관으로 데려다 달라고 부탁했고 당신은 홍차, 백미와 함께 주귀의 행적을 계속 쫓았다.	คุณ​ตัดสินใจ​ให้​จิน​เชน​พา​ลักวีฟเวอร์​และ​พีบีมก​ลับ​ร้าน​น้ำชา​ ส่วนตัว​คุณ​เอง​จะ​ไป​ตามหา​โกริน​กับ​ไร​ซ์​และ​แบล็กที​ต่อ​
12008080	1	103		2	12008070			1	25000	9000037	50	0	89902	99	0	4	0	0	1	1-8 「天降正义」	1-8 「天降正義」	1-8 Justice from Above	1-8 「天より舞い降りた正義」	1-8 「정의의 강림」	1-8​ ความยุติธรรม​จาก​สวรรค์​	你们来到美食街，遇到了正在品尝美食的小音和内特。就在这时，又发现了正在摊位旁试图偷取食物的傀。	你們來到美食街，遇到了正在品嘗美食的小音和內特。就在這時，又發現了正在攤位旁試圖偷取食物的傀。	At the Food Court, Poppy and Nate savor treats as an Anomaly eyes a vendor's goods.	グルメ街で、グルメを味わっているイナとネイトに遭遇する。その時、屋台のそばで食べ物を盗もうとしている傀を見つけた。	맛남의 거리에 도착한 여러분은 맛있는 음식을 먹고 있는 이나와 네이트와 만났고 그때 노점 옆에서 몰래 음식을 먹고 있는 퍼펫을 발견했다.	พวกคุณ​มาถึง​ถนน​เลิศ​รส​ และ​ได้​พบ​กับ​อิ​นะ​และ​เนท​ที่​กำลัง​ชิม​อาหาร​อยู่​ แต่​แล้วก็​เห็น​หุ่นเชิด​ที่​พยายาม​ขโมย​อาหาร​จาก​แผง​ข้างๆ​
12008090	1	103		2	12008080			1	30000	9000037	50	0	89903	99	0	4	0	0	1	1-9 否认罪行	1-9 否認罪行	1-9 Denying the Accusation	1-9 犯行を否認	1-9 악행 부인	1-9 ปฏิเสธความผิด	跟着那些傀，你们终于找到了指使它们的罪魁祸首——暴饮。你们质问暴饮将酒藏去了哪里，他却拒不承认自己做过这样的事。	跟著那些傀，你們終於找到了指使它們的罪魁禍首——暴飲。你們質問暴飲將酒藏去了哪裡，他卻拒不承認自己做過這樣的事。	Following the Anomalies, you corner their boss, Gorin, who denies the wine theft.	傀についていくと、彼らを指図する元凶ーー暴飲王子を見つけた。暴飲王子にお酒の隠し場所を問い詰めるが、そんなことはやっていないと本人が否認した。	퍼펫을 따라가니 드디어 그들을 지시한 원흉인 주귀와 마주쳤다. 여러분은 주귀가 술 저장실에 있던 술을 어디에 뒀냐고 추궁했지만, 그는 그런 적이 없다면서 모든 악행을 부인했다.	เมื่อ​ตาม​หุ่นเชิด​เหล่านั้น​มา​ พวกคุณ​ก็​พบ​ตัวการ​ที่​สั่งการ​พวก​มัน​ในที่สุด​ นั่น​ก็​คือ​โกริน​ พวกคุณ​ซักถาม​ว่า​เขา​ซ่อน​เหล้า​ไว้​ที่ไหน​ แต่​เขา​กลับ​ปฏิเสธ​ว่าไม่ได้​ทำ​
