id	desc	plotIdStory	plotIdWave	plotIdEndWave	status
int	int	int	int	int	int
12008010	3011010	3011010			1
12008020	3011020	3011020			1
12008030	3011030	3011030			1
12008040	3011040	3011040			1
12008050	3011051		3011051	3011053	1
12008060	3011060	3011060			1
12008070	3011070	3011070			1
12008080	3011081		3011081	3011083	1
12008090	3011091		3011091	3011093	1
12008100	3011101		3011101		1
12008110	3011111		3011111		1
12008120	3011120	3011120			1
12008130	3011130	3011130			1
12008140	3011141		3011141	3011143	1
12008150	3011151		3011151	3011153	1
12008160	3011161		3011161	3011163	1
12008170	3011170	3011170			1
12008180	3011180	3011180			1
12008190	3011190	3011190			1
12008200	3011201		3011201		1
12008210	3011210	3011210			1
12008220	3011221		3011221		1
12008230	3011231		3011231	3011233	1
12008240	3011241		3011241	3011243	1
12008250	3011250	3011250			1
12008260	3011261		3011261	3011263	1
12008270	3011271		3011271	3011273	1
12008280	3011280	3011280			1
12008290	3011291		3011291	3011293	1
12008300	3011300	3011300			1
12008310	3011311		3011311		1
12008320	3011321		3011321	3011323	1
12008330	3011330	3011330			1
12008340	3011341		3011341	3011343	1
12008350	3011350	3011350			1
12008360	3011360	3011360			1
12008370	3011370	3011370			1
12008380	3011380	3011380			1
12008390	3011391		3011391	3011393	1
12008400	3011400	3011400			1
12008410	3011410	3011410			1
12008420	3011421		3011421		1
12008430	3011431		3011431		1
12008440	3011441		3011441	3011443	1
