id	voicecode	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	vo_interface_801_01	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	啊……是春天到了吗？	啊……是春天到了嗎？	Ah... Has spring arrived?	あら……春が来たのかしら？	아... 봄이 온 건가요?	อา​...​ ถึง​ฤดูใบไม้ผลิ​แล้ว​เหรอ​?​
102	vo_interface_801_02	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	这里的桃花开得正好，调查官你也是来赏花的吗？	這裡的桃花開得正好，調查官你也是來賞花的嗎？	The peach blossoms are in full bloom here. Have you come to enjoy their beauty, Inspector?	桃の花が咲き誇っていますわ、調査官さんもお花見に来たのですか？	이곳의 복숭아는 정말 아름답게 피었네요. 조사관님은 꽃을 보러오신 건가요?	ที่นี่​ดอก​ท้อ​กำลัง​บาน​สวย​เลย​ ผู้ตรวจการ​ก็​มา​ชม​ดอกไม้​งั้น​เหรอ​?​
103	vo_interface_801_03	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	调查官所在的地方，总是充满了欢声笑语。也许，这就是大家总会不自觉被你吸引的原因。	調查官所在的地方，總是充滿了歡聲笑語。也許，這就是大家總會不自覺被你吸引的原因。	Wherever you go, laughter and joy always follow. Perhaps that's why everyone is unconsciously drawn to you, Inspector.	調査官さんのいる場所は、いつも笑いが絶えないですね。これこそが、皆が貴方に引き寄せられてしまう理由かもしれませんね。	조사관님이 있는 곳에서는 항상 웃음소리가 끝이 없는 것 같아요. 어쩌면 그것이 바로 모두가 당신에게 빠진 이유일 지도 모르겠네요	ที่​ที่​มี​ผู้ตรวจการ​อยู่​ มัก​เต็มไปด้วย​เสียงหัวเราะ​และ​ความสุข​เสมอ​ บางที​นี่​อาจ​เป็น​เหตุผล​ที่​ทุกคน​ถูก​คุณ​ดึงดูด​โดยไม่รู้ตัว​
104	vo_interface_801_04	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	太好了，猫咪睡得很熟，看起来它很喜欢你。	太好了，貓咪睡得很熟，看起來它很喜歡你。	That's wonderful! The cat is fast asleep and seems quite fond of you.	良かった、子猫はぐっすり眠っているわ。よっぽど貴方のことが気に入ったみたいね。	다행이네요. 고양이가 쌔근쌔근 잠을 자고 있네요. 당신을 정말 좋아하나 봐요	เยี่ยม​ไป​เลย​ เจ้า​แมว​นอน​หลับสนิท​ ดูเหมือนว่า​มัน​จะ​ชอบ​คุณ​มาก​เลย​นะ​
105	vo_interface_801_05	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	来时无影，去时无踪。所谓的猫族，都是像你这般神秘的存在吗？	來時無影，去時無蹤。所謂的貓族，都是像你這般神秘的存在嗎？	Do the enigmatic Felinians share the same mysterious nature as you, appearing and vanishing without a trace?	来る時も去る時も、痕跡が残らないなんて。フェリニアンスというのは、みんな貴方と同じ、神秘的な存在なのでしょうか？	올 때도 아무 소리 없이 찾아오고 갈 때도 아무 소리 없이 가네요. 캣족이라는 것은 그렇게 신비한 존재인가요?	มา​แบบ​ไร้​ร่องรอย​ ไป​แบบ​ไร้​เงา​…​ ชาว​เผ่า​แมว​ที่​พูดถึง​ ต่าง​ก็​มี​ความลึกลับ​แบบ​คุณ​งั้น​เหรอ​?​
106	vo_interface_801_06	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	来到这里后，总有一种很怀念的感觉……是我太想念自己的故乡了吗？	來到這裡後，總有一種很懷念的感覺……是我太想念自己的故鄉了嗎？	This place evokes a sense of longing... Am I simply feeling homesick?	ここに来ると、なぜかとても懐かしい感じがするわ。故郷が恋しいのかしら。	여기 온 이후로 뭔가 그리운 마음이 자꾸 드네요… 제가 너무 고향을 그리워하고 있는 걸까요?	พอ​มาถึง​นี่​ ก็​รู้สึก​คิดถึง​อะไร​บางอย่าง​อยู่​ตลอดเวลา​...​ หรือ​เป็น​เพราะว่า​ฉัน​จะ​คิดถึง​บ้านเกิด​ของ​ตัวเอง​มาก​ไป​กัน​นะ​?​
107	vo_interface_801_07	1	红茶	紅茶	Black Tea	紅茶	홍차	แบล็กที	独自一人的话，时间似乎就会变得很慢呢……	獨自一人的話，時間似乎就會變得很慢呢……	When I'm alone, time seems to pass so slowly...	独りでいる時は、時間が遅く感じるわ。	혼자 있을 때는 시간이 정말 잘 가지 않는 것 같거든요…	หาก​อยู่ตัว​คนเดียว​ เวลา​เหมือน​จะ​ผ่าน​ไป​ช้า​ลง​จริงๆ​ นะ​...​
201	vo_interface_803_01	1	米饭	米飯	Rice	ライス	백미	ไรซ์	今天的天气可真好啊，正适合大家聚在一起呢。	今天的天氣可真好啊，正適合大家聚在一起呢。	What a beautiful day! It's perfect for a gathering, isn't it?	今日はいい天気ですね、みんなで集まるのに最高の日です。	오늘 날씨가 정말 좋네요. 모두와 함께 있기에 정말 좋은 날씨인 것 같아요	วันนี้​อากาศ​ดี​จริงๆ​ เลย​ เหมาะกับ​การ​มา​รวมตัวกัน​สุด​ๆ​
202	vo_interface_803_02	1	米饭	米飯	Rice	ライス	백미	ไรซ์	调查官大人看上去总是很忙碌，要是我能多帮您分担些就好了。	調查官大人看上去總是很忙碌，要是我能多幫您分擔些就好了。	You always seem to be occupied, Inspector. It would be my pleasure to assist you further.	調査官さまはいつも忙しそうですね、ライスがもっとお役に立てればいいのに……	조사관 나리는 항상 바쁘신 것 같아요. 제가 조금이라도 부담을 덜어드릴 수 있으면 좋겠네요	ท่าน​ผู้ตรวจการ​ดูเหมือน​จะ​ยุ่ง​อยู่​ตลอดเวลา​เลย​ ถ้า​ฉัน​สามารถ​ช่วย​แบ่งเบา​อะไร​ให้ได้​มากกว่า​นี้​ก็​คงจะ​ดี​
