id	activityId	point	reward	rewardNum	status
int	int	int	int	int	int
101	1	100	9000039	400	1
102	1	300	9000039	500	1
103	1	500	9000039	600	1
104	1	800	9000039	700	1
105	1	1100	9000039	800	1
106	1	1500	9000039	900	1
107	1	1900	9000039	1000	1
108	1	2300	9000039	1100	1
109	1	2700	9000039	1200	1
110	1	3100	9000039	1300	1
111	1	3500	9000039	1400	1
112	1	4000	9000039	1500	1
113	1	4500	9000039	1600	1
114	1	5000	9000039	1700	1
115	1	5500	9000039	1800	1
116	1	6000	9000039	1900	1
117	1	6500	9000039	2000	1
118	1	7000	9000039	2100	1
119	1	7500	9000039	2200	1
120	1	8000	9000039	2300	1
121	1	8500	9000039	2400	1
122	1	9000	9000039	2500	1
123	1	9500	9000039	2600	1
124	1	10000	9000039	2700	1
125	1	10500	9000039	2800	1
126	1	11000	9000039	2900	1
127	1	11500	9000039	3000	1
128	1	12000	9000039	3100	1
129	1	12500	9000039	3200	1
130	1	13000	9000039	3300	1
131	1	13500	6220019;9000039	1;3400	1
