Id	rewardId	rewardNum	times	status
int	int	int	int	int
101	7120008	30	3	1
102	7120008	50	7	1
103	7120008	50	15	1
104	7120008	70	30	1
105	7120008	100	60	1
106	4190004	1000	90	1
107	7120008	100	120	1
108	7120008	100	150	1
109	3000002	5000	180	1
110	7120008	150	210	1
111	4190004	1000	240	1
112	7120008	150	270	1
113	4190004	1000	300	1
114	7120008	200	330	1
115	3000002	5000	360	1
116	4190002	1	390	1
117	4190002	1	420	1
118	4190002	1	450	1
119	4190002	1	480	1
120	4190002	1	510	1
121	4190002	1	540	1
122	4190002	1	570	1
123	4190002	1	600	1
124	4190002	1	630	1
125	4190002	1	660	1
126	4190002	1	690	1
127	4190002	1	720	1
