id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
2	1	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
3	1	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
4	1	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
5	1	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
6	1	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
7	1	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
8	1	2101	1	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
9	1	2101	1	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
10	1	2101	1	150	9000033	10			1	在本期精品展柜活动中抽取达到150次	在本期精品展櫃活動中抽取達到150次	Make 150 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を150回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 150회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 150​ ครั้ง​
11	1	2101	1	200	9000034	1			1	在本期精品展柜活动中抽取达到200次	在本期精品展櫃活動中抽取達到200次	Make 200 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を200回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 200회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 200​ ครั้ง​
12	2	2102	0	1	5200011	4			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
13	2	2102	0	3	5200011	4			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
14	2	2102	0	7	5200011	8			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
15	2	601	1	10	5200011	8			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
16	2	7	3000004	200	5200011	8			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
17	2	1101	6	1	5200011	8			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
