id	skinIcon	maxRoundNum	ruleID	video	videoStartTime	homeIcon	consumeId	shopIcon	shopBg	mailId	miniNum	status	poolDes	poolDes_zh_TW	poolDes_en_UK	poolDes_ja_JP	poolDes_ko_KR	poolDes_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_10302150_11302150.usm;Movie/gachapon_skin_11300102_11400102.usm	0;0		9000033	161:skin_draw_shop_icon_11100250_11302150	161:skin_draw_exchange_bg	1		1	获取精品礼券抽取奖励，累计抽取进度获得稀有的情绪面料可兑换多款互动皮肤	獲取精品禮券抽取獎勵，累計抽取進度獲得稀有的情緒面料可兌換多款互動皮膚	Obtain Premium Vouchers to summon rewards, and collect these rewards to unlock rare Pathos Threads that can be exchanged for various interactive skins.	コレクション抽選券で抽選を行い、抽選回数が一定に達するとイベント付き外観と交換できるエモーション生地を入手できます。	컬렉션 티켓으로 뽑기를 진행할 수 있습니다. 뽑기 진행도가 누적되면 희귀 이모션 원단을 획득해 인터랙션 스킨과 교환할 수 있습니다.	รับ​คูปอง​พรีเมียม​เพื่อ​สุ่ม​รางวัล​ สะสม​ความคืบหน้า​การ​สุ่ม​เพื่อ​รับ​ผ้า​พา​โธส​ และ​นำ​ไป​แลก​คอสตูม​โต้ตอบ​ได้​หลากหลาย​รูปแบบ​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
2	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_11100250.usm	0		9000033	161:skin_draw_shop_icon_11100250	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>胜利后的奖励·安雅</color>！	本期限定互動皮膚：<color=#ea29b6>勝利後的獎勵·安雅</color>！	Limited interactive skin: <color=#ea29b6>Victory Reward</color>.	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>勝利後のご褒美･アンヤ</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>승리 후의 보상·아냐</color>!	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>ไนต์บาธปาร์ตี้·อันยา</color>!​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
3	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_10302150_11302150.usm	0		9000033	161:skin_draw_shop_icon_11100250_11302150	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>胜利后的奖励</color>和<color=#ea29b6>雾浴迷情</color>！	本期限定互動時裝：<color=#ea29b6>勝利後的獎勵</color>和<color=#ea29b6>霧浴迷情</color>！	Limited interactive skin: <color=#ea29b6>Victory Reward</color> & <color=#ea29b6>Mistveil of Passion</color>!	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>勝利後のご褒美･アンヤ</color>と<color=#ea29b6>魅惑のひととき・トリス</color>！	이번 시즌 시네마틱 인터랙션 스킨:<color=#ea29b6>승리 후의 보상</color>과 <color=#ea29b6>안갯속 유혹</color>	คอสตูมโต้ตอบลิมิเต็ดในรอบนี้:\n<color=#ea29b6>ไนต์บาธปาร์ตี้</color> และ <color=#ea29b6>เสน่ห์หมอกลุ่มลึก</color>!	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
4	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_10302150.usm	0		9000033	161:skin_draw_shop_icon_11302150	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>雾浴迷情</color>	本期限定互動皮膚：<color=#ea29b6>霧浴迷情</color>	Limited interactive skin: <color=#ea29b6>Mistveil of Passion</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>魅惑のひととき</color>	이번 시즌 시네마틱 인터랙션 스킨: <color=#ea29b6>안갯속 유혹</color>	คอสตูมโต้ตอบลิมิเต็ดในรอบนี้: <color=#ea29b6>เสน่ห์หมอกลุ่มลึก</color>	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
5	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm;Movie/gachapon_skin_13600850.usm	0;0		9000033	161:skin_draw_shop_icon_12700150	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>春色满园</color>、<color=#ea29b6>由身入心的放松</color>	本期限定互動皮膚：<color=#ea29b6>春色滿園</color>、<color=#ea29b6>由身入心的放鬆</color>	Featured interactive skin: <color=#ea29b6>Bountiful Bloom</color> and <color=#ea29b6>Restful Retreat</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>春の陽気に包まれて</color>と<color=#ea29b6>身を以て心に伝う</color>！	이번 시즌 시네마틱 인터랙션: <color=#ea29b6>봄의 정원</color>, <color=#ea29b6>마음을 다하는 서비스</color>	โต้ตอบ​คอสตูม​ลิมิเต็ด​ใน​รอบ​นี้​:​\n<color=#ea29b6>สปริงการ์เดน</color>​ และ​ <color=#ea29b6>วิถีแห่งการผ่อนคลาย</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
6	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13600850.usm	0		9000033	161:skin_draw_shop_icon_13600850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>春色满园</color>	本期限定互動皮膚：<color=#ea29b6>春色滿園</color>	Featured interactive skin: <color=#ea29b6>Bountiful Bloom</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>春の陽気に包まれて</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>봄의 정원</color>!	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สปริงการ์เดน</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
7	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_14100850.usm	0		9000033	161:skin_draw_shop_icon_14100850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>炎夏海滩的绮梦</color>	本期限定互動皮膚：<color=#ea29b6>炎夏海灘的綺夢</color>	Acquire the limited interactive skin.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>夏薫る砂浜の綺夢にて</color>！	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>여름 해변에서의 꿈</color>!	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>ซัมเมอร์ดรีม</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
8	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm	0		9000033	161:skin_draw_shop_icon_12700150	161:skin_draw_exchange_bg	1		1	本期互动皮肤：<color=#ea29b6>由身入心的放松</color>	本期互動時裝：<color=#ea29b6>由身入心的放鬆</color>	Featured interactive skin: <color=#ea29b6>Bountiful Bloom</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>身を以て心に伝う</color>！	이번 시즌 시네마틱 인터랙션 스킨: <color=#ea29b6>마음을 다하는 서비스</color>	คอสตูม​โต้ตอบ​ใน​รอบ​นี้​:​ <color=#ea29b6>วิถีแห่งการผ่อนคลาย</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
9	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm;Movie/gachapon_skin_14100850.usm	1209600;0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1	获取精品礼券抽取奖励，累计抽取进度获得稀有的情绪面料可兑换多款互动皮肤	獲取精品禮券抽取獎勵，累計抽取進度獲得稀有的情緒面料可兌換多款互動皮膚	Obtain Premium Vouchers to summon rewards, and collect these rewards to unlock rare Pathos Threads that can be exchanged for various interactive skins.	コレクション抽選券で抽選を行い、抽選回数が一定に達するとイベント付き外観と交換できるエモーション生地を入手できます。	컬렉션 티켓으로 뽑기를 진행할 수 있습니다. 뽑기 진행도가 누적되면 희귀 이모션 원단을 획득해 인터랙션 스킨과 교환할 수 있습니다.	รับ​คูปอง​พรีเมียม​เพื่อ​สุ่ม​รางวัล​ สะสม​ความคืบหน้า​การ​สุ่ม​เพื่อ​รับ​ผ้า​พา​โธส​ และ​นำ​ไป​แลก​คอสตูม​โต้ตอบ​ได้​หลากหลาย​รูปแบบ​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
