id	group	unlockId	taskContentType	taskContentId	taskContenNum	reward	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	0	405	0	1	9000012	2	0		1	登录游戏	登入遊戲	Log in to the game.	ログインする	게임 로그인	ล็อกอินเกม
2	1		1506	0	5	9000012	2	705		1	分解5个装备	分解5個裝備	Salvage 5 pieces of equipment.	装備を5個分解する	장비 5개 분해	แยกส่วนอุปกรณ์ 5 อัน
3	1		1101	1	5	9000012	2	233		1	通关任意装备副本5次	通關任意裝備副本5次	Complete any Equipment Stage 5 times.	任意の装備ステージを5回クリアする	장비 던전 5회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 5​ ครั้ง​
4	1		1403	0	20	9000012	2	517		1	完成20个外卖订单	完成20筆外送訂單	Complete 20 delivery orders.	出前を20回完了する	배달 주문 20건 완료	ส่งสำเร็จ 20 ออเดอร์
5	1		1103	0	3	9000012	2	236		1	参与3次协力战	參與3次協力戰	Complete 3 Invasions.	協同作戦に3回参加する	협력전 3회 참여	เข้าร่วม​ผนึก​กำลัง​ 3​ ครั้ง​
6	1		1405	0	1	9000012	2	518		1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
7	2	0	405	0	1	9000012	2	0		1	登录游戏	登入遊戲	Log in to the game.	ログインする	게임 로그인	ล็อกอินเกม
8	2		1506	0	5	9000012	2	705		1	分解5个装备	分解5個裝備	Salvage 5 pieces of equipment.	装備を5個分解する	장비 5개 분해	แยกส่วนอุปกรณ์ 5 อัน
9	2		1101	1	5	9000012	2	233		1	通关任意装备副本5次	通關任意裝備副本5次	Complete any Equipment Stage 5 times.	任意の装備ステージを5回クリアする	장비 던전 5회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 5​ ครั้ง​
10	2		1403	0	20	9000012	2	517		1	完成20个外卖订单	完成20筆外送訂單	Complete 20 delivery orders.	出前を20回完了する	배달 주문 20건 완료	ส่งสำเร็จ 20 ออเดอร์
11	2		1103	0	3	9000012	2	236		1	参与3次协力战	參與3次協力戰	Complete 3 Invasions.	協同作戦に3回参加する	협력전 3회 참여	เข้าร่วม​ผนึก​กำลัง​ 3​ ครั้ง​
12	2		1405	0	1	9000012	2	518		1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
13	3	0	405	0	1	9000012	2	0		1	登录游戏	登入遊戲	Log in to the game.	ログインする	게임 로그인	ล็อกอินเกม
14	3		1506	0	5	9000012	2	705		1	分解5个装备	分解5個裝備	Salvage 5 pieces of equipment.	装備を5個分解する	장비 5개 분해	แยกส่วนอุปกรณ์ 5 อัน
15	3		1101	1	5	9000012	2	233		1	通关任意装备副本5次	通關任意裝備副本5次	Complete any Equipment Stage 5 times.	任意の装備ステージを5回クリアする	장비 던전 5회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 5​ ครั้ง​
16	3		1403	0	20	9000012	2	517		1	完成20个外卖订单	完成20筆外送訂單	Complete 20 delivery orders.	出前を20回完了する	배달 주문 20건 완료	ส่งสำเร็จ 20 ออเดอร์
17	3		1103	0	3	9000012	2	236		1	参与3次协力战	參與3次協力戰	Complete 3 Invasions.	協同作戦に3回参加する	협력전 3회 참여	เข้าร่วม​ผนึก​กำลัง​ 3​ ครั้ง​
18	3		1405	0	1	9000012	2	518		1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
19	4	0	405	0	1	9000012	2	0		1	登录游戏	登入遊戲	Log in to the game.	ログインする	게임 로그인	ล็อกอินเกม
20	4		1506	0	5	9000012	2	705		1	分解5个装备	分解5個裝備	Salvage 5 pieces of equipment.	装備を5個分解する	장비 5개 분해	แยกส่วนอุปกรณ์ 5 อัน
21	4		1101	1	5	9000012	2	233		1	通关任意装备副本5次	通關任意裝備副本5次	Complete any Equipment Stage 5 times.	任意の装備ステージを5回クリアする	장비 던전 5회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 5​ ครั้ง​
22	4		1403	0	20	9000012	2	517		1	完成20个外卖订单	完成20筆外送訂單	Complete 20 delivery orders.	出前を20回完了する	배달 주문 20건 완료	ส่งสำเร็จ 20 ออเดอร์
23	4		1103	0	3	9000012	2	236		1	参与3次协力战	參與3次協力戰	Complete 3 Invasions.	協同作戦に3回参加する	협력전 3회 참여	เข้าร่วม​ผนึก​กำลัง​ 3​ ครั้ง​
