id	group	deck	reward	rewardNum	status
int	int	int	int	int	int
101	1	1	3000003	50000	1
102	1	1	4190001	500	1
103	1	1	4198002	5	1
104	1	1	4198001	50	1
105	1	1	4199001	5	1
106	1	1	4100011	10	1
107	1	2	3000003	50000	1
108	1	2	4190001	500	1
109	1	2	4198002	5	1
110	1	2	4198001	50	1
111	1	2	4199001	5	1
112	1	2	4100011	10	1
113	1	3	3000003	50000	1
114	1	3	4190001	500	1
115	1	3	4198002	5	1
116	1	3	4198001	50	1
117	1	3	4199001	5	1
118	1	3	4100011	10	1
119	2	1	4190001	100	1
120	2	1	4190001	150	1
121	2	1	4198002	3	1
122	2	1	4198001	25	1
123	2	1	4199001	3	1
124	2	1	4100011	5	1
125	2	2	4190001	100	1
126	2	2	4190001	150	1
127	2	2	4198002	3	1
128	2	2	4198001	25	1
129	2	2	4199001	3	1
130	2	2	4100011	5	1
131	2	3	4190001	100	1
132	2	3	4190001	150	1
133	2	3	4198002	3	1
134	2	3	4198001	25	1
135	2	3	4199001	3	1
136	2	3	4100011	5	1
137	3	1	4190001	200	1
138	3	1	4190001	150	1
139	3	1	4198002	3	1
140	3	1	4198001	35	1
141	3	1	4199001	3	1
142	3	1	4100011	7	1
143	3	2	4190001	200	1
144	3	2	4190001	150	1
145	3	2	4198002	3	1
146	3	2	4198001	35	1
147	3	2	4199001	3	1
148	3	2	4100011	7	1
149	3	3	4190001	200	1
150	3	3	4190001	150	1
151	3	3	4198002	3	1
152	3	3	4198001	35	1
153	3	3	4199001	3	1
154	3	3	4100011	7	1
155	4	1	4190001	500	1
156	4	1	3000003	100000	1
157	4	1	5200011	15	1
158	4	1	5100001	3	1
159	4	1	4199001	20	1
160	4	1	4198002	10	1
161	4	2	4190001	500	1
162	4	2	3000003	100000	1
163	4	2	5200011	15	1
164	4	2	5100001	3	1
165	4	2	4199001	20	1
166	4	2	4198002	10	1
167	4	3	4190001	500	1
168	4	3	3000003	100000	1
169	4	3	5200011	15	1
170	4	3	5100001	3	1
171	4	3	4199001	20	1
172	4	3	4198002	10	1
173	5	1	4190001	500	1
174	5	1	5200011	20	1
175	5	1	4100032	10	1
176	5	1	4100031	10	1
177	5	1	4198002	20	1
178	5	1	3000003	100000	1
179	5	2	4190001	500	1
180	5	2	5200011	20	1
181	5	2	4100032	10	1
182	5	2	4100031	10	1
183	5	2	4198002	20	1
184	5	2	3000003	100000	1
185	5	3	4190001	500	1
186	5	3	5200011	20	1
187	5	3	4100032	10	1
188	5	3	4100031	10	1
189	5	3	4198002	20	1
190	5	3	3000003	100000	1
191	6	1	3000002	300	1
192	6	1	5200011	20	1
193	6	1	4100032	10	1
194	6	1	4100031	10	1
195	6	1	4198002	20	1
196	6	1	3000003	100000	1
197	6	2	3000002	300	1
198	6	2	5200011	20	1
199	6	2	4100032	10	1
200	6	2	4100031	10	1
201	6	2	4198002	20	1
202	6	2	3000003	100000	1
203	6	3	3000002	300	1
204	6	3	5200011	20	1
205	6	3	4100032	10	1
206	6	3	4100031	10	1
207	6	3	4198002	20	1
208	6	3	3000003	100000	1
