id	groupId	level	attId	color	attNum	costItem	costNum	status
int	int	int	int	int	int	int	int	int
1	1	1	101;201;301	0	12;4;40			1
2	1	2	101	0	12	4120001;4120002;4120003	20;15;10	1
3	1	3	201	0	12	4120001;4120002;4120003	22;17;12	1
4	1	4	301	0	28	4120001;4120002;4120003	25;20;15	1
5	1	5	101	0	12	4120001;4120002;4120003	27;22;17	1
6	1	6	201	0	12	4120001;4120002;4120003	30;25;20	1
7	1	7	301	0	28	4120001;4120002;4120003	32;27;22	1
8	1	8	101	0	12	4120001;4120002;4120003	35;30;25	1
9	1	9	201	0	12	4120001;4120002;4120003	37;32;27	1
10	1	10	301	0	28	4120001;4120002;4120003	40;35;30	1
11	1	11	101	0	12	4120001;4120002;4120003	42;37;32	1
12	1	12	201	0	12	4120001;4120002;4120003	45;40;35	1
13	1	13	301	0	28	4120001;4120002;4120003	47;42;37	1
14	1	14	101	0	12	4120001;4120002;4120003	50;45;40	1
15	1	15	201	0	12	4120001;4120002;4120003	52;47;42	1
16	1	16	301	0	28	4120001;4120002;4120003;4120004	55;50;45;20	1
17	1	17	101	0	12	4120001;4120002;4120003;4120004	57;52;47;25	1
18	1	18	201	0	12	4120001;4120002;4120003;4120004	60;55;50;30	1
19	1	19	301	0	36	4120001;4120002;4120003;4120004	62;57;52;35	1
20	1	20	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	65;60;55;40	1
21	1	21	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	130;120;110;80	1
22	1	22	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	195;180;165;120	1
23	1	23	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	260;240;220;160	1
24	1	24	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	325;300;275;200	1
25	1	25	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	390;360;330;240	1
26	2	1	101;201;301	0	12;4;40			1
27	2	2	101	0	12	4120001;4120002;4120003	20;15;10	1
28	2	3	201	0	12	4120001;4120002;4120003	22;17;12	1
29	2	4	301	0	28	4120001;4120002;4120003	25;20;15	1
30	2	5	101	0	12	4120001;4120002;4120003	27;22;17	1
31	2	6	201	0	12	4120001;4120002;4120003	30;25;20	1
32	2	7	301	0	28	4120001;4120002;4120003	32;27;22	1
33	2	8	101	0	12	4120001;4120002;4120003	35;30;25	1
34	2	9	201	0	12	4120001;4120002;4120003	37;32;27	1
35	2	10	301	0	28	4120001;4120002;4120003	40;35;30	1
36	2	11	101	0	12	4120001;4120002;4120003	42;37;32	1
37	2	12	201	0	12	4120001;4120002;4120003	45;40;35	1
38	2	13	301	0	28	4120001;4120002;4120003	47;42;37	1
39	2	14	101	0	12	4120001;4120002;4120003	50;45;40	1
40	2	15	201	0	12	4120001;4120002;4120003	52;47;42	1
41	2	16	301	0	28	4120001;4120002;4120003;4120004	55;50;45;20	1
42	2	17	101	0	12	4120001;4120002;4120003;4120004	57;52;47;25	1
43	2	18	201	0	12	4120001;4120002;4120003;4120004	60;55;50;30	1
44	2	19	301	0	36	4120001;4120002;4120003;4120004	62;57;52;35	1
45	2	20	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	65;60;55;40	1
46	2	21	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	130;120;110;80	1
47	2	22	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	195;180;165;120	1
48	2	23	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	260;240;220;160	1
49	2	24	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	325;300;275;200	1
50	2	25	101;201;301	0	8;4;24	4120001;4120002;4120003;4120004	390;360;330;240	1
51	3	1	101;201;301	0	12;4;40			1
52	3	2	101	0	12	4120001;4120002;4120003	20;15;10	1
53	3	3	201	0	12	4120001;4120002;4120003	22;17;12	1
54	3	4	301	0	28	4120001;4120002;4120003	25;20;15	1
55	3	5	101	0	12	4120001;4120002;4120003	27;22;17	1
56	3	6	201	0	12	4120001;4120002;4120003	30;25;20	1
57	3	7	301	0	28	4120001;4120002;4120003	32;27;22	1
58	3	8	101	0	12	4120001;4120002;4120003	35;30;25	1
59	3	9	201	0	12	4120001;4120002;4120003	37;32;27	1
60	3	10	301	0	28	4120001;4120002;4120003	40;35;30	1
61	3	11	101	0	12	4120001;4120002;4120003	42;37;32	1
