id	groupNum	unlockType	unlockId	unlockNum	costItem	costNum	status
int	int	int	int	int	int	int	int
1	1	1		10			1
2	2	1		10			1
3	3	1		10			1
4	4	1		45	4120001;4120002;4120003	100;50;50	1
5	5	1		45	4120001;4120002;4120003	100;50;50	1
6	6	1		45	4120001;4120002;4120003	100;50;50	1
7	7	1		45	4120001;4120002;4120003	100;50;50	1
8	8	1		45	4120001;4120002;4120003	100;50;50	1
9	9	1		45	4120001;4120002;4120003	100;50;50	1
10	10	1		50	4120001;4120002;4120003	100;50;50	1
11	11	1		50	4120001;4120002;4120003	100;50;50	1
12	12	1		50	4120001;4120002;4120003	100;50;50	1
13	13	1		50	4120001;4120002;4120003	100;50;50	1
14	14	1		50	4120001;4120002;4120003	100;50;50	1
15	15	1		50	4120001;4120002;4120003	100;50;50	1
16	16	1		50	4120001;4120002;4120003	100;50;50	1
17	17	1		50	4120001;4120002;4120003	100;50;50	1
18	18	1		50	4120001;4120002;4120003	100;50;50	1
19	19	1		50	4120001;4120002;4120003	100;50;50	1
20	20	1		50	4120001;4120002;4120003	100;50;50	1
21	21	1		50	4120001;4120002;4120003	100;50;50	1
22	22	1		50	4120001;4120002;4120003	100;50;50	1
23	23	1		50	4120001;4120002;4120003	100;50;50	1
24	24	1		50	4120001;4120002;4120003	100;50;50	1
25	25	1		50	4120001;4120002;4120003	100;50;50	1
26	26	1		50	4120001;4120002;4120003	100;50;50	1
27	27	1		50	4120001;4120002;4120003	100;50;50	1
